Engine Displacement (liters)	Transmission	Name	Combined Fuel Efficiency	City FE	Hwy FE	Num Cyl	Guzzler
4.2	SA	Audi A8	21	18	28	8	
4.2	SA	Audi A8 L	21	18	28	8	
5.2	AM	Lamborghini Gallardo Coupe	16	13	20	10	G
5.2	AM	Lamborghini Gallardo Spyder	16	13	20	10	G
3.2	SA	Audi Q5	20	18	23	6	
4.2	AM	Audi R8	16	13	21	8	G
5.2	AM	Audi R8	15	13	19	10	G
4.2	AM	Audi R8 Spyder	16	13	21	8	G
5.2	AM	Audi R8 Spyder	15	13	19	10	G
4.2	SA	Audi S5	19	16	24	8	
5.9	SA	Aston Martin Lagonda Ltd DB9	15	13	20	12	G
5.9	SA	Aston Martin Lagonda Ltd DBS	14	12	18	12	G
5.9	SA	Aston Martin Lagonda Ltd Rapide	15	13	19	12	G
4.7	AM	Aston Martin Lagonda Ltd V8 Vantage	16	14	20	8	G
4.7	AM	Aston Martin Lagonda Ltd V8 Vantage S	16	14	21	8	G
5.9	SA	Aston Martin Lagonda Ltd Virage	15	13	18	12	G
3	SA	BMW 128Ci Convertible	21	18	28	6	
3	SA	BMW 128i	21	18	28	6	
4	SA	BMW M3 Convertible	16	14	20	8	G
4	SA	BMW M3 Coupe	16	14	20	8	G
1.6	SA	Mini Mini Cooper	31	28	36	4	
1.6	SA	Mini Mini Cooper Clubman	30	27	35	4	
1.6	SA	Mini Mini Cooper Convertible	30	27	35	4	
1.6	SA	Mini Mini Cooper Countryman	27	25	30	4	
1.6	SA	Mini Mini Cooper Coupe	31	28	36	4	
1.6	SA	Mini Mini Cooper Roadster	30	27	35	4	
2.4	A	Chrysler 200	24	21	30	4	
3.6	A	Chrysler 200	22	19	29	6	
2.4	A	Chrysler 200 Convertible	22	18	29	4	
3.6	A	Chrysler 200 Convertible	22	19	29	6	
3.6	A	Chrysler 300	21	18	27	6	
5.7	A	Chrysler 300	19	16	25	8	
3.6	A	Chrysler 300 AWD	21	18	27	6	
5.7	A	Chrysler 300 AWD	18	15	23	8	
6.4	A	Chrysler 300 SRT8	17	14	23	8	G
1.4	A	FIAT 500	30	27	34	4	
1.4	A	FIAT 500 Cabrio	29	27	32	4	
2.4	A	Dodge Avenger	24	21	30	4	
3.6	A	Dodge Avenger	22	19	29	6	
2	CVT	Dodge Caliber	24	23	27	4	
2.4	CVT	Dodge Caliber	24	22	27	4	
3.6	A	Dodge Challenger	21	18	27	6	
5.7	A	Dodge Challenger	19	16	25	8	
6.4	A	Dodge Challenger SRT8	17	14	23	8	G
3.6	A	Dodge Charger	21	18	27	6	
5.7	A	Dodge Charger	19	16	25	8	
3.6	A	Dodge Charger AWD	21	18	27	6	
5.7	A	Dodge Charger AWD	18	15	23	8	
6.4	A	Dodge Charger SRT8	17	14	23	8	G
2	CVT	Jeep Compass 2WD	24	23	27	4	
2.4	CVT	Jeep Compass 2WD	24	21	27	4	
2.4	CVT	Jeep Compass 4WD	23	21	26	4	
3.6	A	Dodge Durango 2WD	19	16	23	6	
5.7	A	Dodge Durango 2WD	16	14	20	8	
3.6	A	Dodge Durango 4WD	19	16	23	6	
5.7	A	Dodge Durango 4WD	15	13	20	8	
3.6	A	Dodge Grand Caravan	20	17	25	6	
3.6	A	Jeep Grand Cherokee 2WD	19	17	23	6	
5.7	A	Jeep Grand Cherokee 2WD	16	14	20	8	
3.6	A	Jeep Grand Cherokee 4WD	19	16	23	6	
5.7	A	Jeep Grand Cherokee 4WD	15	13	20	8	
