Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
ACXIOM CORP	1010.822	5.7	177.337193	628.568	1215.784	230.212	0	14.355	14.355	521.064	267.088	239.327	244.38	150.241	19.267	8.949	58.344
AFFILIATED COMP SVCS  -CL A	3787.206	40	94.68015	1269.517	3698.705	835.478	6.245	51.17	51.17	873.36	478.212	498.34	671.409	152.128	25.194	184.105	306.842
ALLIANCE DATA SYSTEMS CORP	1049.144	7.6	138.0452632	1166.111	1868.442	404.647	0	67.745	67.745	317.087	133.746	189.361	207.95	74.561	17.281	41.684	67.298
AUTOMATIC DATA PROCESSING	7147.017	41	174.3174878	14462.198	19833.671	1005.833	0	1410.218	2005.384	1861.177	614.701	84.674	1792.753	274.682	21.838	627.05	1018.15
COMPUMED INC	1.811	0.014	129.3571429	0.271	0.78	0.219	0.025	0.066	0.247	1.353	0.207	0	-0.205	0.217	0.001	0	-0.375
CSG SYSTEMS INTL INC	559.261	2.471	226.329826	433.99	724.775	183.809	0	105.397	105.397	127.747	38.218	183.788	109.268	17.378	14.717	-22.183	-26.277
CYBERSOURCE CORP	27.503	0.154	178.5909091	10.612	54.807	4.828	0	15.25	44.361	26.504	2.195	0	-1.822	3.603	0	0	-5.442
DIRECT RESPONSE FINL SVCS	0.002	0.002	1	1.054	0.369	0	0.058	0	0	0.002	0.002	0.521	-1.296	0	0.021	0	-1.377
DST SYSTEMS INC	2416.3	11.4	211.9561404	2514.9	3198.6	399.4	16.8	102.4	165.8	1482.8	647.2	1437.8	475.4	149.8	26.9	109.3	320.8
EFUNDS CORP	532.054	5.4	98.52851852	110.675	512.337	63.841	0	158.106	162.746	146.678	49.629	1.667	54.037	14.768	-99	10.959	28.908
ENUCLEUS INC	0.578	0.011	52.54545455	0.812	1.752	0.017	0	0	0	0.028	0.02	0.345	-0.403	0.151	-99	0	-1.461
FIDELITY NATL INFO SVC-REDH	1945.076	-99	-99	466.74	2371.108	301.476	0	100.466	100.466	209.656	153.575	10.492	511.957	144.223	2.831	140.449	207.015
FIRST DATA CORP	8400.2	29	289.662069	21538.3	25585.6	2336.4	91	839.8	5357.7	2248.1	692.3	2915.9	2191.4	214	107.1	463.9	1408.7
FISERV INC	3017.87	21.7	139.0723502	5014.367	7214.175	2357.935	0	-99	202.768	587.842	206.076	264.826	687.959	171.791	22.895	201.401	315.012
HMS HOLDINGS CORP	74.361	0.493	150.8336714	12.516	63.123	17.331	0	26.615	26.715	19.112	3.123	0	4.832	2.6	-99	0	2.348
HYPERDYNAMICS CORP	0.468	0.005	93.6	1.725	1.48	0.007	0.006	0.177	0.262	0.244	0.089	0.052	-3.165	0.177	0.055	0	-4.19
INFOCROSSING INC	55.228	0.257	214.8949416	35.861	66.662	3.818	0	10.073	10.073	37.551	18.249	25.732	9.332	5.436	2.601	0.042	1.356
INFOUSA INC	311.345	2.4	129.7270833	220.125	366.346	54.812	0	2.686	6.371	122.32	40.984	122.485	79.984	27.849	11.547	12.072	19.695
INNODATA ISOGEN INC	36.714	7.58	4.84353562	7.742	25.146	9.572	0	5.051	6.051	17.77	5.628	0.272	5.315	4.528	0.009	0.333	0.475
INNOTRAC CORP	74.74	0.8	93.425	21.2	70.962	15.682	10.896	2.228	2.228	32.897	14.75	0.056	3.139	5.622	0.741	8.772	-11.981
INTRADO INC	124.654	0.716	174.0977654	60.825	145.267	17.238	0.013	37.981	37.981	65.028	26.22	13.564	28.576	11.55	-99	5.194	10.714
LIGHTBRIDGE INC	119.978	0.668	179.6077844	23.333	177.836	20.071	0	69.685	133.488	45.312	9.408	0	11.619	10.398	0	-1.102	-1.449
LINKTONE LTD-REDH	15.486	0.262	59.10687023	1.92	9.71	3.265	0	5.613	5.613	0.707	0.45	0	3.675	0.091	0	0	3.616
ONLINE PROCESSING INC	0.093	-99	-99	0.268	0	0	0	0	0	0	0	0	-0.243	0	0	0	-0.243
WORLDSPAN TECHNOL INC-REDH	896.934	2.53	354.5193676	789.608	1119.445	103.122	0	43.846	43.846	144.176	120.51	526.492	129.154	66.901	28.237	1.133	9.424
24/7 REAL MEDIA INC	49.181	0.255	192.8666667	36.143	46.18	12.256	0	21.645	21.645	13.45	2.862	13.334	1.013	8.076	0.343	0	-12.016
4NET SOFTWARE INC	0.008	0.001	8	0.021	0.077	0.001	0	0.072	0.072	0	0	0	-0.107	0	0	0	-0.056
A CONSULTING TEAM INC	21.646	0.086	251.6976744	2.181	7.374	3.557	0	1.41	1.41	7.588	0.68	0	0.711	0.753	0.066	0.023	-0.123
ACCESS INTEGRATED TECH	7.201	-99	-99	11.357	21.175	0.517	0	2.33	2.33	-99	5.865	5.624	0.187	2.692	2.365	-0.212	-4.805
ADB SYSTEMS INTL LTD	4.529	-99	-99	1.691	2.485	1.072	0	0.334	0.344	2.459	0.206	0.558	-2.246	1.471	0.224	0	-2.178
ADSTAR INC	2.834	0.036	78.72222222	2.58	8.554	0.348	0	2.092	2.092	0.586	0.142	0.062	-1.007	0.808	-99	0.014	-2.842
AKAMAI TECHNOLOGIES INC	161.259	0.535	301.4186916	454.295	278.941	20.727	0	160.074	169.984	212.723	23.878	386	30.073	49.749	18.324	0.629	-29.281
ALPHATRADE.COM	0.94	0.002	470	1.298	0.065	0.007	0	0.007	0.007	0.213	0.034	0	-8.391	0.047	0	0	-8.314
ALTERNATIVE TECHNOLOGY RES	2.993	0.027	110.8518519	8.997	0.793	0.02	0	0.27	0.27	0.865	0.318	0.897	-5.762	0.249	1.665	0	-7.665
