Date	DayofWeek	DepartureTime	WheelsOff	WheelsOn	ArrivalTime	AIR_TIME	ArrivalDelay 	DepartureDelay	TAXI_IN	TAXI_OUT	CARRIER_DELAY	WEATHER_DELAY	NAS_DELAY	SECURITY_DELAY	LATE_AIRCRAFT_DELAY	AIRLINE_ID	Origin	Destination
3239568000	1	1647	1703	453	458	410	-21	-8	5	16	0	0	0	0	0	19805	Honolulu,HI	Dallas/Ft.Worth,TX
3237494400	5	1553	1609	2355	2400	286	-27	-7	5	16	0	0	0	0	0	19805	San Francisco,CA	New York,NY
3238272000	7	816	837	1115	1138	338	-1	-9	23	21	0	0	0	0	0	19805	Boston,MA	Los Angeles,CA
3238444800	2	823	845	1129	1137	344	-2	-2	8	22	0	0	0	0	0	19805	Boston,MA	Los Angeles,CA
3239395200	6	2329	2344	722	730	278	-18	-1	8	15	0	0	0	0	0	19805	Los Angeles,CA	New York,NY
3237753600	1	1611	1643	1914	1918	331	16	11	4	32	11	0	5	0	0	19805	New York,NY	San Francisco,CA
3239136000	3	2048	2149	2354	3	305	25	3	9	61	0	0	25	0	0	19805	New York,NY	Los Angeles,CA
3239222400	4	1812	1826	2034	2038	308	-2	-3	4	14	0	0	0	0	0	19805	Los Angeles,CA	Kahului,HI
3237926400	3	1456	1521	1627	1703	126	35	1	36	25	0	0	35	0	0	19805	Chicago,IL	Denver,CO
3239654400	2	1612	1626	1725	1731	119	63	77	6	14	10	0	0	0	53	19805	Chicago,IL	Denver,CO
3238963200	1	1457	1534	1626	1632	112	2	-3	6	37	0	0	0	0	0	19805	New York,NY	Chicago,IL
3238963200	1	1737	1745	2019	2022	154	-19	-6	3	8	0	0	0	0	0	19805	San Juan,PR	Tampa,FL
3238185600	6	1237	1253	1645	1649	172	-11	-2	4	16	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Philadelphia,PA
3239222400	4	2109	2119	44	50	145	-7	0	6	10	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Washington,DC
3237926400	3	1919	1928	2003	2015	35	-7	-1	12	9	0	0	0	0	0	19805	Austin,TX	Dallas/Ft.Worth,TX
3237667200	7	1122	1133	1207	1213	154	-14	-4	6	11	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Santa Ana,CA
3239568000	1	719	726	858	906	92	16	1	8	7	0	0	16	0	0	19805	New Orleans,LA	Dallas/Ft.Worth,TX
3237753600	1	1842	1928	2007	2012	99	35	27	5	46	0	0	9	0	26	19805	Philadelphia,PA	Chicago,IL
3238358400	1	1119	1132	1131	1135	119	-10	-1	4	13	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Phoenix,AZ
3237667200	7	633	644	1021	1024	157	-9	-2	3	11	0	0	0	0	0	19805	Chicago,IL	Fort Lauderdale,FL
3238963200	1	1910	1937	2304	2308	147	7	-1	4	27	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Fort Lauderdale,FL
3238012800	4	1355	1408	1657	1703	109	-2	22	6	13	0	0	0	0	0	19805	Chicago,IL	Boston,MA
3238876800	7	1830	1840	1920	1925	40	28	37	5	10	28	0	0	0	0	19805	Orlando,FL	Miami,FL
3237926400	3	1117	1139	1340	1349	241	8	-4	9	22	0	0	0	0	0	19805	Chicago,IL	Seattle,WA
3237580800	6	1307	1319	1543	1547	144	30	44	4	12	11	0	0	0	19	19805	Newark,NJ	Miami,FL
3239136000	3	1707	1726	1804	1807	158	-6	-2	3	19	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Los Angeles,CA
3239136000	3	1451	1502	2007	2009	185	-16	2	2	11	0	0	0	0	0	19805	Los Angeles,CA	St. Louis,MO
3237667200	7	1643	1803	2213	2223	190	90	37	10	80	0	3	53	0	34	19805	Dallas/Ft.Worth,TX	Boston,MA
3237408000	4	2138	2147	2214	2218	147	-5	11	4	9	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Ontario/San Bernardino,CA
3238617600	4	1930	1940	2143	2147	123	-8	1	4	10	0	0	0	0	0	19805	Miami,FL	Washington,DC
3239568000	1	1855	1917	2017	2024	180	5	-1	7	22	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Reno,NV
3239827200	4	1046	1055	1505	1513	190	-23	-4	8	9	0	0	0	0	0	19805	Dallas/Ft.Worth,TX	Boston,MA
3238444800	2	1302	1312	1532	1537	80	-10	-2	5	10	0	0	0	0	0	19805	El Paso,TX	Dallas/Ft.Worth,TX
3237494400	5	1235	1255	1800	1817	185	6	-8	17	20	0	0	0	0	0	19805	Oakland,CA	Dallas/Ft.Worth,TX
3239395200	6	1120	1130	1420	1442	170	3	0	22	10	0	0	0	0	0	19805	Boston,MA	Miami,FL
3239222400	4	820	835	939	957	124	23	15	18	15	0	15	8	0	0	19805	Chicago,IL	Denver,CO
3237840000	2	910	923	1150	1203	207	-15	-5	13	13	0	0	0	0	0	19805	Boston,MA	Dallas/Ft.Worth,TX
3237667200	7	1453	1507	1946	2014	159	24	-1	28	14	0	0	24	0	0	19805	Ontario/San Bernardino,CA	Dallas/Ft.Worth,TX
3237494400	5	831	837	1309	1314	152	-14	-9	5	6	0	0	0	0	0	19805	Indio/Palm Springs,CA	Dallas/Ft.Worth,TX
3239308800	5	1651	1731	1931	2011	180	71	34	40	40	0	0	43	0	28	19805	Newark,NJ	Dallas/Ft.Worth,TX
