Date	Pct Change, S&P 500	Pct Change in Housing Starts	Private Housing Starts
19791231	1.68		1498
19800131	5.76	-10.48064085	1341
19800229	-0.44	0.67114094	1350
19800331	-10.18	-22.44444444	1047
19800430	4.11	0.382043935	1051
19800530	4.66	-11.79828735	927
19800630	2.7	29.01833873	1196
19800731	6.5	6.10367893	1269
19800829	0.58	13.15996848	1436
19800930	2.52	2.437325905	1471
19801031	1.6	3.535010197	1523
19801128	10.24	-0.853578464	1510
19801231	-3.39	-1.854304636	1482
19810130	-4.57	4.385964912	1547
19810227	1.33	-19.45701357	1246
19810331	3.6	4.81540931	1306
19810430	-2.35	4.134762634	1360
19810529	-0.17	-16.17647059	1140
19810630	-1.04	-8.333333333	1045
19810731	-0.22	-0.38277512	1041
19810831	-6.21	-9.702209414	940
19810930	-5.38	-3.085106383	911
19811030	4.91	-4.171240395	873
19811130	3.66	-4.12371134	837
19811231	-3.01	8.721624851	910
19820129	-1.75	-7.362637363	843
19820226	-6.05	2.728351127	866
19820331	-1.02	7.505773672	931
19820430	4	-1.503759398	917
19820528	-3.92	11.77753544	1025
19820630	-2.03	-12	902
19820730	-2.3	29.26829268	1166
19820831	11.6	-10.2915952	1046
19820930	0.76	9.369024857	1144
19821029	11.04	2.534965035	1173
19821130	3.61	16.96504689	1372
19821231	1.52	-5.029154519	1303
19830131	3.31	21.71910975	1586
19830228	1.9	7.124842371	1699
19830331	3.31	-5.473808122	1606
19830429	7.49	-8.343711083	1472
19830531	-1.23	20.65217391	1776
19830630	3.52	-2.421171171	1733
19830729	-3.3	3.000577034	1785
19830831	1.13	7.00280112	1910
19830930	1.02	-10.47120419	1710
19831031	-1.52	0.292397661	1715
19831130	1.74	4.081632653	1785
19831230	-0.88	-5.434173669	1688
19840131	-0.92	12.38151659	1897
19840229	-3.89	19.13547707	2260
19840330	1.35	-26.4159292	1663
19840430	0.55	11.30487072	1851
19840531	-5.94	-4.15991356	1774
19840629	1.75	3.88951522	1843
19840731	-1.65	-6.022788931	1732
19840831	10.63	-8.429561201	1586
19840928	-0.35	7.061790668	1698
19841031	-0.01	-6.360424028	1590
19841130	-1.51	6.226415094	1689
19841231	2.24	-4.558910598	1612
19850131	7.41	6.141439206	1711
19850228	0.87	-4.617182934	1632
19850329	-0.29	10.29411765	1800
19850430	-0.46	1.166666667	1821
19850531	5.41	-7.742998353	1680
19850628	1.21	-0.238095238	1676
19850731	-0.48	0.477326969	1684
19850830	-1.2	3.503562945	1743
19850930	-3.47	-3.843947217	1676
19851031	4.25	9.427207637	1834
19851129	6.51	-7.415485278	1698
19851231	4.51	14.36984688	1942
19860131	0.24	1.544799176	1972
19860228	7.15	-6.288032454	1848
19860331	5.28	1.515151515	1876
19860430	-1.41	3.038379531	1933
19860530	5.02	-4.086911536	1854
19860630	1.41	-0.377562028	1847
19860731	-5.87	-3.519220357	1782
19860829	7.12	1.40291807	1807
19860930	-8.54	-6.640841173	1687
19861031	5.47	-0.355660937	1681
19861128	2.15	-3.450327186	1623
19861231	-2.83	12.93900185	1833
19870130	13.18	-3.218767049	1774
19870227	3.69	0.563697858	1784
19870331	2.64	-3.251121076	1726
19870430	-1.15	-6.488991889	1614
19870529	0.6	0.867410161	1628
