Year	Obesity (%)	Miles Driven per Licensed Driver	Vehicle Miles/Driver	Vehicle Miles	Lic Drivers	Adult Population	VMT/Adult	Real GDP	GDP/Adult
1985			10.43849586	1637.8	156.9	175.3	9.342840844	6849.3	39.07187678
1986			10.62131661	1694.1	159.5	177.3	9.55499154	7086.5	39.96897913
1987			10.95735476	1772.9	161.8	179.2	9.893415179	7313.3	40.81082589
1988			11.49478208	1872.5	162.9	181.3	10.32818533	7613.9	41.996139
1989			11.70108696	1937.7	165.6	183.4	10.56543075	7885.9	42.99836423
1990			11.8742515	1983	167	185.3	10.70156503	8033.9	43.35617917
1991		10438.49586	11.87573965	2007	169	187	10.73262032	8015.1	42.86149733
1992		10621.31661	12.01039861	2079	173.1	188.9	11.00582319	8287.1	43.87030175
1993		10957.35476	12.25303293	2121	173.1	190.7	11.12218144	8523.4	44.69533298
1994		11494.78208	12.37742303	2171	175.4	192.4	11.28378378	8870.7	46.10550936
1995	15.9	11701.08696	12.61608154	2228	176.6	194.2	11.47270855	9093.7	46.82646756
1996	16.8	11874.2515	12.73760446	2286.4	179.5	196.1	11.65935747	9433.9	48.10759816
1997	16.5	11875.73965	12.88067871	2353.3	182.7	198.2	11.87336024	9854.3	49.71897074
1998	18.3	12010.39861	13.06972973	2417.9	185	200.3	12.07139291	10283.5	51.34048927
1999	19.6	12253.03293	13.19497863	2470.1	187.2	202.5	12.19802469	10779.8	53.23358025
2000	20	12377.42303	13.23871983	2523.3	190.6	209.8	12.02716873	11226	53.50810296
2001	20.9	12616.08154	13.44223732	2571.5	191.3	212.3	12.11257654	11347.2	53.44889308
2002	21.9	12737.60446	13.50746269	2624.5	194.3	214.8	12.21834264	11553	53.7849162
2003	22.9	12880.67871	13.5382263	2656.2	196.2	217.1	12.23491479	11840.7	54.54030401
2004	23.2	13069.72973	13.71091001	2727.1	198.9	219.6	12.41848816	12263.8	55.84608379
2005	24.4	13194.97863	13.71321696	2749.5	200.5	222	12.38513514	12638.4	56.92972973
2006	25.1	13238.71983	13.67357002	2773	202.8	224.6	12.34639359	12976.2	57.7747106
2007	26.3	13442.23732	13.52600875	2782.3	205.7	227.2	12.24603873	13228.9	58.22579225
