Selling Price	Crime Rate	Miles Phila	PopChg	Name	County	Residuals Selling Price	1000/Crime Rate	Residuals Selling Price 2
140.463	2.97	10	-1	Abington	Montgome	-16796.476	33.6700337	-1368.9547
113.033	2.41	18	4	Ambler	Montgome	-57043.137	41.4937759	-38956.071
124.186	1.95	25	8	Aston	Delaware	-56418.108	51.2820513	-40510.628
110.49	4.94	25	2.7	Bensalem	Bucks	-1682.294	20.242915	-13910.296
79.124	5.41	19	3.9	Bristol B.	Bucks	-22291.454	18.4842884	-42993.172
92.634	4.86	20	0.6	Bristol T.	Bucks	-21369.246	20.5761317	-32198.892
89.246	3.08	15	-2.6	Brookhaven	Delaware	-65495.917	32.4675325	-51024.816
195.145	1.08	20	-3.5	Bryn Athyn	Montgome	-5370.706	92.5925926	-23182.736
297.342	2.02	14	0.6	Bryn Mawr	Montgome	118339.975	49.5049505	134952.48
264.298	2.04	26	6	Buckingham	Bucks	85753.7125	49.0196078	102538.573
134.342	1.73	31	4.2	Chalfont	Bucks	-51297.225	57.8034682	-38821.01
284.432	.	31	-2.1	Charlestowne	Chester	.	.	.
147.6	5.03	9	-1	Cheltenham	Montgome	37487.5265	19.8807157	23669.9266
77.37	3.42	10	-1.2	Clifton	Delaware	-69590.373	29.2397661	-58710.392
170.822	3.37	32	2.4	Collegeville	Montgome	22717.282	29.6735905	34178.3985
66.803	.	12	-0.9	Collindale	Delaware	.	.	.
92.285	.	16	3.2	Conshohocken	Montgome	.	.	.
40.642	4.57	15	0	Darby Bor.	Delaware	-79998.445	21.8818381	-85886.016
71.359	2.23	8	1.6	Darby Town	Delaware	-102836.78	44.8430493	-84978.241
104.923	4.81	21	6.9	Downingtown	Chester	-10224.59	20.7900208	-20187.572
190.317	1.94	26	1.9	Doylestown	Bucks	9484.0231	51.5463918	25277.1942
215.512	7.19	26	5.8	E. Bradford	Chester	154835.218	13.9082058	99335.6938
178.105	4.51	25	2.3	E. Goshen	Chester	56091.3415	22.172949	51199.0514
131.025	3.13	19	-1.8	E. Norriton	Montgome	-22572.573	31.9488818	-8572.4818
149.844	2.49	22	6.4	E. Pikeland	Chester	-18401.185	40.1606426	-414.34019
170.556	2.72	30	4.6	E. Whiteland	Chester	7574.80066	36.7647059	24706.4098
280.969	1.77	14	2.9	Easttown	Chester	96245.2511	56.4971751	109501.876
114.233	2.9	30	1.3	Falls Town	Bucks	-44628.558	34.4827586	-28654.069
74.502	2.14	15	-3.2	Follcroft	Delaware	-101753.6	46.728972	-84283.626
475.112	2.86	12	.	Gladwyne	Montgome	315334.966	34.965035	331598.819
97.167	2.93	10	0.2	Glenolden	Delaware	-61007.952	34.1296928	-45261.704
114.572	1.75	20	5.2	Hatboro	Montgome	-70609.487	57.1428571	-57733.376
436.348	1.65	10	-0.7	Haverford	Delaware	248877.824	60.6060606	259546.545
389.302	1.78	20	1.5	Horsham	Montgome	204807.12	56.1797753	218246.938
122.392	1.73	10	1.9	Jenkintown	Montgome	-63247.225	57.8034682	-50771.01
130.436	3.12	17	-0.4	L Southampton	Delaware	-23390.442	32.0512821	-9294.4222
272.79	1.45	20	-5.1	L. Gwynedd	Montgome	80742.4449	68.9655172	85135.9419
194.435	1.57	32	15	L. Makefield	Bucks	5133.87221	63.6942675	13624.3033
299.621	2.86	10	1.4	L. Merion	Montgome	139843.966	34.965035	156107.819
210.884	2.08	20	0.1	L. Moreland	Montgome	33255.1883	48.0769231	50348.4065
135.525	.	23	15.5	Langhorn	Bucks	.	.	.
150.833	.	23	6.8	Langhorn M.	Bucks	.	.	.
112.471	2.93	35	3.4	Lansdale	Montgome	-45703.952	34.1296928	-29957.704
93.738	1.93	7	-0.4	Lansdown	Delaware	-87323.846	51.8134715	-71648.54
121.024	3.95	35	26.9	Limerick	Montgome	-13806.319	25.3164557	-9962.9831
156.035	1.3	23	6.3	Malvern	Chester	-39445.589	76.9230769	-41949.902
185.404	2.41	10	0.9	Marple	Delaware	15327.8634	41.4937759	33414.9292
126.16	3.8	20	-2.4	Media	Delaware	-12103.354	26.3157895	-6124.3609
179.908	.	15	-1.1	Middletown	Delaware	.	.	.
143.072	4.01	23	1.6	Middletown	Bucks	9614.8943	24.9376559	12576.791
96.769	3.61	15	5.1	Morrisville	Bucks	-45842.863	27.700831	-37313.481
94.014	2.66	14	0.5	Morton	Delaware	-70340.413	37.593985	-52912.196
118.214	2.51	25	5.7	N. Wales	Montgome	-49573.447	39.8406375	-31628.896
157.446	1.46	15	3.1	Narberth	Montgome	-34372.686	68.4931507	-29594.812
150.283	1.82	15	0.9	Nether	Delaware	-33296.404	54.9450549	-19169.095
153.842	1.53	23	8.5	Newtown	Bucks	-36374.604	65.3594771	-29130.543
197.214	1.52	25	2.1	Newtown B.	Bucks	6768.5275	65.7894737	13683.2172
206.127	1.74	15	2.7	Newtown T.	Delaware	20716.6442	57.4712644	33395.2716
71.981	7.33	19	4.9	Norristown	Montgome	14508.3834	13.6425648	-43850.44
169.401	0.71	22	1.5	Northampton	Bucks	-39582.857	140.84507	-111570.16
99.843	1.25	12	-3.7	Norwood	Delaware	-96781.934	80	-102136.49
117.53	.	42	10.3	Perkiomen	Montgome	.	.	.
60	4.58	18	-1.4	Phila, Far NE	Phila	-60411.576	21.8340611	-66465.99
28	4.49	5.5	-8.4	Phila, N	Phila	-94471.396	22.2717149	-99034.171
