Rider	Team	Prologue Gaps	Stage 19 Gaps	Prologue Time (minutes)	Stage 19 Time (minutes)
CONTADOR Alberto	ASTANA	+ 00 27	+ 05 43	10.45	66.71666667
DE LA FUENTE David	ASTANA	+ 01 31	+ 10 20	11.51666667	71.33333333
GRIVKO Andriy	ASTANA	+ 00 40	+ 06 26	10.66666667	67.43333333
HERNANDEZ BLAZQUEZ Jesus	ASTANA	+ 01 24	+ 10 55	11.4	71.91666667
IGLINSKIY Maxim	ASTANA	+ 01 16	+ 08 41	11.26666667	69.68333333
NAVARRO Daniel	ASTANA	+ 01 16	+ 09 57	11.26666667	70.95
NOVAL GONZALEZ Benjamin	ASTANA	+ 01 08	+ 09 09	11.13333333	70.15
TIRALONGO Paolo	ASTANA	+ 01 10	+ 08 44	11.16666667	69.73333333
VINOKOUROV Alexandre	ASTANA	+ 00 38	+ 05 32	10.63333333	66.53333333
SCHLECK Andy	TEAM SAXO BANK	+ 01 09	+ 06 14	11.15	67.23333333
BRESCHEL Matti	TEAM SAXO BANK	+ 01 22	+ 06 56	11.36666667	67.93333333
CANCELLARA Fabian	TEAM SAXO BANK	0	0	10	61
FUGLSANG Jakob	TEAM SAXO BANK	+ 00 50	+ 05 08	10.83333333	66.13333333
O’GRADY Stuart	TEAM SAXO BANK	+ 01 06	+ 04 06	11.1	65.1
SCHLECK Frank	TEAM SAXO BANK	+ 00 57		10.95	
SORENSEN Chris	TEAM SAXO BANK	+ 01 19	+ 04 46	11.31666667	65.76666667
SORENSEN Nicki	TEAM SAXO BANK	+ 01 12	+ 04 15	11.2	65.25
VOIGT Jens	TEAM SAXO BANK	+ 00 59	+ 09 18	10.98333333	70.3
ARMSTRONG Lance	TEAM RADIOSHACK	+ 00 22	+ 07 05	10.36666667	68.08333333
BRAJKOVIC Janez	TEAM RADIOSHACK	+ 00 35	+ 07 09	10.58333333	68.15
HORNER Christopher	TEAM RADIOSHACK	+ 00 52	+ 07 08	10.86666667	68.13333333
KLÖDEN Andréas	TEAM RADIOSHACK	+ 00 36	+ 07 35	10.6	68.58333333
LEIPHEIMER Levi	TEAM RADIOSHACK	+ 00 28	+ 05 59	10.46666667	66.98333333
MURAVYEV Dmitriy	TEAM RADIOSHACK	+ 01 34	+ 04 38	11.56666667	65.63333333
PAULINHO Sergio	TEAM RADIOSHACK	+ 00 54	+ 07 49	10.9	68.81666667
POPOVYCH Yaroslav	TEAM RADIOSHACK	+ 01 01	+ 05 28	11.01666667	66.46666667
RAST Gregory	TEAM RADIOSHACK	+ 01 12	+ 08 45	11.2	69.75
WIGGINS Bradley	SKY PRO CYCLING	+ 00 56	+ 03 33	10.93333333	64.55
BARRY Michaël	SKY PRO CYCLING	+ 01 08	+ 07 19	11.13333333	68.31666667
CUMMINGS Stephen	SKY PRO CYCLING	+ 01 07	+ 07 11	11.11666667	68.18333333
FLECHA Juan Antonio	SKY PRO CYCLING	+ 00 46	+ 05 15	10.76666667	66.25
GERRANS Simon	SKY PRO CYCLING	+ 00 50		10.83333333	
BOASSON HAGEN Edvald	SKY PRO CYCLING	+ 00 32	+ 10 11	10.53333333	71.18333333
LÖVKVIST Thomas	SKY PRO CYCLING	+ 00 48	+ 07 59	10.8	68.98333333
PAUWELS Serge	SKY PRO CYCLING	+ 01 24	+ 10 44	11.4	71.73333333
THOMAS Geraint	SKY PRO CYCLING	+ 00 23	+ 03 38	10.38333333	64.63333333
BASSO Ivan	LIQUIGAS-DOIMO	+ 00 55	+ 09 51	10.91666667	70.85
BELLOTTI Francesco	LIQUIGAS-DOIMO	+ 00 53	+ 07 58	10.88333333	68.96666667
KOREN Kristjan	LIQUIGAS-DOIMO	+ 00 42	+ 10 13	10.7	71.21666667
KREUZIGER Roman	LIQUIGAS-DOIMO	+ 00 38	+ 07 25	10.63333333	68.41666667
KUCHYNSKI Aleksandr	LIQUIGAS-DOIMO	+ 01 04	+ 09 01	11.06666667	70.01666667
OSS Daniel	LIQUIGAS-DOIMO	+ 00 43	+ 06 20	10.71666667	67.33333333
QUINZIATO Manuel	LIQUIGAS-DOIMO	+ 00 41	+ 06 53	10.68333333	67.88333333
SZMYD Sylvester	LIQUIGAS-DOIMO	+ 01 20	+ 09 13	11.33333333	70.21666667
VANDBORG Brian	LIQUIGAS-DOIMO	+ 01 12	+ 09 28	11.2	70.46666667
VANDEVELDE Christian	GARMIN - TRANSITIONS	+ 01 00		11	
DEAN Julian	GARMIN - TRANSITIONS	+ 01 22	+ 09 13	11.36666667	70.21666667
FARRAR Tyler	GARMIN - TRANSITIONS	+ 00 28		10.46666667	
HESJEDAL Ryder	GARMIN - TRANSITIONS	+ 00 46	+ 06 40	10.76666667	67.66666667
HUNTER Robert	GARMIN - TRANSITIONS	+ 00 39		10.65	
MAASKANT Martijn	GARMIN - TRANSITIONS	+ 00 49	+ 04 48	10.81666667	65.8
MILLAR David	GARMIN - TRANSITIONS	+ 00 20	+ 04 20	10.33333333	65.33333333
VAN SUMMEREN Johan	GARMIN - TRANSITIONS	+ 00 54	+ 09 29	10.9	70.48333333
ZABRISKIE David	GARMIN - TRANSITIONS	+ 00 40	+ 03 00	10.66666667	64
LE MEVEL Christophe	FDJ	+ 01 04	+ 10 02	11.06666667	71.03333333
CASAR Sandy	FDJ	+ 00 49	+ 08 39	10.81666667	69.65
DI GREGORIO Rémy	FDJ	+ 01 19	+ 10 14	11.31666667	71.23333333
GESLIN Anthony	FDJ	+ 01 22	+ 09 05	11.36666667	70.08333333
LADAGNOUS Matthieu	FDJ	+ 00 49	+ 08 16	10.81666667	69.26666667
ROUX Anthony	FDJ	+ 01 06	+ 05 09	11.1	66.15
ROY Jérémy	FDJ	+ 00 49	+ 04 00	10.81666667	65
SULZBERGER Wesley	FDJ	+ 01 37	+ 09 03	11.61666667	70.05
VAUGRENARD Benoît	FDJ	+ 00 59	+ 07 51	10.98333333	68.85
KARPETS Vladimir	KATUSHA TEAM	+ 00 40		10.66666667	
BRUTT Pavel	KATUSHA TEAM	+ 00 59	+ 04 15	10.98333333	65.25
IVANOV Serguei	KATUSHA TEAM	+ 01 28	+ 10 55	11.46666667	71.91666667
KOLOBNEV Alexandr	KATUSHA TEAM	+ 01 23	+ 07 51	11.38333333	68.85
MC EWEN Robbie	KATUSHA TEAM	+ 01 06	+ 10 06	11.1	71.1
PLIUSCHIN Alexandr	KATUSHA TEAM	+ 00 51	+ 06 54	10.85	67.9
RODRIGUEZ OLIVER Joaquin	KATUSHA TEAM	+ 01 08	+ 10 17	11.13333333	71.28333333
VANDENBERGH Styn	KATUSHA TEAM	+ 01 19		11.31666667	
VORGANOV Eduard	KATUSHA TEAM	+ 01 29	+ 08 30	11.48333333	69.5
ROCHE Nicolas	AG2R LA MONDIALE	+ 00 49	+ 06 42	10.81666667	67.7
BOUET Maxime	AG2R LA MONDIALE	+ 01 05	+ 06 57	11.08333333	67.95
CHAMPION Dimitri	AG2R LA MONDIALE	+ 01 20	+ 05 38	11.33333333	66.63333333
ELMIGER Martin	AG2R LA MONDIALE	+ 01 01	+ 07 04	11.01666667	68.06666667
GADRET John	AG2R LA MONDIALE	+ 01 22	+ 11 48	11.36666667	72.8
LE LAY David	AG2R LA MONDIALE	+ 00 52		10.86666667	
MONDORY Lloyd	AG2R LA MONDIALE	+ 01 20	+ 11 02	11.33333333	72.03333333
NOCENTINI Rinaldo	AG2R LA MONDIALE	+ 01 27	+ 09 47	11.45	70.78333333
RIBLON Christophe	AG2R LA MONDIALE	+ 00 54	+ 10 29	10.9	71.48333333
SASTRE Carlos	CERVELO TEST TEAM	+ 00 54	+ 06 30	10.9	67.5
GUSTOV Volodymir	CERVELO TEST TEAM	+ 01 21	+ 08 25	11.35	69.41666667
HUNT Jérémy	CERVELO TEST TEAM	+ 01 13	+ 07 46	11.21666667	68.76666667
