Name	Company	TICKER	Total Compensation ($ Million)	Total Revenue ($ Billion)	Log Total Compensation	Log Total Revenue
George W. Buckley	3M CO	MMM	$23.71 	$26.66 	7.375	1.426
Alfred R. Kahn	4KIDS ENTERTAINMENT INC	KIDEQ	$0.79 	$0.01 	5.896	-1.839
Eric J. Schiffer	99 CENTS ONLY STORES	NDN	$0.13 	$1.42 	5.106	0.153
Robert W. Decherd	A. H. BELO CORP	AHC	$2.04 	$0.49 	6.31	-0.312
Norman H. Asbjornson	AAON INC	AAON	$0.37 	$0.25 	5.568	-0.612
David P. Storch	AAR CORP	AIR	$5.31 		6.725	
Robert C. Loudermilk, Jr.	AARON'S INC	AAN	$2.42 	$1.88 	6.383	0.273
Clinton H. Severson	ABAXIS INC	ABAX	$2.29 	$0.14 	6.359	-0.843
Miles D. White	ABBOTT LABORATORIES	ABT	$25.56 	$35.17 	7.408	1.546
Michael S. Jeffries	ABERCROMBIE & FITCH  -CL A	ANF	$23.25 	$3.47 	7.366	0.54
David J. Paterson	ABITIBIBOWATER INC	ABH	$2.38 	$4.75 	6.376	0.676
Henrik C. Slipsager	ABM INDUSTRIES INC	ABM	$3.44 	$3.50 	6.536	0.544
William LaPerch	ABOVENET INC	ABVT	$2.15 	$0.41 	6.332	-0.388
Kenneth F. Bernstein, J.D.	ACADIA REALTY TRUST	AKR	$2.57 	$0.16 	6.41	-0.787
William D. Green	ACCENTURE PLC	ACN	$15.32 	$23.09 	7.185	1.364
Evan G. Greenberg	ACE LTD	ACE	$15.62 	$16.01 	7.194	1.204
Philip G. Heasley	ACI WORLDWIDE INC	ACIW	$2.97 	$0.42 	6.473	-0.378
Robert C. Arzbaecher	ACTUANT CORP  -CL A	ATU	$4.65 	$1.16 	6.668	0.065
Vernon J. Nagel	ACUITY BRANDS INC	AYI	$5.78 	$1.63 	6.762	0.211
John A. Meyer	ACXIOM CORP	ACXM	$6.24 	$1.16 	6.795	0.064
Robert E. Switz	ADC TELECOMMUNICATIONS INC	ADCT	$3.71 		6.569	
Shantanu Narayen	ADOBE SYSTEMS INC	ADBE	$12.23 	$3.80 	7.087	0.58
John J. Quicke	ADPT CORP	ADPT	$0.77 	$0.01 	5.886	-2.051
Thomas R. Stanton	ADTRAN INC	ADTN	$3.16 	$0.61 	6.499	-0.218
Darren R. Jackson	ADVANCE AUTO PARTS INC	AAP	$5.97 	$5.93 	6.776	0.773
Hans-Georg Betz	ADVANCED ENERGY INDS INC	AEIS	$2.49 	$0.46 	6.397	-0.338
Derrick R. Meyer	ADVANCED MICRO DEVICES	AMD	$5.55 	$6.49 	6.744	0.813
Stephanie G. DiMarco	ADVENT SOFTWARE INC	ADVS	$0.75 	$0.28 	5.877	-0.547
John M. Dionisio	AECOM TECHNOLOGY CORP	ACM	$9.39 	$6.55 	6.973	0.816
Thomas P. Johnson	AEROPOSTALE INC	ARO	$4.86 	$2.40 	6.687	0.38
Timothy E. Conver	AEROVIRONMENT INC	AVAV	$1.01 	$0.29 	6.003	-0.534
Paul Hanrahan	AES CORP	AES	$7.87 	$16.65 	6.896	1.221
Ronald A. Williams	AETNA INC	AET	$20.73 	$34.25 	7.317	1.535
Sean M. Healey, J.D.	AFFILIATED MANAGERS GRP INC	AMG	$19.97 	$1.36 	7.3	0.133
Kevin M. King	AFFYMETRIX INC	AFFX	$1.78 	$0.31 	6.249	-0.514
Daniel P. Amos	AFLAC INC	AFL	$15.96 	$20.73 	7.203	1.317
Martin H. Richenhagen	AGCO CORP	AGCO	$8.15 	$6.90 	6.911	0.839
William P. Sullivan	AGILENT TECHNOLOGIES INC	A	$10.44 	$5.46 	7.019	0.737
Martin F. Ellis	AGILYSYS INC	AGYS	$1.45 	$0.68 	6.161	-0.17
John W. Somerhalder, II	AGL RESOURCES INC	AGL	$6.16 	$2.37 	6.79	0.375
A. John Todd, III	AIR METHODS CORP	AIRM	$2.24 	$0.56 	6.349	-0.255
John E. McGlade	AIR PRODUCTS & CHEMICALS INC	APD	$16.92 	$9.03 	7.228	0.955
Peter McCausland	AIRGAS INC	ARG	$4.89 	$4.25 	6.689	0.629
Robert L. Fornaro	AIRTRAN HOLDINGS INC	AAI	$2.16 		6.335	
James L. Wainscott	AK STEEL HOLDING CORP	AKS	$8.20 	$5.97 	6.914	0.776
Paul L. Sagan	AKAMAI TECHNOLOGIES INC	AKAM	$5.97 	$1.02 	6.776	0.01
William S. Ayer	ALASKA AIR GROUP INC	ALK	$3.36 	$3.83 	6.526	0.583
Joseph G. Morone, Ph.D.	ALBANY INTL CORP  -CL A	AIN	$2.88 	$0.91 	6.46	-0.039
Mark C. Rohr	ALBEMARLE CORP	ALB	$9.23 	$2.36 	6.965	0.373
V. James Marino	ALBERTO-CULVER CO	ACV	$5.08 		6.706	
Klaus Kleinfeld, Ph.D., rer. pol., Dipl.-Kfm.	ALCOA INC	AA	$13.29 	$21.01 	7.124	1.322
Steven J. Demetriou	ALERIS CORP-REDH	ARS	$11.93 	$4.12 	7.077	0.615
Stanley M. Kuriyama	ALEXANDER & BALDWIN INC	ALEX	$3.66 	$1.65 	6.563	0.216
