Year	Pfizer Price	Compounded Value of $100 Investment	Percentage Change	Value Weighted Market Return	Calendar Date
1944.04167	$43.50 			0.01807087	19440131
1944.125	$43.50 	$101 	0.8045977	0.003712796	19440229
1944.20833	$43.13 	$100 	-0.862069	0.02441964	19440331
1944.29167	$41.13 	$95 	-4.6376813	-0.01633971	19440429
1944.375	$46.50 	$109 	13.9209732	0.05095529	19440531
1944.45833	$49.31 	$115 	6.04838692	0.05617651	19440630
1944.54167	$47.25 	$110 	-4.1825093	-0.01515065	19440731
1944.625	$49.75 	$117 	6.45502657	0.01592799	19440831
1944.70833	$59.75 	$141 	20.1005027	0.000191178	19440930
1944.79167	$54.50 	$129 	-8.7866105	0.002501064	19441031
1944.875	$57.00 	$136 	5.96330278	0.01645549	19441130
1944.95833	$69.50 	$166 	21.9298244	0.04122415	19441230
1945.04167	$65.56 	$157 	-5.6654677	0.01919393	19450131
1945.125	$72.50 	$174 	11.1153476	0.06428244	19450228
1945.20833	$67.00 	$161 	-7.5862072	-0.03871334	19450331
1945.29167	$71.00 	$171 	5.97014911	0.07747505	19450430
1945.375	$23.38 	$170 	-0.3873239	0.0186271	19450531
1945.45833	$20.88 	$152 	-10.695187	0.003422419	19450630
1945.54167	$21.63 	$157 	3.59281451	-0.02204707	19450731
1945.625	$22.13 	$162 	3.23699415	0.06113967	19450831
1945.70833	$25.00 	$183 	12.9943505	0.04805305	19450929
1945.79167	$28.25 	$207 	12.9999995	0.03901899	19451031
1945.875	$34.00 	$252 	21.592921	0.05454623	19451130
1945.95833	$36.50 	$271 	7.35294148	0.01176684	19451231
1946.04167	$40.00 	$297 	9.58904102	0.06331039	19460131
1946.125	$37.75 	$282 	-5.0000001	-0.05785017	19460228
1946.20833	$53.75 	$401 	42.3841059	0.05872145	19460330
1946.29167	$58.75 	$438 	9.30232555	0.04289852	19460430
1946.375	$72.50 	$545 	24.2553189	0.03987907	19460531
1946.45833	$69.00 	$518 	-4.8275862	-0.03913886	19460628
1946.54167	$75.00 	$563 	8.69565234	-0.02546375	19460731
1946.625	$68.38 	$523 	-7.2333336	-0.06403337	19460830
1946.70833	$61.25 	$468 	-10.420475	-0.1002069	19460930
1946.79167	$61.38 	$469 	0.20408162	-0.01415803	19461031
1946.875	$57.00 	$449 	-4.2769857	0.001199481	19461130
1946.95833	$61.25 	$483 	7.45614022	0.0509215	19461231
1947.04167	$60.00 	$473 	-2.0408163	0.0151365	19470131
1947.125	$56.75 	$451 	-4.5833334	-0.01157218	19470228
1947.20833	$53.50 	$425 	-5.7268724	-0.01707364	19470331
1947.29167	$49.00 	$390 	-8.4112152	-0.04784649	19470430
1947.375	$43.38 	$349 	-10.459184	-0.009983772	19470529
1947.45833	$40.50 	$326 	-6.6282421	0.05363423	19470630
1947.54167	$47.50 	$382 	17.2839508	0.04124501	19470731
1947.625	$43.75 	$356 	-6.8421051	-0.01750209	19470829
1947.70833	$44.50 	$362 	1.71428565	-0.004411033	19470930
1947.79167	$47.00 	$382 	5.61797768	0.02464402	19471031
1947.875	$47.50 	$396 	3.72340418	-0.01822732	19471129
1947.95833	$55.25 	$461 	16.3157895	0.03020265	19471231
1948.04167	$50.00 	$417 	-9.5022626	-0.0372447	19480131
1948.125	$50.00 	$422 	0.99999998	-0.04345158	19480228
1948.20833	$57.63 	$486 	15.2500004	0.08275537	19480331
1948.29167	$57.63 	$486 	0	0.03776556	19480430
1948.375	$63.00 	$535 	10.1952277	0.07456726	19480528
1948.45833	$61.00 	$518 	-3.1746034	-0.000179422	19480630
1948.54167	$58.13 	$494 	-4.7131147	-0.05043093	19480730
1948.625	$55.50 	$476 	-3.6559138	0.003849566	19480831
1948.70833	$52.00 	$446 	-6.3063063	-0.02954977	19480930
1948.79167	$52.00 	$446 	0	0.06004519	19481030
1948.875	$46.25 	$407 	-8.6538464	-0.09064294	19481130
1948.95833	$45.50 	$401 	-1.6216217	0.03220153	19481231
1949.04167	$48.75 	$429 	7.14285746	0.003043699	19490131
1949.125	$44.50 	$396 	-7.692308	-0.02946458	19490228
1949.20833	$45.50 	$405 	2.24719103	0.04151975	19490331
1949.29167	$41.75 	$372 	-8.2417585	-0.01784746	19490430
1949.375	$42.50 	$383 	2.9940119	-0.02753449	19490531
1949.45833	$45.75 	$412 	7.64705911	0.003082199	19490630
1949.54167	$48.50 	$437 	6.01092912	0.05583285	19490729
1949.625	$46.88 	$427 	-2.3195876	0.02670887	19490831
1949.70833	$47.00 	$428 	0.26666666	0.03187842	19490930
1949.79167	$49.75 	$453 	5.85106388	0.03062768	19491031
1949.875	$51.75 	$483 	6.53266311	0.01888669	19491130
1949.95833	$55.75 	$520 	7.72946849	0.05202139	19491231
1950.04167	$54.63 	$509 	-2.0179372	0.01730344	19500131
1950.125	$62.38 	$586 	15.1029751	0.01461989	19500228
1950.20833	$62.25 	$585 	-0.2004008	0.01220667	19500331
1950.29167	$75.00 	$705 	20.4819277	0.04025188	19500429
1950.375	$74.25 	$703 	-0.3333333	0.04368265	19500531
1950.45833	$65.00 	$615 	-12.457912	-0.05793695	19500630
1950.54167	$60.50 	$573 	-6.9230773	0.01611416	19500731
1950.625	$70.00 	$667 	16.5289253	0.05071009	19500831
1950.70833	$69.50 	$662 	-0.7142857	0.04879498	19500929
1950.79167	$67.00 	$639 	-3.5971224	-0.001110113	19501031
1950.875	$77.25 	$748 	17.1641797	0.02851141	19501130
1950.95833	$84.50 	$818 	9.38511342	0.05770318	19501230
1951.04167	$89.75 	$869 	6.21301793	0.0582365	19510131
1951.125	$84.63 	$824 	-5.1532034	0.01443913	19510228
1951.20833	$88.50 	$862 	4.57902513	-0.02094881	19510331
1951.29167	$100.88 	$983 	13.9830515	0.04960913	19510430
1951.375	$111.00 	$1,086 	10.5328374	-0.02262381	19510531
1951.45833	$38.38 	$1,149 	5.79914898	-0.0253245	19510629
1951.54167	$46.00 	$1,378 	19.8697075	0.07116137	19510731
1951.625	$42.50 	$1,280 	-7.0652172	0.04508132	19510831
1951.70833	$42.50 	$1,280 	0	0.009176482	19510928
1951.79167	$38.25 	$1,152 	-10	-0.02239515	19511031
1951.875	$38.63 	$1,176 	2.02614386	0.005922062	19511130
1951.95833	$42.00 	$1,278 	8.73786435	0.03489168	19511231
