Year	Aaa	Baa	Aaa Spread	Baa Spread	Baa-Aaa	30-year Treasury Bond _(H15)	Yield, Long Bond
1919.04167	5.35	7.12			1.77		
1919.125	5.35	7.2			1.85		
1919.20833	5.39	7.15			1.76		
1919.29167	5.44	7.23			1.79		
1919.375	5.39	7.09			1.7		
1919.45833	5.4	7.04			1.64		
1919.54167	5.44	7.06			1.62		
1919.625	5.56	7.13			1.57		
1919.70833	5.6	7.27			1.67		
1919.79167	5.54	7.34			1.8		
1919.875	5.66	7.54			1.88		
1919.95833	5.73	7.77			2.04		
1920.04167	5.75	7.78			2.03		
1920.125	5.86	7.94			2.08		
1920.20833	5.92	7.97			2.05		
1920.29167	6.04	8.17			2.13		
1920.375	6.25	8.39			2.14		
1920.45833	6.38	8.39			2.01		
1920.54167	6.34	8.52			2.18		
1920.625	6.3	8.39			2.09		
1920.70833	6.22	8.14			1.92		
1920.79167	6.05	7.99			1.94		
1920.875	6.08	8.21			2.13		
1920.95833	6.26	8.56			2.3		
1921.04167	6.14	8.5			2.36		
1921.125	6.08	8.42			2.34		
1921.20833	6.08	8.55			2.47		
1921.29167	6.06	8.53			2.47		
1921.375	6.11	8.52			2.41		
1921.45833	6.18	8.56			2.38		
1921.54167	6.12	8.48			2.36		
1921.625	5.99	8.51			2.52		
1921.70833	5.93	8.34			2.41		
1921.79167	5.84	8.34			2.5		
1921.875	5.6	7.88			2.28		
1921.95833	5.5	7.61			2.11		
1922.04167	5.34	7.7			2.36		
1922.125	5.29	7.55			2.26		
1922.20833	5.23	7.45			2.22		
1922.29167	5.15	7.14			1.99		
1922.375	5.13	6.89			1.76		
1922.45833	5.08	6.97			1.89		
1922.54167	5	6.89			1.89		
1922.625	4.96	6.85			1.89		
1922.70833	4.93	6.75			1.82		
1922.79167	4.97	6.78			1.81		
1922.875	5.09	6.98			1.89		
1922.95833	5.08	7.02			1.94		
1923.04167	5.04	6.98			1.94		
1923.125	5.07	6.97			1.9		
1923.20833	5.13	7.09			1.96		
1923.29167	5.22	7.17			1.95		
1923.375	5.16	7.17			2.01		
1923.45833	5.15	7.21			2.06		
1923.54167	5.14	7.34			2.2		
1923.625	5.08	7.38			2.3		
1923.70833	5.12	7.38			2.26		
1923.79167	5.11	7.46			2.35		
1923.875	5.09	7.4			2.31		
1923.95833	5.09	7.38			2.29		
1924.04167	5.09	7.24			2.15		
1924.125	5.09	7.14			2.05		
1924.20833	5.1	7.08			1.98		
1924.29167	5.08	7.03			1.95		
1924.375	5.04	6.97			1.93		
1924.45833	4.99	6.82			1.83		
1924.54167	4.95	6.67			1.72		
1924.625	4.95	6.69			1.74		
1924.70833	4.95	6.73			1.78		
1924.79167	4.92	6.62			1.7		
1924.875	4.94	6.54			1.6		
1924.95833	4.95	6.46			1.51		
1925.04167	4.95	6.44			1.49		
1925.125	4.95	6.36			1.41		
1925.20833	4.91	6.36			1.45		
1925.29167	4.87	6.41			1.54		
1925.375	4.83	6.3			1.47		
1925.45833	4.83	6.18			1.35		
1925.54167	4.87	6.2			1.33		
1925.625	4.9	6.24			1.34		
1925.70833	4.87	6.2			1.33		
1925.79167	4.85	6.17			1.32		
1925.875	4.84	6.17			1.33		
1925.95833	4.85	6.15			1.3		
1926.04167	4.82	6.09			1.27		
1926.125	4.77	6.02			1.25		
1926.20833	4.79	6.05			1.26		
1926.29167	4.74	5.98			1.24		
1926.375	4.71	5.86			1.15		
1926.45833	4.72	5.8			1.08		
1926.54167	4.71	5.79			1.08		
1926.625	4.72	5.81			1.09		
1926.70833	4.72	5.79			1.07		
1926.79167	4.71	5.81			1.1		
1926.875	4.68	5.77			1.09		
1926.95833	4.68	5.68			1		
1927.04167	4.66	5.61			0.95		
1927.125	4.67	5.59			0.92		
1927.20833	4.62	5.54			0.92		
1927.29167	4.58	5.48			0.9		
1927.375	4.57	5.5			0.93		
1927.45833	4.58	5.55			0.97		
1927.54167	4.6	5.55			0.95		
1927.625	4.56	5.48			0.92		
1927.70833	4.54	5.42			0.88		
1927.79167	4.51	5.38			0.87		
1927.875	4.49	5.35			0.86		
1927.95833	4.46	5.32			0.86		
1928.04167	4.46	5.35			0.89		
1928.125	4.46	5.33			0.87		
1928.20833	4.46	5.32			0.86		
1928.29167	4.46	5.33			0.87		
1928.375	4.49	5.42			0.93		
1928.45833	4.57	5.55			0.98		
1928.54167	4.61	5.58			0.97		
1928.625	4.64	5.61			0.97		
1928.70833	4.61	5.59			0.98		
1928.79167	4.61	5.58			0.97		
1928.875	4.58	5.55			0.97		
1928.95833	4.61	5.6			0.99		
1929.04167	4.62	5.63			1.01		
1929.125	4.66	5.66			1		
1929.20833	4.7	5.79			1.09		
1929.29167	4.69	5.8			1.11		
1929.375	4.7	5.8			1.1		
1929.45833	4.77	5.94			1.17		
1929.54167	4.77	5.95			1.18		
1929.625	4.79	6.04			1.25		
1929.70833	4.8	6.12			1.32		
1929.79167	4.77	6.11			1.34		
1929.875	4.76	6.03			1.27		
1929.95833	4.67	5.95			1.28		
1930.04167	4.66	5.92			1.26		
1930.125	4.69	5.89			1.2		
1930.20833	4.62	5.73			1.11		
1930.29167	4.6	5.7			1.1		
1930.375	4.6	5.72			1.12		
1930.45833	4.57	5.78			1.21		
1930.54167	4.52	5.77			1.25		
1930.625	4.47	5.73			1.26		
1930.70833	4.42	5.65			1.23		
1930.79167	4.42	5.94			1.52		
1930.875	4.47	6.25			1.78		
1930.95833	4.52	6.71			2.19		
1931.04167	4.42	6.41			1.99		
1931.125	4.43	6.38			1.95		
1931.20833	4.39	6.44			2.05		
1931.29167	4.4	6.72			2.32		
1931.375	4.37	7.15			2.78		
1931.45833	4.36	7.36			3		
1931.54167	4.36	7.08			2.72		
1931.625	4.4	7.47			3.07		
1931.70833	4.55	8.07			3.52		
1931.79167	4.99	9.04			4.05		
1931.875	4.94	8.93			3.99		
1931.95833	5.32	10.42			5.1		
1932.04167	5.2	9.13			3.93		
1932.125	5.23	8.87			3.64		
1932.20833	4.98	8.83			3.85		
1932.29167	5.17	10.46			5.29		
1932.375	5.36	11			5.64		
1932.45833	5.41	11			5.59		
1932.54167	5.26	10.79			5.53		
1932.625	4.91	8.22			3.31		
1932.70833	4.7	7.61			2.91		
1932.79167	4.64	7.87			3.23		
1932.875	4.63	8.24			3.61		
1932.95833	4.59	8.42			3.83		
1933.04167	4.44	8.01			3.57		
1933.125	4.48	8.37			3.89		
1933.20833	4.68	8.91			4.23		
1933.29167	4.78	9.12			4.34		
1933.375	4.63	7.74			3.11		
1933.45833	4.46	7.07			2.61		
1933.54167	4.36	6.62			2.26		
1933.625	4.3	6.77			2.47		
1933.70833	4.36	7.27			2.91		
1933.79167	4.34	7.49			3.15		
1933.875	4.54	7.98			3.44		
1933.95833	4.5	7.75			3.25		
1934.04167	4.35	7.01			2.66		
1934.125	4.2	6.27			2.07		
1934.20833	4.13	6.26			2.13		
1934.29167	4.07	6.01			1.94		
1934.375	4.01	6.05			2.04		
1934.45833	3.93	6.06			2.13		
1934.54167	3.89	6.13			2.24		
1934.625	3.93	6.49			2.56		
1934.70833	3.96	6.57			2.61		
1934.79167	3.9	6.4			2.5		
1934.875	3.86	6.37			2.51		
1934.95833	3.81	6.23			2.42		
1935.04167	3.77	5.98			2.21		
1935.125	3.69	5.95			2.26		
1935.20833	3.67	6.2			2.53		
1935.29167	3.66	6.13			2.47		
1935.375	3.65	5.94			2.29		
1935.45833	3.61	5.77			2.16		
1935.54167	3.56	5.67			2.11		
1935.625	3.6	5.58			1.98		
1935.70833	3.59	5.53			1.94		
1935.79167	3.52	5.54			2.02		
1935.875	3.47	5.43			1.96		
1935.95833	3.44	5.3			1.86		
1936.04167	3.37	5			1.63		
1936.125	3.32	4.8			1.48		
1936.20833	3.29	4.86			1.57		
1936.29167	3.29	4.91			1.62		
1936.375	3.27	4.94			1.67		
1936.45833	3.24	4.9			1.66		
1936.54167	3.23	4.84			1.61		
1936.625	3.21	4.74			1.53		
1936.70833	3.18	4.62			1.44		
1936.79167	3.18	4.54			1.36		
1936.875	3.15	4.52			1.37		
1936.95833	3.1	4.53			1.43		
1937.04167	3.1	4.49			1.39		
1937.125	3.22	4.53			1.31		
1937.20833	3.32	4.68			1.36		
1937.29167	3.42	4.84			1.42		
1937.375	3.33	4.84			1.51		
1937.45833	3.28	4.93			1.65		
1937.54167	3.25	4.91			1.66		
1937.625	3.24	4.92			1.68		
1937.70833	3.28	5.16			1.88		
1937.79167	3.27	5.52			2.25		
1937.875	3.24	5.82			2.58		
1937.95833	3.21	5.73			2.52		
1938.04167	3.17	5.89			2.72		
1938.125	3.2	5.97			2.77		
1938.20833	3.22	6.3			3.08		
1938.29167	3.3	6.47			3.17		
1938.375	3.22	6.06			2.84		
1938.45833	3.26	6.25			2.99		
1938.54167	3.22	5.63			2.41		
1938.625	3.18	5.49			2.31		
1938.70833	3.21	5.65			2.44		
1938.79167	3.15	5.36			2.21		
