Product ID	Package Types	Chi-Squared	p-value
ID49292698	2	0.21815663	0.89666019
ID22205510	5	30.4410614	0.00017659
ID27948770	2	4.9036203	0.08613752
ID17531519	3	3.38399713	0.49573455
ID65613868	3	9.04343718	0.06002288
ID1005059	4	77.372015	1.24E-14
ID33534931	4	7.19593609	0.30310678
ID46479142	3	4.98606586	0.28873022
ID8147964	3	1.76698069	0.77851757
ID48932504	3	3.73891003	0.442492
ID10164135	4	17.4464453	0.00777522
ID82273971	2	1.52281558	0.46700851
ID50852429	4	4.74910001	0.57637188
ID16135978	4	13.7862446	0.03211724
ID74601424	2	1.34582882	0.51021942
ID32794017	4	5.44648929	0.48794765
ID91977670	3	13.7788167	0.00803549
ID38185456	4	8.02262349	0.23645053
ID58077769	5	6.69040507	0.57037384
ID588188	2	3.27488592	0.19447669
ID61799784	5	15.5005369	0.05011309
ID28064128	5	14.0880069	0.07950019
ID9029720	5	7.00397189	0.53620419
ID36769393	3	3.22903112	0.52025472
ID53135451	2	2.02563043	0.36319507
ID19146605	3	6.69005811	0.15320221
ID36220517	2	0.21488397	0.89812863
ID79844704	2	1.61902947	0.44507399
ID87186728	4	18.4645416	0.00517033
ID65491896	3	8.79481446	0.06643784
ID21614305	3	3.43462346	0.48788836
ID50855521	3	4.91849596	0.29576302
ID96216958	2	1.90194672	0.38636477
ID98997756	4	6.79041384	0.34066537
ID40937731	3	15.5500915	0.00368629
ID42910007	5	6.91841987	0.54545966
ID35579772	3	10.9179462	0.02750183
ID49863948	3	2.42869132	0.65744859
ID62804077	2	0.26201832	0.87720974
ID46970262	5	11.2651822	0.18712156
ID13309375	4	37.4009977	1.47E-06
ID30208360	3	2.76884658	0.59722222
ID45966186	2	3.07896552	0.21449202
ID11464369	5	11.4635434	0.17679147
ID28845064	5	7.00017663	0.53661361
ID45108516	3	1.8453958	0.76416729
ID92723250	3	2.58947549	0.62868862
ID52916293	3	3.65127455	0.45525237
ID15192662	3	5.56782577	0.23383156
ID1843853	3	8.14882802	0.08627607
ID39734344	4	4.19025227	0.65094753
ID41104625	3	3.12064212	0.5378431
ID72859838	4	10.7104926	0.09774682
ID37754328	3	5.11488236	0.27571166
ID1216917	3	4.72877992	0.31627496
ID63975869	4	3.88183806	0.69266318
ID57037365	4	11.1724279	0.0831913
ID99153858	3	3.92149823	0.41673415
ID87046611	2	0.21157718	0.89961481
ID13140523	3	4.68218322	0.32148833
ID38654957	4	11.5287695	0.0733458
ID29612600	3	3.62239299	0.4595138
ID1286511	3	2.0897556	0.71925468
ID23554700	3	3.9013675	0.41951885
ID19881072	4	2.52614933	0.86552974
ID86966974	3	10.4307316	0.03376464
ID89989556	4	7.43733681	0.28228735
ID24042102	4	6.13884959	0.40781731
ID87753170	3	11.64241	0.02021826
ID7347884	2	1.5634087	0.45762539
ID79379589	5	14.0595874	0.08022545
ID89319471	4	12.7543477	0.04710708
ID6743170	3	1.85249233	0.76286588
ID6537099	3	3.97980709	0.40874556
ID13786745	4	8.22740044	0.22191232
ID25937112	2	1.42954963	0.48930228
ID91205699	3	1.24929256	0.86991814
ID1659659	3	4.99197777	0.28812162
ID50311030	4	8.88015412	0.18043115
