Rating	Vehicle Category	D(Economy)	D(Standard)	D(Premium)	Manufacturer	D(US)	D(Europe)	D(Asia)
6.5	Economy	1	0	0	US	1	0	0
5.5	Economy	1	0	0	US	1	0	0
5.5	Economy	1	0	0	US	1	0	0
6	Economy	1	0	0	US	1	0	0
4.5	Economy	1	0	0	US	1	0	0
5	Economy	1	0	0	US	1	0	0
4	Economy	1	0	0	US	1	0	0
7	Economy	1	0	0	US	1	0	0
5	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
5	Economy	1	0	0	US	1	0	0
6	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
6	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
8	Economy	1	0	0	US	1	0	0
8.5	Economy	1	0	0	US	1	0	0
5	Economy	1	0	0	US	1	0	0
6	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
8	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
6	Economy	1	0	0	US	1	0	0
7	Economy	1	0	0	US	1	0	0
4.5	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
5.5	Economy	1	0	0	US	1	0	0
7	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
7.5	Economy	1	0	0	US	1	0	0
5.5	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
5.5	Economy	1	0	0	US	1	0	0
6.5	Economy	1	0	0	US	1	0	0
7	Economy	1	0	0	US	1	0	0
5	Economy	1	0	0	US	1	0	0
7	Economy	1	0	0	US	1	0	0
7	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
7	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
4.5	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
5	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
7	Standard	0	1	0	US	1	0	0
7	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
4.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
5.5	Standard	0	1	0	US	1	0	0
6	Standard	0	1	0	US	1	0	0
5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
6.5	Standard	0	1	0	US	1	0	0
8	Standard	0	1	0	US	1	0	0
7.5	Standard	0	1	0	US	1	0	0
5	Premium	0	0	1	US	1	0	0
6	Premium	0	0	1	US	1	0	0
5	Premium	0	0	1	US	1	0	0
8.5	Premium	0	0	1	US	1	0	0
6	Premium	0	0	1	US	1	0	0
7	Premium	0	0	1	US	1	0	0
4.5	Premium	0	0	1	US	1	0	0
5.5	Premium	0	0	1	US	1	0	0
6.5	Premium	0	0	1	US	1	0	0
5.5	Premium	0	0	1	US	1	0	0
6.5	Premium	0	0	1	US	1	0	0
7.5	Premium	0	0	1	US	1	0	0
5.5	Premium	0	0	1	US	1	0	0
5	Premium	0	0	1	US	1	0	0
9	Economy	1	0	0	Europe	0	1	0
9	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
8.5	Economy	1	0	0	Europe	0	1	0
7.5	Economy	1	0	0	Europe	0	1	0
7.5	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
6.5	Economy	1	0	0	Europe	0	1	0
7.5	Economy	1	0	0	Europe	0	1	0
9.5	Economy	1	0	0	Europe	0	1	0
9	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
9	Economy	1	0	0	Europe	0	1	0
7.5	Economy	1	0	0	Europe	0	1	0
8.5	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
8.5	Economy	1	0	0	Europe	0	1	0
9	Economy	1	0	0	Europe	0	1	0
8	Economy	1	0	0	Europe	0	1	0
2.5	Standard	0	1	0	Europe	0	1	0
1.5	Standard	0	1	0	Europe	0	1	0
4	Standard	0	1	0	Europe	0	1	0
3	Standard	0	1	0	Europe	0	1	0
1	Standard	0	1	0	Europe	0	1	0
2.5	Standard	0	1	0	Europe	0	1	0
1.5	Standard	0	1	0	Europe	0	1	0
1.5	Standard	0	1	0	Europe	0	1	0
2.5	Standard	0	1	0	Europe	0	1	0
3.5	Standard	0	1	0	Europe	0	1	0
2.5	Standard	0	1	0	Europe	0	1	0
4	Standard	0	1	0	Europe	0	1	0
8.5	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
9.5	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
9.5	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
10	Premium	0	0	1	Europe	0	1	0
9.5	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
9.5	Premium	0	0	1	Europe	0	1	0
9.5	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
10	Premium	0	0	1	Europe	0	1	0
8.5	Premium	0	0	1	Europe	0	1	0
8	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
8	Premium	0	0	1	Europe	0	1	0
9	Premium	0	0	1	Europe	0	1	0
6.5	Economy	1	0	0	Asia	0	0	1
6.5	Economy	1	0	0	Asia	0	0	1
7	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
9	Economy	1	0	0	Asia	0	0	1
8	Economy	1	0	0	Asia	0	0	1
8	Economy	1	0	0	Asia	0	0	1
9.5	Economy	1	0	0	Asia	0	0	1
8.5	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
7.5	Economy	1	0	0	Asia	0	0	1
9	Economy	1	0	0	Asia	0	0	1
9.5	Economy	1	0	0	Asia	0	0	1
7	Economy	1	0	0	Asia	0	0	1
