Year	Employees (millions)	Month
1990	109.144	Jan
1990.08333	109.397	Feb
1990.16667	109.618	Mar
1990.25	109.652	Apr
1990.33333	109.801	May
1990.41667	109.82	Jun
1990.5	109.773	Jul
1990.58333	109.569	Aug
1990.66667	109.485	Sep
1990.75	109.321	Oct
1990.83333	109.175	Nov
1990.91667	109.118	Dec
1991	108.998	Jan
1991.08333	108.698	Feb
1991.16667	108.542	Mar
1991.25	108.325	Apr
1991.33333	108.203	May
1991.41667	108.283	Jun
1991.5	108.233	Jul
1991.58333	108.252	Aug
1991.66667	108.285	Sep
1991.75	108.293	Oct
1991.83333	108.235	Nov
1991.91667	108.261	Dec
1992	108.313	Jan
1992.08333	108.242	Feb
1992.16667	108.301	Mar
1992.25	108.457	Apr
1992.33333	108.584	May
1992.41667	108.64	Jun
1992.5	108.714	Jul
1992.58333	108.851	Aug
1992.66667	108.888	Sep
1992.75	109.061	Oct
1992.83333	109.205	Nov
1992.91667	109.418	Dec
1993	109.725	Jan
1993.08333	109.962	Feb
1993.16667	109.916	Mar
1993.25	110.223	Apr
1993.33333	110.496	May
1993.41667	110.66	Jun
1993.5	110.96	Jul
1993.58333	111.119	Aug
1993.66667	111.359	Sep
1993.75	111.638	Oct
1993.83333	111.901	Nov
1993.91667	112.203	Dec
1994	112.473	Jan
1994.08333	112.665	Feb
1994.16667	113.133	Mar
1994.25	113.49	Apr
1994.33333	113.829	May
1994.41667	114.139	Jun
1994.5	114.498	Jul
1994.58333	114.801	Aug
1994.66667	115.155	Sep
1994.75	115.361	Oct
1994.83333	115.786	Nov
1994.91667	116.056	Dec
1995	116.377	Jan
1995.08333	116.588	Feb
1995.16667	116.808	Mar
1995.25	116.971	Apr
1995.33333	116.962	May
1995.41667	117.189	Jun
1995.5	117.26	Jul
1995.58333	117.538	Aug
1995.66667	117.777	Sep
1995.75	117.926	Oct
1995.83333	118.07	Nov
1995.91667	118.21	Dec
1996	118.192	Jan
1996.08333	118.627	Feb
1996.16667	118.882	Mar
1996.25	119.047	Apr
1996.33333	119.376	May
1996.41667	119.647	Jun
1996.5	119.875	Jul
1996.58333	120.078	Aug
1996.66667	120.296	Sep
1996.75	120.534	Oct
1996.83333	120.826	Nov
1996.91667	121.003	Dec
1997	121.232	Jan
1997.08333	121.526	Feb
1997.16667	121.843	Mar
1997.25	122.134	Apr
1997.33333	122.396	May
1997.41667	122.642	Jun
1997.5	122.918	Jul
1997.58333	122.911	Aug
1997.66667	123.417	Sep
1997.75	123.756	Oct
1997.83333	124.063	Nov
1997.91667	124.361	Dec
1998	124.629	Jan
1998.08333	124.814	Feb
1998.16667	124.962	Mar
1998.25	125.24	Apr
1998.33333	125.641	May
1998.41667	125.846	Jun
1998.5	125.967	Jul
1998.58333	126.322	Aug
1998.66667	126.543	Sep
1998.75	126.735	Oct
1998.83333	127.02	Nov
1998.91667	127.364	Dec
1999	127.477	Jan
1999.08333	127.873	Feb
1999.16667	127.997	Mar
1999.25	128.379	Apr
1999.33333	128.593	May
1999.41667	128.85	Jun
1999.5	129.145	Jul
1999.58333	129.338	Aug
1999.66667	129.525	Sep
1999.75	129.947	Oct
1999.83333	130.242	Nov
1999.91667	130.536	Dec
2000	130.781	Jan
2000.08333	130.901	Feb
2000.16667	131.377	Mar
2000.25	131.662	Apr
2000.33333	131.882	May
2000.41667	131.839	Jun
2000.5	132.015	Jul
2000.58333	132.004	Aug
2000.66667	132.122	Sep
2000.75	132.11	Oct
2000.83333	132.326	Nov
2000.91667	132.484	Dec
2001	132.454	Jan
2001.08333	132.546	Feb
2001.16667	132.511	Mar
2001.25	132.214	Apr
2001.33333	132.187	May
2001.41667	132.029	Jun
2001.5	131.941	Jul
2001.58333	131.803	Aug
2001.66667	131.549	Sep
2001.75	131.172	Oct
2001.83333	130.879	Nov
2001.91667	130.705	Dec
2002	130.581	Jan
2002.08333	130.478	Feb
2002.16667	130.441	Mar
2002.25	130.335	Apr
2002.33333	130.326	May
2002.41667	130.377	Jun
2002.5	130.277	Jul
2002.58333	130.295	Aug
2002.66667	130.25	Sep
2002.75	130.309	Oct
2002.83333	130.315	Nov
2002.91667	130.161	Dec
2003	130.247	Jan
2003.08333	130.125	Feb
2003.16667	129.907	Mar
2003.25	129.853	Apr
2003.33333	129.827	May
2003.41667	129.854	Jun
2003.5	129.857	Jul
2003.58333	129.859	Aug
2003.66667	129.953	Sep
2003.75	130.076	Oct
2003.83333	130.172	Nov
2003.91667	130.255	Dec
2004	130.372	Jan
2004.08333	130.466	Feb
2004.16667	130.786	Mar
2004.25	131.123	Apr
2004.33333	131.373	May
2004.41667	131.479	Jun
2004.5	131.562	Jul
2004.58333	131.75	Aug
2004.66667	131.88	Sep
2004.75	132.162	Oct
2004.83333	132.294	Nov
2004.91667	132.449	Dec
2005	132.573	Jan
2005.08333	132.873	Feb
2005.16667	132.995	Mar
2005.25	133.287	Apr
2005.33333	133.413	May
2005.41667	133.588	Jun
2005.5	133.865	Jul
2005.58333	134.013	Aug
2005.66667	134.005	Sep
2005.75	134.061	Oct
