Nominal Loan Amount	Credit Score
60000	588
28600	619
7400	517
50400	558
63600	583
18000	605
6300	529
37000	536
55000	508
156600	711
42000	504
20200	565
5300	619
42000	518
18600	487
20400	626
33000	600
35800	668
48000	593
15400	784
5600	606
22800	511
22200	635
8400	536
94000	633
15800	507
126000	639
30000	506
23600	600
15600	630
19800	661
28400	636
47400	599
14000	427
11600	459
180000	629
49400	718
7600	610
25600	524
14600	578
28200	606
26200	663
23600	591
9400	633
21000	668
4400	480
19200	510
8600	589
62000	637
28400	490
9000	575
48800	616
33400	511
16000	695
97000	611
5400	459
10400	626
36600	703
156000	563
8000	481
19000	635
13600	548
4780	538
11000	515
58800	636
7200	629
25400	658
45400	659
22800	495
26800	645
26300	630
24900	689
17000	472
16200	550
10800	510
16200	618
80000	650
12000	483
18600	525
21000	564
8000	596
35200	589
28000	593
37800	515
10000	576
52000	535
39000	542
97200	501
3200	588
131200	537
72000	573
15400	651
4800	457
11000	520
13400	638
29600	545
20800	551
9000	471
14400	649
8400	538
62000	570
14800	636
21000	583
85000	463
57200	514
51000	532
21600	672
19200	521
35600	581
18800	613
14000	513
19600	595
38000	505
26800	597
40200	655
78200	563
9400	567
32100	617
20800	531
10600	629
20400	613
26200	688
24200	656
8600	546
14000	491
43000	567
39200	626
10000	641
14200	519
32000	537
23800	525
43800	598
11100	618
28500	559
89000	540
32000	590
98600	603
28950	497
21200	516
16000	692
38000	569
31700	646
4300	498
56600	483
27000	702
17600	539
32000	506
26000	554
16100	669
41400	489
4200	581
40400	524
40600	544
18600	616
31800	624
39400	515
15000	548
14000	620
19400	582
51400	525
12000	644
13400	525
50400	605
24000	612
16100	613
37000	668
50000	538
71200	650
104000	720
25000	518
47200	665
25600	556
19000	501
8600	598
41300	518
9200	456
17800	545
40000	546
13400	610
19000	550
192000	654
26400	627
5800	524
8600	546
14800	527
30200	672
19800	524
69900	637
9800	629
13400	598
16600	636
182000	715
56000	614
69600	493
10000	698
40000	578
22200	531
11600	527
12600	532
10400	536
30600	603
26000	612
28200	575
9800	578
52000	542
24000	487
24000	547
90000	557
5800	491
20400	562
100000	539
16400	749
21200	501
64000	521
12000	648
5800	441
46000	686
33100	540
14200	578
105800	509
12200	536
31600	477
16000	616
65000	539
54400	622
14400	507
67400	471
20000	658
10200	575
60600	614
93400	584
15600	524
23000	518
50000	495
10300	696
50000	494
3000	645
58000	574
92000	487
29600	658
11600	643
4200	529
39200	561
12000	520
74000	637
11200	528
30000	661
202000	451
9600	492
48800	613
6600	629
6800	601
200000	612
22000	640
74600	641
67600	763
66000	628
29200	672
14000	522
23200	470
46942	606
29400	712
5000	567
20000	654
26000	644
15400	631
50000	584
28000	487
120000	583
14400	539
9400	593
16600	461
98000	642
42000	731
14800	654
28000	498
6600	529
82000	625
22200	566
4600	636
43400	486
17600	473
6800	465
26000	609
8000	481
7000	550
40000	626
50400	720
46600	552
352000	652
21600	512
35000	484
74000	654
18400	510
3800	539
12600	515
9400	657
37000	486
24400	619
200000	459
175000	640
31600	521
33000	675
66000	588
11200	568
28000	547
16200	547
15000	526
15000	671
38600	675
6200	537
17600	677
9600	626
13800	492
17200	497
73400	513
7400	692
42600	468
8000	630
30000	594
86000	747
5200	454
18000	536
22000	549
32200	523
15200	515
4400	493
26000	643
60000	693
16400	507
32500	515
7200	519
4800	622
56200	599
40000	552
8000	598
36600	580
6000	651
13800	561
8200	716
11000	440
4200	567
14000	568
83000	586
5900	506
21600	517
66000	529
60000	669
42000	553
23000	580
17100	586
19200	647
46000	660
5400	544
131000	516
6300	627
44400	552
22000	614
9600	644
18000	622
30000	532
78000	757
18000	608
9200	545
97200	607
32800	474
15600	656
20000	644
46000	464
12000	618
34000	464
18000	551
34400	594
32000	695
16400	795
40000	588
81800	525
36000	468
103000	597
11600	615
38000	518
10000	668
19400	522
55600	540
31000	726
53200	586
19500	559
111000	567
4600	545
11600	589
13200	630
15000	606
16200	522
41400	623
5000	590
22000	651
13400	645
8127.5	686
18000	466
13200	462
24300	684
117200	568
6600	477
28800	567
4400	497
12500	463
60800	483
10000	609
34800	496
40800	584
13800	508
14800	558
5000	632
8000	523
13200	551
9200	560
20000	534
14000	661
27400	624
10500	633
10800	547
20000	583
47800	624
30000	656
21000	434
20600	534
14300	607
166000	644
11800	592
73500	627
16400	558
16600	556
32000	499
21200	568
11200	559
7400	505
14400	615
27400	500
13800	451
6400	612
15000	658
18800	603
27400	618
52000	656
8800	531
10500	592
15400	648
24000	515
6300	508
51400	470
17000	565
6000	625
25400	653
4800	541
8000	549
26400	463
16400	610
12600	499
8800	425
160000	602
12000	581
200000	648
21000	583
11000	435
90800	540
164000	496
76800	549
14000	600
31000	613
11200	595
18000	749
10300	517
49400	516
6600	554
19000	657
57800	637
41600	697
34400	506
45000	489
30000	502
9400	519
16400	631
15000	679
92000	695
13600	596
20400	694
24200	708
11200	545
8400	455
45000	720
60200	540
9800	587
40000	709
6200	539
42800	602
10800	561
16200	645
63800	574
54000	762
26400	499
23600	564
25600	684
16600	545
14200	507
23400	580
39400	519
6400	660
10000	495
91600	460
18800	499
80000	634
239000	668
51000	602
20000	619
16000	611
26400	532
12200	547
30600	690
36600	657
110000	633
24000	623
28900	628
183000	577
3200	633
30000	565
26400	617
27200	755
5000	657
40000	486
64800	546
7600	558
14000	666
16400	510
30000	536
24400	525
86000	699
72400	639
12200	544
6400	485
21400	539
14400	676
34100	663
36000	572
54400	493
118400	605
8400	679
7700	596
8200	528
8000	663
23600	677
40400	448
34739.36	519
55400	703
15900	503
16000	499
19400	642
77800	657
12000	544
6600	461
6000	590
41200	700
4600	529
17400	771
10100	530
186000	686
44400	493
30000	657
26000	628
52600	519
14900	548
3600	641
30000	617
41400	673
71000	640
48400	753
38200	648
240000	610
34000	607
26000	554
21400	586
26800	607
3000	500
112600	559
6000	542
3000	627
5000	567
24000	486
42000	706
15700	536
25400	645
30000	685
17400	603
192000	695
30000	632
16400	461
6600	512
38000	562
39400	429
13000	672
13400	600
19200	588
52200	475
56200	637
16000	598
16200	531
12400	498
71000	699
13800	509
18000	651
29400	504
14000	570
49600	588
35000	664
11200	539
15600	586
4600	616
32000	639
50000	605
62400	510
100000	554
90000	486
20000	632
20000	546
31800	642
25000	531
12800	475
11000	600
11600	482
9600	518
13000	537
132000	630
250000	614
