CompanyName	TotalAssets	NetIncome	ReturnonAssets	CostofGoodsSold	TotalRevenue	Expense
ARDEN GROUP INC  	127.88 	18.09 	0.141417222	252.20 	417.07 	129.99 	2141
BEST BUY CO INC	17849.00 	1277.00 	0.071544624	36619.00 	50272.00 	10325.00 	180000
BURLINGTON COAT FACTORY WRHS	2458.01 	31.00 	0.012611025	2252.35 	3701.09 	1156.61 	31399
CASEYS GENERAL STORES INC	1610.96 	94.62 	0.058737209	4259.17 	5140.24 	591.59 	22157
CATO CORP  	522.09 	57.74 	0.11059162	565.71 	925.53 	251.12 	9600
CHARMING SHOPPES INC	1022.66 	-53.98	-0.052785975	1046.82 	2061.82 	981.88 	27000
TARGET CORP	43705.00 	2920.00 	0.066811578	45725.00 	67390.00 	14329.00 	355000
DILLARDS INC  	4374.17 	179.62 	0.041063828	3976.06 	6215.66 	1676.84 	38900
DOLLAR GENERAL CORP	9546.22 	627.86 	0.065770207	8615.34 	13035.00 	2902.49 	85900
ASCENA RETAIL GROUP INC	1654.12 	133.38 	0.08063386	1395.27 	2374.57 	680.83 	30000
DUCKWALL ALCO STORES INC	212.71 	-4.64	-0.021790128	322.23 	465.20 	135.50 	3460
FAMILY DOLLAR STORES	2982.06 	358.14 	0.120096631	5058.97 	7866.97 	2069.37 	50000
MACYS INC	20631.00 	847.00 	0.041054724	14824.00 	25003.00 	7117.00 	166000
GAP INC	7065.00 	1204.00 	0.170417551	7992.00 	14664.00 	3921.00 	134000
GENESCO INC	961.08 	53.21 	0.055365723	840.25 	1789.84 	806.63 	15200
GREAT ATLANTIC and PAC TEA CO	2644.85 	-598.58	-0.226317268	5459.40 	8078.46 	2709.25 	39000
HAVERTY FURNITURE	370.24 	8.44 	0.02280689	284.71 	621.05 	312.28 	3100
HOME DEPOT INC	40125.00 	3338.00 	0.083190031	44693.00 	67997.00 	15849.00 	321000
SEARS HOLDINGS CORP	24268.00 	133.00 	0.005480468	31448.00 	43326.00 	10571.00 	312000
KROGER CO	23505.00 	1116.00 	0.04747926	63927.00 	82189.00 	14462.00 	338000
LIMITED BRANDS INC	6451.00 	805.00 	0.124786855	5588.00 	9613.00 	2341.00 	96500
LOWES COMPANIES INC	33699.00 	2010.00 	0.059645687	31663.00 	48815.00 	12006.00 	234000
MEDCO HEALTH SOLUTIONS INC	17097.30 	1427.30 	0.083481018	61606.10 	65968.30 	1406.00 	24625
CVS CAREMARK CORP	62169.00 	3427.00 	0.055123936	74687.00 	96413.00 	14092.00 	280000
NORDSTROM INC	7462.00 	613.00 	0.082149558	5570.00 	9700.00 	2685.00 	54000
OMNICARE INC	7363.41 	-106.11	-0.014410301	4687.17 	6146.21 	932.35 	15200
PENNEY -J C CO	13042.00 	389.00 	0.029826714	10799.00 	17759.00 	5613.00 	156000
PEP BOYS-MANNY MOE and JACK	1556.67 	36.63 	0.023531611	1392.14 	1988.64 	442.24 	18279
PIER 1 IMPORTS INCDE	743.58 	100.13 	0.13465317	841.08 	1396.47 	431.90 	17000
PUBLIX SUPER MARKETS INC	10159.09 	1338.15 	0.131719219	17604.10 	25328.05 	5295.29 	148000
AUTONATION INC	5974.20 	226.60 	0.037929765	10333.50 	12461.00 	1552.10 	19000
RITE AID CORP	7555.85 	-555.42	-0.073509135	18016.86 	25214.91 	6553.61 	91800
ROSS STORES INC	3116.20 	554.80 	0.178036162	5569.04 	7866.10 	1229.78 	49500
RUDDICK CORP	1889.89 	112.04 	0.059284528	2965.25 	4400.45 	1105.79 	25200
SAFEWAY INC	15148.10 	589.80 	0.038935576	28280.10 	41050.00 	10448.10 	180000
SUPERVALU INC	13758.00 	-1510.00	-0.109754325	28199.00 	37572.00 	7578.00 	142000
SYMS CORP	270.77 	-32.86	-0.121344738	271.34 	445.13 	199.86 	2500
RADIOSHACK CORP	2175.40 	206.10 	0.094741197	2454.40 	4472.70 	1554.70 	36400
TOYS R US INC	8832.00 	168.00 	0.019021739	8939.00 	13864.00 	3900.00 	71000
UNITED STATIONERS INC	1908.66 	112.76 	0.059076432	4064.84 	4832.24 	532.35 	5950
VILLAGE SUPER MARKET  	357.13 	25.38 	0.071069558	918.90 	1261.83 	280.77 	4900
WAL-MART STORES INC	180663.00 	16389.00 	0.090715863	307646.00 	420016.00 	81020.00 	2100000
WALGREEN CO	26275.00 	2091.00 	0.079581351	47374.00 	67420.00 	15381.00 	244000
WEIS MARKETS INC	992.08 	68.29 	0.068836113	1858.19 	2620.38 	608.31 	17700
WILLIAMS-SONOMA INC	2131.76 	200.23 	0.093925588	1985.67 	3504.16 	1046.13 	28000
WINN-DIXIE STORES INC	1838.07 	28.90 	0.015721407	5077.96 	7247.80 	2031.37 	49000
FOOT LOCKER INC	2896.00 	169.00 	0.058356354	3533.00 	5049.00 	1138.00 	38007
ZALE CORP	1160.38 	-93.67	-0.08072521	802.17 	1616.31 	869.38 	12800
TJX COMPANIES INC	7971.76 	1343.14 	0.168487322	15578.96 	21942.19 	3710.05 	166000
TUESDAY MORNING CORP	350.54 	10.75 	0.030661615	498.69 	828.27 	293.85 	10100
BIG LOTS INC	1619.60 	222.52 	0.137394503	2939.79 	4952.24 	1576.50 	35600
FREDS INC	595.53 	29.59 	0.049681963	1314.74 	1841.76 	451.06 	9852
TRANS WORLD ENTMT CORP	348.72 	-30.96	-0.088789415	431.89 	652.42 	235.49 	4700
INGLES MARKETS INC  	1529.30 	31.74 	0.02075394	2556.54 	3399.23 	653.67 	18800
SAKS INC	2143.10 	47.85 	0.022325603	1668.49 	2785.75 	895.38 	12900
CASUAL MALE RETAIL GRP INC	182.61 	15.37 	0.08417254	213.22 	393.64 	150.93 	2464
HANCOCK FABRICS INC	140.92 	-10.46	-0.074232027	158.78 	275.47 	105.65 	4300
AMERICAS CAR-MART INC	276.41 	28.18 	0.101932282	195.99 	341.86 	133.11 	1025
TIFFANY and CO	3735.67 	368.40 	0.098617677	1111.58 	3085.29 	1210.87 	9200
FERRELLGAS PARTNERS  	1442.35 	32.71 	0.022677559	1775.19 	2099.06 	74.54 	3685
FASTENAL CO	1468.28 	265.36 	0.180725378	1053.88 	2269.47 	745.11 	13285
GSI COMMERCE INC	1107.16 	-36.50	-0.032968978	565.40 	1357.99 	698.79 	5304
OFFICE DEPOT INC	4569.44 	-44.62	-0.009765536	8067.64 	11633.09 	3319.13 	40000
STAPLES INC	13911.67 	881.95 	0.063396285	17501.78 	24545.11 	4913.19 	89019
ANN INC	926.82 	73.40 	0.079192292	780.68 	1980.20 	978.58 	19400
WET SEAL INC	368.53 	12.57 	0.0341083	384.47 	581.19 	148.83 	6982
AUTOZONE INC	5571.59 	738.31 	0.132513424	3458.78 	7362.62 	2392.33 	63000
DSW INC	1041.48 	17.79 	0.017085351	961.85 	1822.38 	638.69 	10500
VALUEVISION MEDIA INC  	238.36 	-25.87	-0.108525376	362.57 	562.27 	200.67 	905
BON-TON STORES INC	1656.24 	21.49 	0.012977596	1860.18 	3046.49 	942.66 	26500
WHOLE FOODS MARKET INC	3986.54 	245.83 	0.061665755	5605.29 	9005.79 	2694.93 	58300
CHRISTOPHER and BANKS CORP	234.16 	-22.17	-0.094664827	292.71 	448.13 	143.74 	6400
MENS WEARHOUSE INC	1320.32 	67.70 	0.051273254	1128.23 	2102.66 	787.26 	16600
STEIN MART INC	436.44 	48.75 	0.111705053	852.30 	1181.51 	287.39 	11500
BUCKLE INC	494.84 	134.68 	0.272170624	500.93 	949.84 	208.36 	7600
KOHLS CORP	13564.00 	1114.00 	0.082129165	11359.00 	18391.00 	4462.00 	136000
BED BATH and BEYOND INC	5646.19 	791.33 	0.140153374	5135.57 	8758.50 	2150.65 	45000
FINISH LINE INC  	664.85 	68.83 	0.103533906	788.11 	1229.00 	304.30 	11500
BOOKS-A-MILLION INC	274.80 	8.94 	0.032528875	346.86 	494.96 	118.43 	5300
SPORT CHALET INC	127.12 	-3.02	-0.023717747	260.13 	362.48 	92.65 	3100
DESTINATION MATERNITY CORP	205.15 	16.83 	0.08203106	240.17 	531.19 	241.02 	4367
