Bag	Color	Weight (g.)
1	Brown	0.98
1	Brown	0.9
1	Brown	0.9
1	Yellow	0.88
1	Yellow	0.89
1	Yellow	0.8
1	Red	0.85
1	Red	0.83
1	Red	0.83
1	Orange	0.83
1	Orange	0.86
1	Orange	0.86
1	Blue	0.86
1	Blue	0.87
1	Blue	0.81
1	Green	0.82
1	Green	0.87
1	Green	0.91
2	Brown	0.86
2	Brown	0.91
2	Brown	0.8
2	Yellow	0.83
2	Yellow	0.87
2	Yellow	0.8
2	Red	0.88
2	Red	0.87
2	Red	0.83
2	Orange	0.88
2	Orange	0.85
2	Orange	0.92
2	Blue	0.81
2	Blue	0.86
2	Blue	0.91
2	Green	0.87
2	Green	0.84
2	Green	0.86
3	Brown	0.9
3	Brown	0.88
3	Brown	0.91
3	Yellow	0.94
3	Yellow	0.77
3	Yellow	0.85
3	Red	0.87
3	Red	0.85
3	Red	0.83
3	Orange	0.83
3	Orange	0.87
3	Orange	0.9
3	Blue	0.87
3	Blue	0.84
3	Blue	0.88
3	Green	0.84
3	Green	0.89
3	Green	0.89
4	Brown	0.87
4	Brown	0.82
4	Brown	0.88
4	Yellow	0.85
4	Yellow	0.8
4	Yellow	0.75
4	Red	0.85
4	Red	0.75
4	Red	0.86
4	Orange	0.87
4	Orange	0.81
4	Orange	0.82
4	Blue	0.85
4	Blue	0.88
4	Blue	0.89
4	Green	0.92
4	Green	0.89
4	Green	0.81
