Company Name	Total Revenue	Total Assets	Cost of Goods Sold	Net Income	Revenue/Employee	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	NAICS
WORLDS INC	$0.42 	$0.40 	$0.01 	($0.60)	416000		$1.00 	1	-0.0518	511210
AMERICAN GREETINGS  -CL A	$1,598.27 	$1,532.40 	$641.32 	$87.02 	64446.29032		$728.40 	24800	18.5342	511191
AMERICAN SOFTWARE  -CL A	$85.59 	$104.83 	$38.95 	$7.36 	288178.4512	$7.39 	$35.31 	297	2.8428	511210
AUTODESK INC	$1,951.80 	$2,787.60 	$91.20 	$212.00 	287029.4118	$496.20 	$1,473.00 	6800	7.0894	511210
AUTOMATIC DATA PROCESSING	$8,927.70 	$26,862.20 	$4,729.70 	$1,211.40 	189951.0638	$513.90 	$2,120.60 	47000	11.136	518210
BANCTEC INC-REDH	$254.21 	$222.04 	$165.25 	($22.36)		$5.09 	$82.69 			511210
VERIZON COMMUNICATIONS INC	$106,833.00 	$220,005.00 	$42,008.00 	$2,549.00 	549552.4691		$29,281.00 	194400	13.643	517210
BELO CORP  -SER A COM	$687.40 	$1,590.39 	$445.74 	$86.91 	251240.8626			2736	1.6537	515120
ACXIOM CORP	$1,159.97 	$1,306.63 	$777.74 	($23.15)	175753.0303	$11.60 	$159.88 	6600	7.2617	518210
CENTURYLINK INC	$7,041.53 	$22,038.10 	$2,365.67 	$947.71 	346873.5961		$1,059.31 	20300	31.6152	517110
CINCINNATI BELL INC	$1,377.00 	$2,653.60 	$604.50 	$28.30 	459000		$270.90 	3000	-4.1602	517110
CC MEDIA HOLDINGS INC	$5,865.69 	$17,479.87 	$2,422.94 	($479.09)	289192.1806		$1,780.10 	20283	-92.5453	515112
COMCAST CORP	$37,937.00 	$118,534.00 	$15,170.00 	$3,635.00 	371931.3726		$8,091.00 	102000	15.9748	515210
CTI GROUP HOLDINGS INC	$15.24 	$12.43 	$4.84 	($3.33)	122870.9677	$2.44 	$9.74 	124	0.1801	511210
CA INC	$4,429.00 	$12,414.00 	$581.00 	$827.00 	330522.3881	$471.00 	$2,208.00 	13400	11.1885	511210
