Sales	Distance	Sq Ft
2461894	4	8340
3164163	9	10740
2759710	5	10070
1739977	1.5	5910
2143862	3.5	7210
1791770	2	6360
2294372	3	7580
2569116	5	7900
1898309	1.5	6430
2126273	3.5	8270
2185353	2	6950
1989437	2	6630
2397468	4	8050
1781018	1.5	6090
2427249	5.5	8940
2160867	3	7920
2337952	2.5	7530
2413506	5	7780
1873418	2.5	6440
2315132	3	7990
2695223	4	8520
1809688	2.5	7010
2896577	5	9320
2456841	3	7350
2490761	3.5	8280
2857587	6.5	8910
2133192	2	6710
2375104	3.5	7390
2443214	5	8820
2294609	4	7720
2166708	2.5	6950
1526658	1	6080
2138530	2	7140
2418459	2.5	7630
2194129	4	7850
2363071	2	7280
2477732	2	7730
2631181	3	7750
2828481	6	10040
2366129	1.5	7400
2899392	5	9680
2047773	3	7190
1922286	2.5	6910
2752312	3	7500
2231464	2	7110
2486821	3.5	7700
2497462	3	7340
1845622	3	7010
2107671	3.5	7980
2069219	2.5	6780
2617767	6.5	8890
2165662	3	6930
2664553	5.5	9240
1971054	2	6090
2287766	6	8540
