 Country	GDP 2009	CO2 2009	CO2 2002	CO2 2003	CO2 2004	CO2 2005	CO2 2006	CO2 2007	CO2 2008	GDP 1971	GDP 1975	GDP 1980	GDP 1985	GDP 1990	GDP 1995	GDP 2000	GDP 2005	GDP 2007	GDP 2008
Australia	535.2	394.88	359.19	361.82	372.13	389.08	393.48	389.49	393.15	168.7	187.2	216.9	251.7	289.3	339.8	411	485.9	523.1	528.7
Austria	218.4	63.37	67.62	72.74	73.38	74.95	72.48	69.96	70.23	88.6	102.2	120.3	129.3	149	165	191.2	206.9	222.3	227.2
Belgium	260.8	100.7	111.88	119.5	116.53	112.57	109.62	105.65	110.96	113.8	130.8	152.9	160.2	186.5	201.9	232.4	251.2	265.5	268.2
Canada	846.8	520.75	532.97	556.21	553.71	558.82	543.57	568.04	551.09	288.3	343.3	412	471.7	543.6	592.1	724.9	821.9	863.7	868.2
Chile	103.3	64.93	51.42	53.27	57.75	58.49	60.29	66.55	67.75	23	19.7	28	29.3	40.6	61.5	75.4	92.6	101.3	105.1
Czech Republic	75.9	109.84	117.17	120.72	121.84	119.59	120.67	122.02	116.82	38.3	43.7	48.7	51.1	55.3	52.7	56.7	68.1	77.2	79.1
Denmark	167.7	46.78	51.9	57.13	51.56	48.26	56.06	51.37	48.44	83.2	88.1	100.9	115.3	123.9	139.1	160.1	170.4	179	177
Estonia	8	14.66	14.62	16.56	16.71	16.87	15.52	19.26	17.71					5.8	4.1	5.7	8.3	9.8	9.3
Finland	141.2	55.01	62.34	72.29	67.13	55.33	66.65	64.66	57.2	51.9	62.9	73.5	84.1	99.3	96.3	121.7	138.5	152.4	153.8
France	1472.8	354.3	375.92	385.24	385.36	388.43	380.14	373.62	370.64	630.8	727.7	861.1	929.8	1091.8	1156.3	1328	1442.3	1509.3	1512.5
Germany	1998.7	750.19	832.86	842.05	843.38	811.82	823.88	800.08	804.1	950.5	1038.9	1225.9	1311.9	1543.2	1720.5	1900.2	1957.4	2077.1	2097.7
Greece	168.1	90.22	89.87	93.72	93.29	95.04	94.1	97.84	94.26	64.8	76.8	94.2	94.8	100.8	107.3	127.1	154.9	169.9	171.6
Hungary	56.4	48.16	54.85	57.25	56.16	56.36	55.87	54.12	53.01	26.1	33.4	39.8	43.5	44.6	39.6	47.4	57.4	60	60.5
Iceland	11.2	2	2.18	2.17	2.23	2.18	2.22	2.34	2.2	3.2	3.8	5.2	5.8	6.8	6.9	8.7	10.7	11.9	12.1
Ireland	125.1	39.46	42.25	41.53	41.98	43.57	45.05	43.95	43.85	22.1	27.2	34	38.5	48.5	60.8	96.8	126.2	140.4	135.4
Israel	162.2	64.63	59.12	60.98	60.24	60.19	61.84	66.94	66.37	32.4	42.1	48.7	56.8	70.4	97.5	124.7	138.7	154.4	160.9
Italy	1110.7	389.28	435	451.59	458.54	460.81	463.84	447.27	435.07	518.2	594.6	739.1	803.5	937.6	998.7	1097.3	1146.8	1187.5	1171.8
Japan	4872.2	1092.86	1205.46	1213.32	1212.46	1220.68	1205.04	1242.32	1152.59	1785	2128.9	2638.2	3252.6	4150.3	4450.4	4667.5	4979.6	5201.2	5140.4
Korea	752.8	515.46	445.05	447.83	468.63	467.9	476.46	490.35	501.68	52.5	75.3	112	172.6	283.3	414.2	533.4	664.4	734.5	751.4
Luxembourg	26.5	9.99	9.24	9.72	11.1	11.33	11.15	10.6	10.52	6.1	6.8	7.6	8.6	12.4	15.1	20.3	24.2	27.1	27.5
Mexico	724.4	399.67	356.5	363.02	368.58	385.52	394.65	409.8	403.7	208	274.1	378.4	416.5	452.6	488.2	636.7	699	759	770.6
Netherlands	432.5	176.11	178.44	183.39	185.01	182.66	178.33	180.96	182.82	173.6	196.5	226.2	239.1	282	315.8	385.1	411.2	441.8	450.1
New Zealand	67.5	31.31	32.49	33.37	32.89	33.58	33.89	32.43	33.66	28.3	33.4	32.5	38	39.7	46.2	53.4	64.4	67.7	67
Norway	196	37.31	34.18	37.08	37.57	36.32	37.38	37.97	37.53	61	73.1	91.2	107.5	117	140.5	168.3	187.8	197.3	198.8
Poland	241.7	286.76	279.42	290.25	293.47	292.93	304.25	303.52	298.58	89.2	114.1	119	120	118.2	131.6	171.3	199.4	226.1	237.7
Portugal	123.4	53.14	62.81	58.39	59.73	62.8	56.37	55.94	53.26	42.6	49.5	63.5	66.4	87.5	95.2	117	121.8	126.5	126.5
Slovak Republic	31.3	33.17	37.98	38.45	37.28	38.1	37.46	36.8	36.25	12.9	14.7	16.3	17.6	18.9	17.3	20.4	25.9	31.1	32.9
Slovenia	25.7	15.15	15.11	15.13	15.38	15.59	15.9	15.83	16.73					16.5	16.1	19.9	23.8	27	28
Spain	713.4	283.37	301.6	309.61	327.45	339.71	332.37	344.07	317.6	241.9	299.4	330	353.6	440.6	474.9	580.7	681.9	734.6	740.9
Sweden	286.3	41.71	53.9	54.9	53.56	50.34	48.03	46.35	44.63	134.1	151.1	161.5	177	201	208	247.3	282.4	304.3	302.4
Switzerland	286.3	42.42	42.46	43.75	44.17	44.64	44.28	42.33	43.87	165.9	166	180.4	194.5	224.8	225.9	249.9	266.7	286.4	291.9
Turkey	357	256.31	192.25	202.13	207.25	216.36	239.67	265	263.53	79.3	99.6	111.9	141.9	186	217.8	266.6	333	372.6	375.1
