X	y95	y75	y50	y25	y0	y-25	y-50	y-75	y-95
0.83506852	0.68658079	0.80235419	0.52254535	0.20012136	-0.2245212	-0.44203	-0.3459094	-0.3470336	-0.8811526
0.4967407	0.46931962	0.40159359	-0.1267305	-0.0828861	-0.6214001	-0.035901	-0.1148938	-0.3260707	-0.5533919
0.28878495	0.21616721	0.06094078	0.38378149	0.08948711	-0.1464266	-0.4926215	-0.1305036	0.02305294	-0.3322432
0.87462509	0.84437156	0.57374616	0.50906681	0.03441955	0.00845042	-0.6655911	-0.7323654	-0.5072619	-0.8419925
0.92255077	0.83745208	0.51649505	0.61985123	0.20391377	-0.1091019	0.24635138	-0.3680159	-0.655543	-0.8358311
0.71625245	0.72024793	0.53101139	0.25621684	0.41695645	0.48386846	-0.1863569	-0.1853924	-0.5661271	-0.6614444
0.09312189	0.05742043	0.03396736	0.71274649	-0.1344639	0.1739919	0.39930134	-0.6127055	-0.1211559	0.03445985
0.49991705	0.55696469	0.40982145	0.15845841	-0.1031319	0.59259158	-0.6059961	-0.5430443	-0.179747	-0.5167849
0.67324493	0.67551451	0.5625702	-0.2529946	0.23703143	-0.066984	-0.6922701	-0.2879393	-0.4679816	-0.6713546
0.14658667	0.19149413	0.0330162	-0.2069893	0.07250832	-0.0705058	0.18926024	-0.055796	-0.1664862	-0.0596929
0.72702072	0.80381651	0.64406801	0.27198611	0.20287796	-0.4587979	-0.6358033	-0.7420228	-0.4007151	-0.7815177
0.68722958	0.49891723	0.3934693	0.47891334	-0.0748134	-0.0322484	-0.183426	-0.3490172	-0.5383526	-0.7048392
0.94001044	0.92667394	0.52359519	0.383297	0.37723954	-0.285441	0.11009123	-1.0625936	-0.5133938	-1.0508779
0.3639548	0.33821618	0.51745793	0.30129588	-0.182806	-0.0766666	0.25516512	-0.4863916	0.03712447	-0.1982537
0.78863777	0.7020478	0.32920043	0.61947357	-0.1123086	-0.0906563	0.04080835	-0.4519224	-0.5592517	-0.7871503
0.82702077	0.83088981	0.58215252	0.1689509	0.04837881	0.10221745	-0.2061337	-0.1908732	-0.912761	-0.6670129
0.85909093	0.79769758	0.4093074	0.29996015	0.49125173	0.14771699	-0.1337455	-0.1299928	-0.8509842	-0.6488638
0.55407564	0.50054171	0.27088468	0.38342226	0.08449052	0.49132434	0.08380217	0.19246607	-0.5694624	-0.5338166
0.32113036	0.38032166	0.30583563	-0.4013904	-0.5197404	-0.0976525	0.26339747	-0.1510838	-0.2473206	-0.4785053
0.85397079	0.73812053	0.78729295	0.24574399	-0.0396922	-0.3661215	0.03477798	-0.5470027	-0.3238908	-0.8353
0.55528897	0.59704649	0.39991432	0.0710119	0.42300586	0.54217584	0.3049742	-0.2497437	-0.3831706	-0.4463787
0.17776455	0.14099485	-0.0989432	0.01097399	0.31275108	0.30760965	-0.0966843	0.09949182	-0.1681225	-0.0954031
0.9189164	0.9933545	0.77579641	0.65822259	0.26093795	-0.1955385	-0.0499182	-1.1348396	-0.6757285	-1.1187457
0.22108514	0.2893886	0.19249812	0.32394662	0.17157705	-0.1588236	0.19239755	-0.3297474	-0.5098838	-0.1811273
0.30535055	0.42917946	0.32762802	0.20668907	0.10705862	0.02650025	0.22013826	-0.0675841	-0.4339904	-0.2256744
