Tax	Total Income	Income 1	Income 2
$23 	$199 	$114 	$154 
$21 	$168 	$125 	$121 
$17 	$152 	$155 	$167 
$17 	$154 	$168 	$140 
$16 	$155 	$169 	$111 
$16 	$148 	$121 	$152 
$13 	$129 	$183 	$101 
$16 	$156 	$102 	$135 
$10 	$104 	$117 	$104 
$17 	$154 	$117 	$109 
$15 	$135 	$103 	$146 
$17 	$167 	$145 	$177 
$8 	$106 	$167 	$129 
$14 	$121 	$158 	$154 
$12 	$111 	$177 	$129 
$13 	$156 	$141 	$199 
$13 	$124 	$140 	$124 
$13 	$103 	$146 	$102 
$13 	$146 	$129 	$188 
$13 	$117 	$111 	$155 
$19 	$159 	$148 	$139 
$17 	$141 	$156 	$169 
$15 	$145 	$143 	$103 
$16 	$129 	$199 	$125 
$15 	$165 	$156 	$117 
$10 	$109 	$104 	$121 
$17 	$158 	$129 	$141 
$14 	$129 	$106 	$148 
$13 	$117 	$165 	$165 
$20 	$188 	$121 	$177 
$13 	$139 	$135 	$129 
$20 	$183 	$154 	$145 
$11 	$126 	$111 	$159 
$10 	$101 	$188 	$158 
$19 	$176 	$109 	$106 
$20 	$177 	$124 	$126 
$10 	$102 	$101 	$117 
$18 	$143 	$152 	$176 
$14 	$125 	$159 	$156 
$17 	$169 	$176 	$156 
$13 	$140 	$154 	$168 
$20 	$177 	$126 	$111 
$10 	$111 	$177 	$183 
$8 	$121 	$139 	$114 
$11 	$114 	$129 	$143 
