DATE	Real GNP	Real Disposal Income	Real Debt	Real Compensation Index	Real Output Index	CPI	Nominal Debt
1/1/1980	5988.3	4294.3	46.24825419	75.244	59.707	28.64	1324.55
4/1/1980	5860.9	4234.2	46.67038328	75.334	59.012	28.7	1339.44
7/1/1980	5845.6	4277.8	47.35261517	75.459	59.235	28.87	1367.07
10/1/1980	5938.6	4366.1	48.35590878	75.643	59.874	28.94	1399.42
1/1/1981	6064.8	4356.1	49.38977194	75.519	60.834	28.94	1429.34
4/1/1981	6013.2	4356.7	50.54410239	75.473	60.018	28.91	1461.23
7/1/1981	6089.3	4453.3	51.46867428	75.633	60.549	28.89	1486.93
10/1/1981	6022.1	4462.3	52.20110574	75.418	59.78	28.94	1510.7
1/1/1982	5920.6	4467.5	53.13109651	76.39	59.384	28.91	1536.02
4/1/1982	5960.6	4498.8	53.7748184	76.233	59.509	28.91	1554.63
7/1/1982	5926.3	4518.5	53.77409326	76.125	59.607	28.95	1556.76
10/1/1982	5928.6	4534.4	54.54918882	76.277	60.126	28.97	1580.29
1/1/1983	6000.8	4570.1	54.96346088	76.542	60.862	29.01	1594.49
4/1/1983	6138.3	4603.4	56.29965517	76.299	62.266	29	1632.69
7/1/1983	6259.3	4672.5	57.99861926	75.974	62.815	28.97	1680.22
10/1/1983	6389.9	4768.9	59.86611456	76.054	63.11	28.98	1734.92
1/1/1984	6507.2	4873.2	61.60606061	75.932	63.082	29.04	1789.04
4/1/1984	6618.8	4957.1	63.21848162	75.953	63.47	29.11	1840.29
7/1/1984	6681.9	5034.3	64.76363636	76.384	63.74	29.15	1887.86
10/1/1984	6728.7	5082.2	66.74948595	76.278	63.828	29.18	1947.75
1/1/1985	6780	5069.7	70.23623932	76.518	63.94	29.25	2054.41
4/1/1985	6840	5170.4	71.96763203	76.439	64.108	29.35	2112.25
7/1/1985	6937.6	5138.4	74.62214651	77.022	64.957	29.35	2190.16
10/1/1985	6994.5	5191.6	77.63651819	77.634	65.26	29.41	2283.29
1/1/1986	7055.9	5253.4	79.69424583	78.252	66.087	29.37	2340.62
4/1/1986	7073	5313	81.28969738	79.428	66.582	29.41	2390.73
7/1/1986	7144.3	5340.9	83.83815029	79.876	66.871	29.41	2465.68
10/1/1986	7168.5	5344.1	86.0619499	80.363	66.692	29.54	2542.27
1/1/1987	7210.9	5376.9	87.48393642	79.845	66.264	29.57	2586.9
4/1/1987	7293.5	5318.6	89.84262074	79.549	66.716	29.61	2660.24
7/1/1987	7355.6	5413.7	92.13874789	79.614	66.703	29.55	2722.7
10/1/1987	7483.8	5490.6	93.22154678	79.861	67.32	29.61	2760.29
1/1/1988	7530.3	5559.6	95.85376562	80.717	67.497	29.61	2838.23
4/1/1988	7623.1	5611.8	97.70453782	80.807	67.729	29.75	2906.71
7/1/1988	7658.6	5655	99.80826058	80.875	67.898	29.78	2972.29
10/1/1988	7763.7	5705.9	102.2257632	80.643	68.277	29.81	3047.35
1/1/1989	7835.6	5770.8	104.377681	80.061	67.969	29.84	3114.63
4/1/1989	7892.6	5747.1	106.5254692	79.072	68.215	29.84	3178.72
7/1/1989	7957.7	5784.3	108.6896783	79.115	68.619	29.84	3243.3
10/1/1989	7983.3	5828.6	111.2435424	79.492	68.685	29.81	3316.17
1/1/1990	8063.5	5872.5	114.0800938	79.764	69.204	29.84	3404.15
4/1/1990	8096.6	5911.1	116.113941	80.748	69.78	29.84	3464.84
7/1/1990	8089.6	5915.4	117.8726604	80.69	70.071	29.92	3526.75
10/1/1990	8050.1	5875.5	119.4241817	80.176	69.461	29.94	3575.56
1/1/1991	7994.7	5893.6	120.8375584	80.436	69.627	29.98	3622.71
4/1/1991	8033.4	5938.3	122.6707805	81.622	70.667	29.98	3677.67
7/1/1991	8062.6	5950.9	123.7601735	82.04	71.099	29.98	3710.33
10/1/1991	8104.4	5989.7	125.290903	82.364	71.427	30.01	3759.98
