Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20100104	1.5555	0.5445	-0.5581	1.542	1.1841	1.4078	0.79725
20100105	0.1729	-0.7646	-0.2495	0.0323	-1.208	0.3905	-0.530225
20100106	-1.5906	-1.3644	-0.5314	-0.6137	-0.6496	0.8643	-1.42095
20100107	-0.1849	0.7323	0.0314	-1.0335	-0.3462	-0.3142	0.503
20100108	0.6648	-0.0969	0.1571	0.683	1.0035	-0.4012	0.093525
20100111	-0.8822	0.7762	-1.6311	-1.272	-1.047	1.122	0.3616
20100112	-1.1375	0.5456	-1.7219	-0.6607	0.7955	-0.4979	0.124825
20100113	1.4105	-0.1117	1.525	0.9312	-0.2145	-0.4003	0.26885
20100114	-0.5792	0.0959	-0.8629	2.0099	1.5972	0.0144	-0.072875
20100115	-1.6712	-0.5906	-1.354	-0.323	-0.4006	-0.818	-0.86075
20100119	4.4238	1.9268	1.3399	0.7777	1.7909	0.2315	2.55105
20100120	-1.5416	-0.7404	0.5805	-1.656	-2.9	-1.7901	-0.9407
20100121	-1.7254	0.3015	-1.8596	-1.88	-0.9597	-1.955	-0.205225
20100122	-4.9608	0.3006	-2.0582	-3.4988	-2.7132	-0.8995	-1.01475
20100125	2.6928	-0.4733	-0.2001	1.2431	0.494	-0.3782	0.318225
20100126	1.4108	1.1412	-0.869	0.6139	-0.2934	0.1063	1.2086
20100127	0.944	-0.1254	-1.1463	0.5763	0.4612	-0.5765	0.14195
20100128	-4.134	-1.4122	0.1023	-1.7189	-2.0423	-0.885	-2.09265
20100129	-3.6264	-0.6366	0.6814	-3.3608	-1.099	-0.8159	-1.38405
20100201	1.3886	2.3386	-0.1015	0.8162	1.8629	2.7161	2.1011
20100202	0.5803	0.2191	1.5583	0.176	0.6898	1.1786	0.3094
20100203	1.7206	1.8429	2.5684	0.5973	0.1036	-0.5376	1.812325
20100204	-3.6039	-1.7635	-3.5122	-2.7593	-2.1168	-2.8228	-2.2236
20100205	1.7756	-1.0771	-0.4382	0.6466	0.4228	0.1236	-0.363925
20100208	-0.6856	-0.7101	-0.2031	-1.0707	-0.8824	-0.0463	-0.703975
20100209	1.0664	1.0331	1.2212	1.0462	1.0912	1.3209	1.041425
20100210	-0.5474	-0.5034	0.6367	-0.0714	-0.3247	-0.5368	-0.5144
20100211	1.8215	0.8538	0.4329	0.4645	0.7491	0.6014	1.095725
20100212	0.8607	-0.3135	-0.2984	-0.6757	0.2182	-0.6744	-0.01995
20100216	1.5071	0.6605	1.3302	1.9692	0.9919	2.2839	0.87215
20100217	-0.4179	0.3906	1.28	0.8466	0.8784	-0.7845	0.188475
20100218	0.1866	0.3424	0.5185	1.3256	1.1715	0.3041	0.30345
20100219	-0.6199	0.4032	0.677	-0.6869	-0.4851	-0.1364	0.147425
20100222	-0.6218	0.0463	-0.3522	-0.139	-0.2673	-0.7135	-0.120725
20100223	-1.675	0.1544	-0.6427	-1.3923	-0.3074	-0.7034	-0.30295
20100224	1.8253	0.6012	1.52	1.0589	0.8936	0.9393	0.907225
20100225	0.6698	-0.5057	-0.0956	-0.1048	-0.4076	-0.6255	-0.211825
20100226	1.297	-0.8232	-0.3827	0.2448	0.0708	-0.2149	-0.29315
20100301	2.1357	0.2036	0.9603	1.2208	1.1088	0.6154	0.686625
20100302	-0.067	0.1407	1.078	-1.9297	-0.8945	0.1376	0.088775
20100303	0.2298	-0.6867	-0.7528	0	-0.4238	-0.0916	-0.457575
20100304	0.6592	-0.3143	2.9393	0.5973	-0.1261	-0.0458	-0.070925
20100305	3.9106	0.3784	1.9957	-0.1484	0.4182	1.6361	1.26145
20100308	0.0594	2.2774	-0.0903	0.1487	-0.6601	0.015	1.7229
20100309	1.7984	-0.0307	0.3616	0.5938	-0.6803	0.4513	0.426575
20100310	0.8161	-0.2458	0.06	0.5903	0.0558	0.6589	0.019675
20100311	0.2935	0.4158	1.4401	0.7249	1.5762	0	0.385225
20100312	0.4878	0.4907	-0.3549	0.3084	0.2665	-0.6248	0.489975
20100315	-1.218	0.6104	0.0891	0.0683	-0.086	-0.7485	0.1533
20100316	0.2725	0.2123	0.089	0.2731	0.6571	0.4072	0.22735
20100317	-0.147	0.4692	0	0.8853	-0.7072	1.1867	0.31515
20100318	0.2365	0.4519	0.0889	-0.0675	0.4853	0.0445	0.39805
20100319	-1.0684	-0.225	-0.4144	-0.0675	-0.5219	-0.5194	-0.43585
20100322	1.1249	0.7215	0.9215	0.0338	0.2114	-0.1044	0.82235
20100323	1.6062	0.5074	0.1767	0.9459	1.0861	-0.0299	0.7821
20100324	0.4423	-0.8166	1.1173	-0.7697	-0.6493	-0.6721	-0.501875
20100325	-1.1859	0.1497	2.0355	1.2142	0.5524	-0.3007	-0.1842
20100326	1.8751	0.5381	0.627	-1.1663	0.0155	0.362	0.87235
20100329	0.6453	-0.2825	-0.4248	-0.236	-0.5183	1.1422	-0.05055
20100330	1.4867	0.2535	-0.1707	0.6083	0.14	-0.3715	0.5618
20100331	-0.3583	-0.7733	-0.5413	-1.6208	-0.4038	-0.1044	-0.66955
20100401	0.4128	1.289	1.8333	-0.4353	0	0.9406	1.06995
20100405	1.0679	0.6659	-0.9283	0.3772	0.8577	0.8579	0.7664
20100406	0.4403	-0.3234	0.7098	0.1708	-0.3247	-0.4253	-0.132475
20100407	0.4425	-0.1622	-0.4229	0.1023	-0.349	-0.8247	-0.011025
20100408	-0.2702	1.5657	0.9909	1.9421	-0.6771	0.7722	1.106725
20100409	0.7668	-0.1163	1.5419	1.4037	0.9012	1.3263	0.104475
20100412	0.2068	-0.2184	-0.9111	-0.0659	-0.3107	-0.0727	-0.1121
20100413	0.0578	0.5691	-0.1393	0.4288	0.522	-0.0728	0.441275
20100414	1.3447	0.7255	1.0045	1.2151	1.7205	-0.0728	0.8803
20100415	1.3147	-0.3745	0.5525	0.1622	-0.2743	-0.5101	0.0478
20100416	-0.6106	-0.188	-1.5659	-0.6479	-0.1986	-0.4834	-0.29365
20100419	-0.1334	1.2893	0.9489	1.2031	1.2248	0.4416	0.933625
20100420	-1.0038	0.6007	1.023	1.0342	-1.9209	1.0846	0.199575
20100421	5.9814	0.0284	0.0547	-0.0893	-0.5397	-0.0725	1.51665
20100422	2.7967	0.9522	0.6017	0.1851	0.1085	-0.5223	1.413325
20100423	1.6364	0.1689	0.0272	-1.3699	0.666	0.9918	0.535775
20100426	-0.4911	-0.1827	0.6795	0.4845	0.5693	0.0722	-0.2598
20100427	-2.7681	-0.6899	-1.9438	-0.8518	-1.461	-1.4721	-1.20945
20100428	-0.1679	-0.2694	-0.0826	0.2107	0.9936	1.3476	-0.244025
20100429	2.6911	1.6776	2.5627	0.3009	0.2767	-0.766	1.930975
20100430	-2.8105	-1.3003	-1.021	-1.5095	-1.1191	-1.2963	-1.67785
20100503	2.0146	1.1758	1.9544	1.0644	0.4651	0.1033	1.3855
20100504	-2.8797	-1.0921	-2.5825	-2.3655	-1.142	-2.0195	-1.539
20100505	-1.0418	0.0283	-3.4162	-0.9293	-0.5151	-0.4513	-0.239225
20100506	-3.803	-1.7549	-3.7634	-2.9146	-2.2674	-3.4457	-2.266925
20100507	-4.2193	-2.0311	-1.7642	-2.657	-1.4687	-0.2974	-2.57815
20100510	7.6868	3.7789	5.6271	2.5877	3.4152	2.4019	4.755875
20100511	0.9961	-0.1417	1.3318	-0.2073	0.491	-0.5059	0.14275
20100512	2.1714	0.2696	-1.7617	1.9391	4.563	0.6981	0.74505
20100513	-1.4232	-0.2406	-1.0817	-0.6794	-0.9044	-0.2619	-0.53625
20100514	-1.7572	-1.2908	-1.9856	-1.0602	-0.2206	-1.7609	-1.4074
20100517	0.1576	0.7903	0.411	0.0346	-0.5717	-0.5189	0.632125
20100518	-0.7316	-0.1711	-1.3743	-0.7343	-0.3757	-0.7587	-0.311225
20100519	-1.593	-0.8855	-1.008	-1.2501	-0.8388	-0.5415	-1.062375
20100520	-4.2603	-2.5072	-4.1929	-4.0014	-3.9267	-3.3947	-2.945475
20100521	1.9179	0.2956	2.7509	-0.9959	1.3086	0.9117	0.701175
20100524	1.8323	-0.2947	-1.1865	-2.1237	-0.7734	-1.1334	0.23705
20100525	-0.6241	0.266	-0.4926	-0.7613	0.0562	-0.7975	0.043475
20100526	-0.4531	-2.6975	2.3205	-4.066	-1.036	-0.6699	-2.1364
20100527	3.7856	2.636	3.9311	3.9584	2.5643	3.625	2.9234
20100528	1.3933	-0.4911	-2.764	-0.7692	-0.8941	-1.6271	-0.02
20100601	1.5377	-0.7627	-0.2693	0.3488	-0.7345	-2.0013	-0.1876
20100602	1.1962	2.1248	4.2304	2.2016	2.469	2.5654	1.89265
20100603	-0.3145	0.118	-0.0864	1.5117	0.4317	1.3	0.009875
20100604	-2.7193	-1.6949	-2.9386	-3.9836	-2.0944	-3.3057	-1.951
20100607	-1.9632	0.075	-1.9293	-1.9387	-0.9179	-0.378	-0.43455
20100608	-0.6416	2.4345	0.3329	-0.7117	-0.3303	3.2715	1.665475
20100609	-2.4586	-0.1682	-0.6335	-1.2744	0.1455	-1.9758	-0.7408
20100610	3.0058	1.6261	3.5519	0.8471	3.0508	3.0985	1.971025
20100611	1.1976	0.2451	0.3811	2.64	0.6031	-0.0485	0.483225
20100614	0.3037	-0.3451	-0.9054	-0.643	0.0389	-0.7921	-0.1829
20100615	2.1276	1.5873	3.1241	4.2655	1.0039	1.8576	1.722375
20100616	2.9112	-0.1563	-0.5716	-0.9875	0.4315	0	0.610575
20100617	1.7287	-0.3414	0.8048	0.19	0.4833	0.144	0.176125
20100618	0.8107	-0.2427	0.2281	0.2655	-0.6337	0.7987	0.02065
20100621	-1.4244	0.0572	-0.256	-1.8533	0.3842	0.0475	-0.3132
20100622	1.3621	-1.8307	-2.0251	-0.6936	-1.0333	-1.885	-1.0325
20100623	-1.0517	-0.0146	-0.0291	-1.7928	0.6264	-1.3562	-0.273875
20100624	-0.727	-1.3114	-2.1549	-1.217	-1.4757	-1.6858	-1.1653
20100625	-0.855	-0.4577	-0.3571	-1.87	-0.8347	-1.6148	-0.557025
20100628	0.5999	-0.1335	-0.7766	-0.907	1.4632	-1.066	0.04985
20100629	-4.521	-1.2921	-2.7694	-4.1135	-3.016	-2.0181	-2.099325
20100630	-1.8113	-0.8877	-2.4768	-1.287	-1.2871	-0.384	-1.1186
20100701	-1.2126	1.2752	-0.0317	0.6519	-0.737	-0.806	0.65325
20100702	-0.6198	-0.8544	-0.3493	0.475	-0.5793	-0.0707	-0.79575
20100706	0.6844	-0.0454	1.0835	2.3636	1.313	1.5733	0.13705
