Persons	Household Income	Log10(Income)
5	0	
1	0	
1	0	
3	1200	3.079181246
1	2000	3.301029996
4	2200	3.342422681
3	2380	3.376576957
6	3800	3.579783597
2	4400	3.643452677
2	4570	3.6599162
1	5700	3.755874856
1	6000	3.77815125
2	6000	3.77815125
1	6800	3.832508913
5	6800	3.832508913
2	7000	3.84509804
2	7200	3.857332496
1	7200	3.857332496
1	7500	3.875061263
1	7700	3.886490725
1	7700	3.886490725
2	7700	3.886490725
1	7800	3.892094603
3	8000	3.903089987
1	8000	3.903089987
1	8100	3.908485019
1	8100	3.908485019
1	8400	3.924279286
1	8400	3.924279286
1	8400	3.924279286
1	8400	3.924279286
1	8400	3.924279286
1	8600	3.934498451
4	8910	3.949877704
1	9000	3.954242509
2	9000	3.954242509
3	9100	3.959041392
1	9100	3.959041392
1	9200	3.963787827
1	9400	3.973127854
2	9400	3.973127854
2	10000	4
2	10200	4.008600172
1	10500	4.021189299
1	10700	4.029383778
2	10800	4.033423756
3	11000	4.041392685
2	11000	4.041392685
1	11200	4.049218023
4	11310	4.053462605
2	11350	4.054995862
4	12000	4.079181246
1	12000	4.079181246
1	12400	4.093421685
1	12700	4.103803721
1	13000	4.113943352
4	13000	4.113943352
3	13200	4.120573931
2	13300	4.123851641
1	13400	4.127104798
2	13400	4.127104798
5	13920	4.143639235
1	14000	4.146128036
2	14200	4.152288344
2	14350	4.156851901
1	14400	4.158362492
1	14400	4.158362492
1	15000	4.176091259
1	15000	4.176091259
1	15000	4.176091259
1	15000	4.176091259
6	15300	4.184691431
2	15400	4.187520721
2	15600	4.193124598
2	15600	4.193124598
1	15600	4.193124598
1	15600	4.193124598
2	15900	4.201397124
3	15900	4.201397124
3	16000	4.204119983
1	16000	4.204119983
1	16000	4.204119983
3	16370	4.214048679
2	16400	4.214843848
1	16500	4.217483944
1	16900	4.227886705
3	17000	4.230448921
1	17000	4.230448921
1	17000	4.230448921
1	17000	4.230448921
1	17000	4.230448921
3	17000	4.230448921
2	17100	4.23299611
1	17100	4.23299611
1	17200	4.235528447
2	17400	4.240549248
1	17900	4.252853031
1	18000	4.255272505
2	18000	4.255272505
1	18100	4.257678575
1	19000	4.278753601
1	19200	4.283301229
1	19600	4.292256071
1	20000	4.301029996
1	20050	4.302114377
4	20100	4.303196057
1	20300	4.307496038
1	20400	4.309630167
1	20400	4.309630167
1	20700	4.315970346
3	20800	4.318063335
2	20821	4.318501584
1	20900	4.320146286
2	20900	4.320146286
1	20900	4.320146286
2	21000	4.322219295
5	21300	4.328379603
1	21400	4.330413773
1	21800	4.338456494
2	22000	4.342422681
2	22300	4.348304863
1	22320	4.34869419
1	22800	4.357934847
1	22800	4.357934847
2	23300	4.367355921
2	23500	4.371067862
2	23500	4.371067862
1	23600	4.372912003
1	23800	4.376576957
2	24000	4.380211242
3	24000	4.380211242
2	24000	4.380211242
2	24000	4.380211242
1	24200	4.383815366
5	24200	4.383815366
4	24300	4.385606274
1	24400	4.387389826
2	24600	4.390935107
5	24650	4.391816924
4	24700	4.392696953
5	25000	4.397940009
1	25000	4.397940009
6	26200	4.418301291
2	26200	4.418301291
3	27000	4.431363764
4	27300	4.436162647
4	28600	4.456366033
1	28700	4.457881897
2	28700	4.457881897
3	29200	4.465382851
3	29300	4.46686762
1	29700	4.472756449
1	30000	4.477121255
1	30000	4.477121255
3	30320	4.481729197
3	30600	4.485721427
4	31000	4.491361694
4	31000	4.491361694
2	31300	4.495544338
1	31400	4.496929648
4	31500	4.498310554
5	32000	4.505149978
1	32000	4.505149978
1	32000	4.505149978
2	32300	4.509202522
1	32610	4.513350799
1	32700	4.514547753
2	32800	4.515873844
2	33000	4.51851394
2	33000	4.51851394
2	33000	4.51851394
1	33200	4.521138084
1	33300	4.522444234
2	33400	4.523746467
4	33600	4.526339277
4	33800	4.5289167
3	34000	4.531478917
4	34000	4.531478917
2	34000	4.531478917
1	34700	4.540329475
1	34800	4.541579244
1	35000	4.544068044
3	35000	4.544068044
2	35200	4.546542664
2	35600	4.551449998
2	35680	4.552424846
1	36000	4.556302501
1	36000	4.556302501
5	36420	4.561339942
2	36800	4.565847819
5	37000	4.568201724
4	37000	4.568201724
2	37500	4.574031268
1	37700	4.57634135
2	38000	4.579783597
1	38000	4.579783597
2	38700	4.587710965
2	39200	4.593286067
2	39900	4.600972896
2	40000	4.602059991
2	40000	4.602059991
2	40180	4.604009932
2	40600	4.608526034
1	41000	4.612783857
2	41200	4.614897216
2	42500	4.62838893
1	42500	4.62838893
2	43400	4.63748973
2	43600	4.639486489
1	43700	4.640481437
3	43820	4.641672373
1	44000	4.643452677
1	44000	4.643452677
5	44000	4.643452677
2	45300	4.656098202
3	45320	4.656289901
3	45400	4.657055853
2	45400	4.657055853
2	45400	4.657055853
4	46000	4.662757832
2	46000	4.662757832
2	46200	4.664641976
1	46800	4.670245853
2	46800	4.670245853
2	47450	4.676236217
2	47600	4.677606953
2	48000	4.681241237
3	48000	4.681241237
5	48320	4.684126926
3	48500	4.685741739
1	49500	4.694605199
2	49600	4.695481677
2	49800	4.697229343
