Weight	Price	Clarity	Color
1.03	$4,396.00 	SI1	D
1	$4,269.00 	SI1	D
1.01	$4,799.00 	SI2	D
1.02	$4,709.00 	SI2	D
1	$4,887.00 	SI2	D
1.04	$5,295.00 	SI2	D
1.02	$4,501.00 	SI2	D
1.01	$3,976.00 	SI2	D
1	$3,937.00 	SI2	D
1.01	$4,336.00 	SI2	D
1	$3,937.00 	SI2	D
1	$3,598.00 	SI2	D
1	$3,733.00 	SI2	D
1.03	$4,404.00 	SI2	D
1.01	$4,319.00 	SI2	D
1.01	$3,976.00 	SI2	D
1	$4,413.00 	SI2	D
1.04	$4,942.00 	SI2	D
1.03	$5,244.00 	SI2	D
1.01	$6,005.00 	SI2	D
1	$3,270.00 	SI3	D
1.01	$5,215.00 	SI1	E
1.02	$5,577.00 	SI1	E
1	$4,784.00 	SI1	E
1.01	$4,832.00 	SI1	E
1	$4,936.00 	SI1	E
1.02	$3,812.00 	SI2	E
1.01	$4,230.00 	SI2	E
1	$4,188.00 	SI2	E
1	$4,381.00 	SI2	E
1.03	$4,512.00 	SI2	E
1.01	$4,099.00 	SI2	E
1.01	$3,449.00 	SI2	E
1.01	$5,055.00 	SI2	E
1	$2,964.00 	SI3	E
1.01	$3,742.00 	SI3	E
1	$5,146.00 	SI1	F
1	$4,844.00 	SI1	F
1.03	$5,226.00 	SI1	F
1.04	$4,122.00 	SI2	F
1.01	$4,003.00 	SI2	F
1.02	$4,043.00 	SI2	F
1.02	$4,105.00 	SI2	F
1.01	$4,311.00 	SI2	F
1	$4,076.00 	SI2	F
1.01	$4,117.00 	SI2	F
1	$4,329.00 	SI2	F
1.01	$4,681.00 	SI2	F
1.03	$4,396.00 	SI2	F
1	$3,443.00 	SI3	F
1.03	$3,181.00 	SI3	F
1.01	$2,610.00 	SI3	F
1.01	$5,015.00 	SI1	G
1.01	$4,525.00 	SI1	G
1.03	$4,615.00 	SI1	G
1.04	$3,967.00 	SI2	G
1.01	$3,164.00 	SI2	G
1.01	$4,208.00 	SI2	G
1	$3,579.00 	SI2	G
1.01	$3,615.00 	SI2	G
1	$2,785.00 	SI3	G
1.01	$3,172.00 	SI3	G
1	$4,656.00 	SI1	H
1.01	$4,702.00 	SI1	H
1.02	$4,750.00 	SI1	H
1.03	$4,526.00 	SI1	H
1.01	$4,358.00 	SI2	H
1.03	$3,852.00 	SI2	H
1.04	$4,488.00 	SI2	H
1.01	$4,125.00 	SI2	H
1.03	$3,614.00 	SI2	H
1.01	$4,881.00 	SI2	H
1	$3,509.00 	SI2	H
1.03	$3,732.00 	SI2	H
1.03	$4,207.00 	SI2	H
1.02	$3,696.00 	SI2	H
1.01	$4,648.00 	SI2	H
1.03	$3,852.00 	SI2	H
1.01	$3,777.00 	SI2	H
1.02	$3,403.00 	SI2	H
1.02	$3,990.00 	SI2	H
1.01	$2,906.00 	SI3	H
1.01	$4,125.00 	SI1	I
1.01	$3,079.00 	SI1	I
1.01	$4,183.00 	SI1	I
1.02	$3,221.00 	SI2	I
1.02	$4,172.00 	SI2	I
1.01	$2,905.00 	SI3	I
1.01	$3,294.00 	SI1	J
1.01	$3,817.00 	SI1	J
1.03	$3,359.00 	SI1	J
1.01	$3,074.00 	SI1	K
1.01	$3,081.00 	SI1	K
1.03	$2,689.00 	SI2	K
1.04	$3,062.00 	SI2	L
1.01	$2,606.00 	SI2	L
1.01	$2,027.00 	SI3	L
