FUND_NAME	Return	Net Asset Value
Brookville Credit Opportunities, LP (Class A)	0.002	1153.72991
Barnet Partners	0.0033	975.374282
Paulson Advantage LP	0.0075	1145.94549
Overture Fund, L.P.	0.0125	24.2495935
ReachCapital International Fund II, L.P.	0.0424	1529.86647
Apis Offshore Capital, Ltd	0.012	1316.38501
Verity Offshore Fund, LTD	0.0172	948.903723
Chess River UK Equity Fund	0.0141	1095.77411
Rivoli Equity Fund USD	0.044	1176.3605
Black Diamond Arbitrage Partners, L.P.	0.0119	2112.57252
Boldwater Capital Partners Fund Ltd.	0.0257	1149.56567
Zacks Long Short Strategy	-0.0151	1113.25501
Gemini Overseas Fund, Ltd.	0.0004	1019.38136
Nextra Beta Hedge Fund	0.022	1170.1458
Global Securities Market Neutral Fund, SP	0.00675	1338.71276
TQA Event Arbitrage Fund L.P.	0.0147	1196.52751
TQA Event Arbitrage Fund Ltd.	0	1039.99671
Hovde Financial Institution Partners, Ltd.	0.0109	1168.9971
Hovde Financial Institution Partners III, L.P.	0.0151	2431.70719
Genie Global Credit Offshore LP Class A	0.0047	1847.18453
New Castle Market Neutral Offshore, Ltd.	0.0196	2016.84399
Leonidas Opportunity Offshore Fund Ltd	0.01	895.722093
The Lucerne Capital Fund, L.P.	0.0343	2290.38248
The Lucerne Capital Offshore Fund, Ltd.	0.0348	1885.68846
The Lucerne Mid-Cap Offshore Fund, Ltd.	0.0353	1311.7362
Corneille Fund, LP	0.0562	1306.99591
ARA Behavioral Fund I, LLC	0.0024	949.874181
Select Contrarian Value Partners, LP	0.022	4843.42221
Paulson Advantage Plus Ltd	0.0129	909.992566
Welch Technology Fund, LP	-0.0079	977.437741
Argo Global Special Situations Fund SP	0.0085	1259.36522
Nea Diversified Strategies Fund Limited	0.0348	1254.26833
Snow Capital Investment Partners, LP	0.0277	2163.97383
Pioneer Global Long/Short Equity (USD Class)	0.0292	1059.87349
Aria Partners II LP	0.0293	1195.87278
Arrow Partners, LP	0.03	1863.11369
Pioneer Global Long/Short Equity (Euro Class)	0.029	1095.90974
Hillsdale Canadian Performance	0.0542	6761.68387
ILEX Credit Fund - Euro Class	0.0144	1495.23554
Stillwater Asset Backed Fund, LP	0.0085	1218.47157
Platinum Partners Value Arbitrage Fund (International) Limited	0.0234	1528.33544
GFIPuMped Fund, Ltd.	-0.0042	1023.92303
Boldwater Credit Opportunities Fund Ltd.	0.0143	1090.94138
Catalyst Strategic Event Fund Offshore, Ltd.	0.014	1494.07216
Genie Global Credit Offshore Class B	0.0031	1091.61458
IBS Opportunity Fund (BVI), Ltd.	0.0587	11025.9544
ReachCapital International Fund I, Ltd	0.0427	1553.87832
Brookville Credit Opportunities, LP (Class B)	0.0026	1174.62598
Brookville Credit Opportunities, Ltd. (Class A)	0.002	1184.50892
Brookville Credit Opportunities, Ltd. (Class B)	0.0027	1092.36506
Gemini Partners, L.P.	0.0004	1038.24257
Stillwater Asset Backed Offshore Fund Ltd	0.0085	1126.95792
QM Premier Fund (GBP)	-0.0002228	1175.848
QM Premier Fund (EURO)	-0.0016526	1105.538
Euclid Fixed Income Arbitrage Fund, L.P.	0.0058	1096.96474
Avendis Enhanced Fixed Income Fund	0.0158	1603.97377
Emerging Income Fund	0.207	1832.94626
Intercept Capital	-0.023	995.090398
Digital Century Conservative Growth L.P.	0.0187	1102.54139
RAB European Loan Fund Class B (USD)	0.0121	894.538934
Mohican VCA Master Fund, LTD	0.0073	1226.6445
Thornhill Global Income Fund (EURO)	0.0105	1180.75275
Palmyra Capital Offshore Fund, Ltd	0.0039	1121.88558
Palmyra Capital Institutional Fund, LP	0.0062	1032.60858
Royal Capital Value Fund	0.02	2129.12838
Russian Century Fund	0.0492	1837.86028
Lakefront Partners, LP	0.0166	1039.2967
Hovde Financial Institution Partners, L.P.	0.012	1143.59317
Kinetics Fund, Inc.	0.0229	2082.6344
Deephaven Event Fund, Ltd.	0.0369	1234.53055
Balestra Capital Partners, LP	0.0219	3305.63646
Balestra Income Partners, LLC	0.0018	1264.41503
The Leisure Fund, LP	0.008	5158.16033
Dividend Plus Capital Partners, LP	0.0047	1475.57624
Rivoli Equity Fund Euro	0.0421	1165.10433
Rivoli Long Short Bond Fund	0.002	1278.31448
Rodinia Partners, L.P.	0.0387	1205.59771
Deephaven Event Fund LLC	0.0374	1239.29644
Bear Stearns Systematic Equity Partners, Ltd.	-0.0104	1131.41944
Black Diamond Convertible Partners, L.P.	0.0087	1118.92751
Black Diamond Convertible Ltd.	0.0072	1096.0799
Black Diamond Arbitrage Ltd.	0.0106	1462.3845
Black Diamond Relative Value Ltd.	0.0129	1663.81958
CAM Opportunity Fund I LLC	0.0028	1412.9544
CAM Opportunity Fund I Ltd.	0.0027	1391.04188
AAAsgard Fixed Income Fund Limited	0.0113	970.49089
Nibius Fund Ltd	0.022	1452.36473
Leeward Offshore Resource Fund	0.0722	1305.1975
Boston Equity Fund	0.0154	1035.76461
Boston Research Fund	0.0074	1152.38373
Deephaven Long/Short Equity LLC	-0.003	1099.72024
