Date	Market Pct Change	SP 500 Pct Change
19700130	-7.3254	-7.6472
19700227	5.6706	5.2693
19700331	-0.4729	0.1453
19700430	-10.5318	-9.0483
19700529	-6.4346	-6.0967
19700630	-5.1075	-5.0033
19700731	7.4169	7.3295
19700831	5.0036	4.4459
19700930	4.7536	3.2998
19701030	-1.8208	-1.14
19701130	5.0448	4.7447
19701231	6.0723	5.6766
19710129	5.203	4.0477
19710226	1.6913	0.9074
19710331	4.4778	3.6796
19710430	3.3332	3.6288
19710528	-3.6409	-4.1558
19710630	0.3119	0.0703
19710730	-4.0283	-4.1324
19710831	4.2511	3.6095
19710930	-0.5016	-0.6968
19711029	-4.0682	-4.1794
19711130	-0.1262	-0.2547
19711231	9.1257	8.6179
19720131	2.8383	1.8121
19720229	3.1349	2.5303
19720330	0.8722	0.5912
19720428	0.5505	0.4384
19720531	1.6375	1.7275
19720630	-2.0896	-2.1821
19720731	-0.4254	0.2333
19720831	3.5966	3.4454
19720929	-0.7671	-0.4861
19721031	0.8676	0.9317
19721130	4.9764	4.5617
19721229	1.1243	1.1828
19730131	-2.7576	-1.7111
19730228	-4.4487	-3.749
19730330	-0.7937	-0.1433
19730430	-5.1781	-4.08
19730531	-2.4507	-1.8884
19730629	-0.8684	-0.6575
19730731	5.7102	3.7982
19730831	-2.9657	-3.6685
19730928	5.4007	4.0096
19731031	-0.0301	-0.1291
19731130	-12.0832	-11.3861
19731231	1.1404	1.6569
19740131	0.4425	-1.0046
19740228	0.2343	-0.3624
19740329	-2.3367	-2.328
19740430	-4.5956	-3.9051
19740531	-4.1982	-3.3551
19740628	-2.2942	-1.4665
19740731	-7.0879	-7.7791
19740830	-8.7756	-9.0279
19740930	-10.9718	-11.9335
19741031	16.5585	16.3047
19741129	-4.1047	-5.318
19741231	-2.7005	-2.0151
19750131	14.16	12.2812
19750228	5.8411	5.9886
19750331	3.0191	2.1694
19750430	4.6497	4.7265
19750530	5.514	4.4101
19750630	5.1473	4.4323
19750731	-6.0385	-6.7654
19750829	-2.3557	-2.107
19750930	-3.801	-3.4645
19751031	5.5857	6.1643
19751128	3.1223	2.4708
19751231	-1.0998	-1.1508
19760130	12.6011	11.8306
19760227	0.7314	-1.1402
19760331	2.6799	3.0689
19760430	-1.0389	-1.0995
19760528	-0.9369	-1.4364
19760630	4.4487	4.0926
19760730	-0.6158	-0.8055
19760831	-0.1434	-0.5124
19760930	2.4484	2.2641
19761029	-2.0372	-2.2235
19761130	0.5364	-0.7775
19761231	6.1591	5.2498
19770131	-3.6337	-5.053
19770228	-1.576	-2.166
19770331	-0.9246	-1.4025
19770429	0.4952	0.0203
19770531	-1.0785	-2.3568
19770630	5.1367	4.536
19770729	-1.281	-1.6222
19770831	-1.3352	-2.1042
19770930	0.1574	-0.248
19771031	-3.928	-4.3406
19771130	4.5432	2.6966
19771230	0.8218	0.2847
19780131	-5.5202	-6.1514
19780228	-0.9275	-2.4762
19780331	3.4013	2.4931
19780428	8.2841	8.5416
19780531	2.3238	0.4234
19780630	-1.0751	-1.7585
19780731	5.6749	5.391
19780831	4.2352	2.5924
19780929	-0.6891	-0.7261
19781031	-11.0997	-9.1574
19781130	3.3792	1.664
19781229	1.771	1.4889
19790131	4.9489	3.9746
19790228	-2.6766	-3.6526
19790330	6.5618	5.5152
19790430	0.8522	0.1673
19790531	-1.3576	-2.6336
19790629	4.685	3.8656
19790731	1.4991	0.8746
19790831	6.4728	5.3078
19790928	0.1428	0
19791031	-7.266	-6.8606
19791130	6.3603	4.2624
19791231	2.8212	1.6767
19800131	6.5607	5.7625
19800229	0.1015	-0.438
19800331	-12.0224	-10.1795
19800430	5.2288	4.114
19800530	6.009	4.6571
19800630	3.7714	2.6969
19800731	6.9438	6.5039
19800829	2.3553	0.5835
19800930	2.9495	2.5168
19801031	2.0079	1.6021
19801128	10.492	10.2377
19801231	-3.4407	-3.3874
19810130	-4.0108	-4.5742
19810227	1.5523	1.3277
19810331	4.6184	3.6033
19810430	-1.1257	-2.3456
19810529	1.3553	-0.1657
19810630	-1.0229	-1.0408
19810731	-0.3073	-0.221
19810831	-5.6279	-6.2099
19810930	-6.3767	-5.3832
19811030	6.0177	4.9148
19811130	4.585	3.659
19811231	-2.8096	-3.0075
19820129	-2.6207	-1.7544
19820226	-5.1125	-6.0548
19820331	-1.0094	-1.0167
19820430	4.3267	4.0014
19820528	-2.8212	-3.9162
19820630	-2.3912	-2.029
19820730	-2.0526	-2.2991
19820831	11.9013	11.5977
19820930	1.6761	0.7614
19821029	11.8636	11.0364
19821130	5.1935	3.6123
19821231	1.4516	1.5158
19830131	4.185	3.3134
19830228	3.0218	1.8995
19830331	3.4673	3.3095
19830429	7.4188	7.4922
19830531	1.3224	-1.2346
19830630	3.7837	3.5224
19830729	-3.1567	-3.3014
19830831	0.3464	1.1319
19830930	1.6059	1.0158
19831031	-2.8049	-1.5174
19831130	2.9556	1.7426
19831230	-1.0464	-0.8834
19840131	-1.3023	-0.9216
19840229	-3.9073	-3.8859
19840330	1.3389	1.3498
19840430	0.2534	0.5466
19840531	-5.2342	-5.9356
19840629	2.3385	1.7469
19840731	-2.0621	-1.6451
19840831	11.2689	10.6332
19840928	0.0404	-0.348
19841031	-0.0074	-0.006
19841130	-1.0685	-1.5112
19841231	2.3656	2.2374
19850131	8.5718	7.4085
19850228	1.6896	0.8685
19850329	-0.1747	-0.2925
19850430	-0.2186	-0.4594
19850531	5.5775	5.4051
19850628	1.7091	1.2134
19850731	-0.0251	-0.4848
19850830	-0.4795	-1.1995
19850930	-3.9825	-3.4724
19851031	4.4441	4.2509
19851129	6.9228	6.5062
19851231	4.3061	4.5061
19860131	0.9829	0.2367
19860228	7.25	7.1489
19860331	5.3885	5.2794
19860430	-0.79	-1.4148
19860530	5.0844	5.0229
19860630	1.4246	1.411
19860731	-5.9699	-5.8683
19860829	6.6181	7.1193
19860930	-7.9021	-8.5439
19861031	4.9303	5.4729
19861128	1.5079	2.1477
19861231	-2.639	-2.8288
19870130	12.8483	13.1767
19870227	4.7901	3.6924
19870331	2.3642	2.639
19870430	-1.7007	-1.145
19870529	0.5125	0.6034
19870630	4.3689	4.7915
19870731	4.4225	4.8224
19870831	3.7124	3.4959
19870930	-2.0788	-2.4166
19871030	-22.5336	-21.763
19871130	-7.2286	-8.5349
19871231	7.0321	7.2861
19880129	4.4881	4.0432
19880229	5.1693	4.1817
19880331	-1.6599	-3.3343
19880429	1.0986	0.9425
19880531	0.0448	0.3176
19880630	5.1454	4.3256
19880729	-0.7273	-0.5411
19880831	-2.8007	-3.86
19880930	3.7206	3.9729
19881031	1.7637	2.5964
19881130	-1.6412	-1.8891
19881230	2.1075	1.4688
19890131	6.6103	7.1115
19890228	-1.6446	-2.8944
19890331	2.1465	2.0806
19890428	4.8204	5.009
19890531	3.9338	3.5138
19890630	-0.4866	-0.7925
19890731	7.7131	8.837
19890831	2.2127	1.5517
19890929	-0.1474	-0.6544
19891031	-2.9281	-2.5175
19891130	1.7815	1.6541
19891229	1.8295	2.1417
19900131	-7.0115	-6.8817
19900228	1.4901	0.8539
19900330	2.414	2.4255
19900430	-2.8286	-2.6887
19900531	8.8936	9.1989
19900629	-0.4196	-0.8886
19900731	-0.9405	-0.5223
19900831	-9.1896	-9.4314
19900928	-5.3843	-5.1184
19901031	-1.2504	-0.6698
19901130	6.5744	5.9934
19901231	2.9513	2.4828
19910131	4.9078	4.1518
19910228	7.5847	6.7281
19910328	2.8923	2.2203
19910430	0.3322	0.0346
19910531	4.0732	3.8577
19910628	-4.4029	-4.7893
19910731	4.6795	4.4859
19910830	2.6819	1.9649
19910930	-1.0975	-1.9144
19911031	1.7789	1.186
