Cal Date	Year	Month	Day	Pct Change Apple	Price Apple
20040102	2004	1	2	-0.4212	21.28
20040105	2004	1	5	4.1823	22.17
20040106	2004	1	6	-0.3608	22.09
20040107	2004	1	7	2.2635	22.59
20040108	2004	1	8	3.4086	23.36
20040109	2004	1	9	-1.5411	23
20040112	2004	1	12	3.1739	23.73
20040113	2004	1	13	1.6435	24.12
20040114	2004	1	14	0.3317	24.2
20040115	2004	1	15	-5.5785	22.85
20040116	2004	1	16	-0.5689	22.72
20040120	2004	1	20	0.044	22.73
20040121	2004	1	21	-0.5279	22.61
20040122	2004	1	22	-1.9018	22.18
20040123	2004	1	23	1.7133	22.56
20040126	2004	1	26	1.9947	23.01
20040127	2004	1	27	0.2608	23.07
20040128	2004	1	28	-2.384	22.52
20040129	2004	1	29	0.7105	22.68
20040130	2004	1	30	-0.5291	22.56
20040202	2004	2	2	-1.0638	22.32
20040203	2004	2	3	-0.2688	22.26
20040204	2004	2	4	-2.1114	21.79
20040205	2004	2	5	2.8912	22.42
20040206	2004	2	6	1.2935	22.71
20040209	2004	2	9	-0.1893	22.667
20040210	2004	2	10	1.3809	22.98
20040211	2004	2	11	3.5683	23.8
20040212	2004	2	12	-0.2941	23.73
20040213	2004	2	13	-3.0763	23
20040217	2004	2	17	0.6957	23.16
20040218	2004	2	18	0.4318	23.26
20040219	2004	2	19	-3.3964	22.47
20040220	2004	2	20	-0.3115	22.4
20040223	2004	2	23	-0.9375	22.19
20040224	2004	2	24	0.7661	22.36
20040225	2004	2	25	2.0125	22.81
20040226	2004	2	26	1.0083	23.04
20040227	2004	2	27	3.8194	23.92
20040301	2004	3	1	0.4181	24.02
20040302	2004	3	2	-0.8743	23.81
20040303	2004	3	3	0.462	23.92
20040304	2004	3	4	5.1839	25.16
20040305	2004	3	5	6.2798	26.74
20040308	2004	3	8	-2.7674	26
20040309	2004	3	9	4.2308	27.1
20040310	2004	3	10	2.1402	27.68
20040311	2004	3	11	-1.9147	27.15
20040312	2004	3	12	1.5101	27.56
20040315	2004	3	15	-4.0276	26.45
20040316	2004	3	16	-2.3819	25.82
20040317	2004	3	17	1.433	26.19
20040318	2004	3	18	-1.9855	25.67
20040319	2004	3	19	0.7402	25.86
20040322	2004	3	22	0	25.86
20040323	2004	3	23	-2.2042	25.29
20040324	2004	3	24	0.8304	25.5
20040325	2004	3	25	5.3726	26.87
20040326	2004	3	26	0.6327	27.04
20040329	2004	3	29	3.2175	27.91
20040330	2004	3	30	0.0358	27.92
20040331	2004	3	31	-3.1519	27.04
20040401	2004	4	1	0.2589	27.11
20040402	2004	4	2	1.4386	27.5
20040405	2004	4	5	2.9818	28.32
20040406	2004	4	6	-1.7302	27.83
20040407	2004	4	7	-1.8685	27.31
20040408	2004	4	8	0.8056	27.53
20040412	2004	4	12	1.8525	28.04
20040413	2004	4	13	-3.9586	26.93
20040414	2004	4	14	-1.0769	26.64
20040415	2004	4	15	9.985	29.3
20040416	2004	4	16	-0.4096	29.18
20040419	2004	4	19	-2.8444	28.35
20040420	2004	4	20	-2.187	27.73
20040421	2004	4	21	0	27.73
20040422	2004	4	22	0.1803	27.78
20040423	2004	4	23	-0.288	27.7
20040426	2004	4	26	-2.0578	27.13
20040427	2004	4	27	-0.7003	26.94
20040428	2004	4	28	-1.8189	26.45
20040429	2004	4	29	1.2098	26.77
20040430	2004	4	30	-3.6982	25.78
20040503	2004	5	3	1.1249	26.07
20040504	2004	5	4	0.2685	26.14
20040505	2004	5	5	1.951	26.65
20040506	2004	5	6	-0.2627	26.58
20040507	2004	5	7	0.3386	26.67
20040510	2004	5	10	-1.4623	26.28
20040511	2004	5	11	3.2724	27.14
20040512	2004	5	12	0.5895	27.3
20040513	2004	5	13	-0.4029	27.19
20040514	2004	5	14	-0.4781	27.06
20040517	2004	5	17	-1.5521	26.64
20040518	2004	5	18	1.5766	27.06
20040519	2004	5	19	-2.1803	26.47
20040520	2004	5	20	0.9067	26.71
20040521	2004	5	21	1.4976	27.11
20040524	2004	5	24	0.8484	27.34
20040525	2004	5	25	3.9137	28.41
20040526	2004	5	26	0.352	28.51
20040527	2004	5	27	-1.1926	28.17
20040528	2004	5	28	-0.3905	28.06
20040601	2004	6	1	0	28.06
20040602	2004	6	2	3.0649	28.92
20040603	2004	6	3	-1.7981	28.4
20040604	2004	6	4	1.338	28.78
20040607	2004	6	7	3.5789	29.81
20040608	2004	6	8	1.8115	30.35
