Number Messages	Time (Clock)
26	22/09/2008 9:00 AM
19	22/09/2008 9:01 AM
5	22/09/2008 9:02 AM
6	22/09/2008 9:03 AM
17	22/09/2008 9:04 AM
24	22/09/2008 9:05 AM
32	22/09/2008 9:06 AM
9	22/09/2008 9:07 AM
12	22/09/2008 9:08 AM
35	22/09/2008 9:09 AM
13	22/09/2008 9:10 AM
14	22/09/2008 9:11 AM
15	22/09/2008 9:12 AM
17	22/09/2008 9:13 AM
8	22/09/2008 9:14 AM
19	22/09/2008 9:15 AM
7	22/09/2008 9:16 AM
12	22/09/2008 9:17 AM
18	22/09/2008 9:18 AM
5	22/09/2008 9:19 AM
30	22/09/2008 9:20 AM
5	22/09/2008 9:21 AM
11	22/09/2008 9:22 AM
15	22/09/2008 9:23 AM
28	22/09/2008 9:24 AM
9	22/09/2008 9:25 AM
19	22/09/2008 9:26 AM
6	22/09/2008 9:27 AM
4	22/09/2008 9:28 AM
18	22/09/2008 9:29 AM
19	22/09/2008 9:30 AM
16	22/09/2008 9:31 AM
12	22/09/2008 9:32 AM
27	22/09/2008 9:33 AM
21	22/09/2008 9:34 AM
8	22/09/2008 9:35 AM
28	22/09/2008 9:36 AM
10	22/09/2008 9:37 AM
20	22/09/2008 9:38 AM
28	22/09/2008 9:39 AM
14	22/09/2008 9:40 AM
25	22/09/2008 9:41 AM
15	22/09/2008 9:42 AM
20	22/09/2008 9:43 AM
13	22/09/2008 9:44 AM
11	22/09/2008 9:45 AM
21	22/09/2008 9:46 AM
4	22/09/2008 9:47 AM
14	22/09/2008 9:48 AM
16	22/09/2008 9:49 AM
16	22/09/2008 9:50 AM
8	22/09/2008 9:51 AM
17	22/09/2008 9:52 AM
10	22/09/2008 9:53 AM
15	22/09/2008 9:54 AM
16	22/09/2008 9:55 AM
30	22/09/2008 9:56 AM
27	22/09/2008 9:57 AM
22	22/09/2008 9:58 AM
8	22/09/2008 9:59 AM
21	22/09/2008 10:00 AM
23	22/09/2008 10:01 AM
13	22/09/2008 10:02 AM
31	22/09/2008 10:03 AM
16	22/09/2008 10:04 AM
14	22/09/2008 10:05 AM
7	22/09/2008 10:06 AM
33	22/09/2008 10:07 AM
16	22/09/2008 10:08 AM
27	22/09/2008 10:09 AM
19	22/09/2008 10:10 AM
32	22/09/2008 10:11 AM
20	22/09/2008 10:12 AM
0	22/09/2008 10:13 AM
17	22/09/2008 10:14 AM
12	22/09/2008 10:15 AM
3	22/09/2008 10:16 AM
5	22/09/2008 10:17 AM
16	22/09/2008 10:18 AM
7	22/09/2008 10:19 AM
23	22/09/2008 10:20 AM
6	22/09/2008 10:21 AM
28	22/09/2008 10:22 AM
17	22/09/2008 10:23 AM
14	22/09/2008 10:24 AM
15	22/09/2008 10:25 AM
9	22/09/2008 10:26 AM
3	22/09/2008 10:27 AM
15	22/09/2008 10:28 AM
24	22/09/2008 10:29 AM
28	22/09/2008 10:30 AM
13	22/09/2008 10:31 AM
18	22/09/2008 10:32 AM
18	22/09/2008 10:33 AM
14	22/09/2008 10:34 AM
24	22/09/2008 10:35 AM
19	22/09/2008 10:36 AM
24	22/09/2008 10:37 AM
30	22/09/2008 10:38 AM
13	22/09/2008 10:39 AM
24	22/09/2008 10:40 AM
24	22/09/2008 10:41 AM
24	22/09/2008 10:42 AM
22	22/09/2008 10:43 AM
5	22/09/2008 10:44 AM
18	22/09/2008 10:45 AM
23	22/09/2008 10:46 AM
22	22/09/2008 10:47 AM
14	22/09/2008 10:48 AM
24	22/09/2008 10:49 AM
19	22/09/2008 10:50 AM
34	22/09/2008 10:51 AM
19	22/09/2008 10:52 AM
17	22/09/2008 10:53 AM
18	22/09/2008 10:54 AM
8	22/09/2008 10:55 AM
12	22/09/2008 10:56 AM
27	22/09/2008 10:57 AM
26	22/09/2008 10:58 AM
15	22/09/2008 10:59 AM
11	22/09/2008 11:00 AM
11	22/09/2008 11:01 AM
19	22/09/2008 11:02 AM
5	22/09/2008 11:03 AM
25	22/09/2008 11:04 AM
28	22/09/2008 11:05 AM
7	22/09/2008 11:06 AM
26	22/09/2008 11:07 AM
17	22/09/2008 11:08 AM
12	22/09/2008 11:09 AM
4	22/09/2008 11:10 AM
18	22/09/2008 11:11 AM
14	22/09/2008 11:12 AM
17	22/09/2008 11:13 AM
14	22/09/2008 11:14 AM
11	22/09/2008 11:15 AM
33	22/09/2008 11:16 AM
17	22/09/2008 11:17 AM
