day	width	Week
1	0.27	0
1	0.31	0
1	0.1	0
1	0.3	0
1	0.26	0
1	0.33	0
1	0.48	0
1	0.16	0
1	0.14	0
1	0.42	0
2	0.21	0
2	0.25	0
2	0.34	0
2	0.25	0
2	0.38	0
2	0.32	0
2	0.31	0
2	0.39	0
2	0.26	0
2	0.43	0
3	0.16	0
3	0.29	0
3	0.37	0
3	0.3	0
3	0.23	0
3	0.13	0
3	0.28	0
3	0.24	0
3	0.09	0
3	0.21	0
4	0.21	0
4	0.25	0
4	0.24	0
4	0.41	0
4	0.16	0
4	0.31	0
4	0.29	0
4	0.3	0
4	0.36	0
4	0.36	0
5	0.25	0
5	0.35	0
5	0.44	0
5	0.22	0
5	0.26	0
5	0.37	0
5	0.31	0
5	0.29	0
5	0.25	0
5	0.4	0
6	0.4	0
6	0.35	0
6	0.15	0
6	0.36	0
6	0.21	0
6	0.26	0
6	0.36	0
6	0.45	0
6	0.42	0
6	0.28	0
7	0.46	0
7	0.21	0
7	0.26	0
7	0.28	0
7	0.33	0
7	0.4	0
7	0.31	0
7	0.19	0
7	0.53	0
7	0.16	0
8	0.45	1
8	0.43	1
8	0.42	1
8	0.28	1
8	0.32	1
8	0.15	1
8	0.15	1
8	0.33	1
8	0.29	1
8	0.32	1
9	0.28	1
9	0.28	1
9	0.32	1
9	0.43	1
9	0.38	1
9	0.35	1
9	0.35	1
9	0.32	1
9	0.29	1
9	0.37	1
10	0.33	1
10	0.19	1
10	0.14	1
10	0.23	1
10	0.16	1
10	0.4	1
10	0.27	1
10	0.26	1
10	0.39	1
10	0.16	1
11	0.19	1
11	0.14	1
11	0.44	1
11	0.35	1
11	0.34	1
11	0.29	1
11	0.39	1
11	0.36	1
11	0.47	1
11	0.3	1
12	0.1	1
12	0.09	1
12	0.35	1
12	0.16	1
12	0.2	1
12	0.17	1
12	0.28	1
12	0.3	1
12	0.2	1
12	0.38	1
13	0.23	1
13	0.13	1
13	0.31	1
13	0.34	1
13	0.52	1
13	0.34	1
13	0.39	1
13	0.56	1
13	0.21	1
13	0.13	1
14	0.2	1
14	0.18	1
14	0.22	1
14	0.23	1
14	0.31	1
14	0.28	1
14	0.15	1
14	0.3	1
14	0.37	1
14	0.39	1
15	0.35	2
15	0.26	2
15	0.31	2
15	0.19	2
15	0.31	2
15	0.28	2
15	0.39	2
15	0.25	2
15	0.4	2
15	0.3	2
16	0.17	2
16	0.23	2
16	0.31	2
16	0.39	2
16	0.24	2
16	0.4	2
16	0.55	2
16	0.44	2
16	0.29	2
16	0.1	2
17	0.27	2
17	0.43	2
17	0.31	2
17	0.31	2
17	0.39	2
17	0.18	2
17	0.41	2
17	0.33	2
17	0.37	2
17	0.35	2
18	0.27	2
18	0.52	2
18	0.41	2
18	0.33	2
18	0.4	2
18	0.28	2
18	0.18	2
18	0.17	2
18	0.42	2
18	0.23	2
19	0.22	2
19	0.32	2
19	0.29	2
19	0.19	2
19	0.29	2
19	0.11	2
19	0.27	2
19	0.32	2
19	0.33	2
19	0.23	2
20	0.17	2
20	0.34	2
20	0.25	2
20	0.36	2
20	0.36	2
20	0.33	2
20	0.18	2
20	0.13	2
20	0.35	2
20	0.23	2
21	0.16	2
21	0.3	2
21	0.29	2
21	0.39	2
21	0.51	2
21	0.03	2
21	0.46	2
21	0.23	2
21	0.33	2
21	0.36	2
22	0.3	3
22	0.14	3
22	0.4	3
22	0.32	3
22	0.26	3
22	0.6	3
22	0.33	3
22	0.37	3
22	0.39	3
22	0.29	3
23	0.33	3
23	0.26	3
23	0.41	3
23	0.46	3
23	0.29	3
23	0.36	3
23	0.32	3
23	0.28	3
23	0.36	3
23	0.25	3
24	0.35	3
24	0.3	3
24	0.29	3
24	0.25	3
24	0.4	3
24	0.26	3
24	0.28	3
24	0.34	3
24	0.29	3
24	0.4	3
25	0.24	3
25	0.27	3
25	0.27	3
25	0.42	3
25	0.15	3
25	0.3	3
25	0.23	3
25	0.45	3
25	0.26	3
25	0.26	3
26	0.43	3
26	0.15	3
26	0.24	3
26	0.27	3
26	0.27	3
26	0.35	3
26	0.42	3
26	0.42	3
26	0.36	3
26	0.18	3
27	0.2	3
27	0.26	3
27	0.31	3
27	0.35	3
27	0.38	3
27	0.38	3
27	0.39	3
27	0.35	3
27	0.36	3
27	0.38	3
28	0.19	3
28	0.26	3
28	0.29	3
28	0.28	3
28	0.33	3
28	0.2	3
28	0.38	3
28	0.39	3
28	0.31	3
28	0.26	3
29	0.22	4
29	0.14	4
29	0.35	4
29	0.42	4
29	0.33	4
29	0.33	4
29	0.35	4
29	0.3	4
29	0.25	4
29	0.3	4
30	0.28	4
30	0.43	4
30	0.27	4
30	0.26	4
30	0.45	4
30	0.34	4
30	0.35	4
30	0.45	4
30	0.22	4
30	0.51	4
31	0.3	4
31	0.46	4
31	0.24	4
31	0.38	4
31	0.06	4
31	0.19	4
31	0.53	4
31	0.37	4
31	0.41	4
31	0.3	4
32	0.42	4
32	0.46	4
32	0.25	4
32	0.23	4
32	0.3	4
32	0.27	4
32	0.24	4
32	0.23	4
32	0.3	4
32	0.3	4
33	0.29	4
33	0.41	4
33	0.24	4
33	0.44	4
33	0.24	4
33	0.27	4
33	0.14	4
33	0.24	4
33	0.19	4
33	0.17	4
34	0.3	4
34	0.25	4
34	0.54	4
34	0.37	4
34	0.4	4
34	0.27	4
34	0.4	4
34	0.18	4
34	0.34	4
34	0.3	4
35	0.21	4
35	0.15	4
35	0.36	4
35	0.27	4
35	0.41	4
35	0.41	4
35	0.23	4
35	0.4	4
35	0.53	4
35	0.22	4
36	0.31	5
36	0.23	5
36	0.23	5
36	0.17	5
36	0.27	5
36	0.42	5
36	0.24	5
36	0.45	5
36	0.24	5
36	0.32	5
37	0.41	5
37	0.3	5
37	0.42	5
37	0.32	5
37	0.37	5
37	0.36	5
37	0.27	5
37	0.24	5
37	0.16	5
37	0.35	5
38	0.31	5
38	0.29	5
38	0.36	5
38	0.34	5
38	0.39	5
38	0.35	5
38	0.24	5
38	0.13	5
38	0.31	5
38	0.23	5
39	0.24	5
39	0.3	5
39	0.25	5
39	0.28	5
39	0.36	5
39	0.35	5
39	0.52	5
39	0.35	5
39	0.27	5
39	0.21	5
40	0.3	5
40	0.27	5
40	0.45	5
40	0.34	5
40	0.42	5
40	0.46	5
40	0.37	5
40	0.22	5
40	0.31	5
40	0.24	5
41	0.23	5
41	0.53	5
41	0.18	5
41	0.47	5
41	0.44	5
41	0.29	5
41	0.27	5
41	0.29	5
41	0.23	5
41	0.44	5
42	0.4	5
42	0.22	5
42	0.13	5
42	0.27	5
42	0.35	5
42	0.11	5
42	0.3	5
42	0.07	5
42	0.25	5
42	0.13	5
43	0.24	6
43	0.38	6
43	0.44	6
43	0.41	6
43	0.49	6
43	0.16	6
43	0.25	6
43	0.3	6
43	0.52	6
43	0.31	6
44	0.22	6
44	0.11	6
44	0.38	6
44	0.32	6
44	0.42	6
44	0.16	6
44	0.41	6
44	0.27	6
44	0.23	6
44	0.33	6
45	0.16	6
45	0.31	6
45	0.44	6
45	0.19	6
45	0.23	6
45	0.35	6
45	0.4	6
45	0.33	6
45	0.32	6
45	0.21	6
46	0.16	6
46	0.38	6
46	0.26	6
46	0.39	6
46	0.28	6
46	0.22	6
46	0.29	6
46	0.19	6
46	0.4	6
46	0.35	6
47	0.39	6
47	0.24	6
47	0.37	6
47	0.25	6
47	0.12	6
47	0.34	6
47	0.13	6
47	0.33	6
47	0.43	6
47	0.23	6
48	0.3	6
48	0.33	6
48	0.3	6
48	0.24	6
48	0.23	6
48	0.27	6
48	0.46	6
48	0.39	6
48	0.26	6
48	0.39	6
49	0.57	6
49	0.23	6
49	0.2	6
49	0.39	6
49	0.23	6
49	0.28	6
49	0.27	6
49	0.37	6
49	0.47	6
49	0.3	6
50	0.08	7
50	0.32	7
50	0.49	7
50	0.4	7
50	0.31	7
50	0.22	7
50	0.55	7
50	0.29	7
50	0.38	7
50	0.33	7
51	0.27	7
51	0.17	7
51	0.09	7
51	0.33	7
51	0.41	7
51	0.3	7
51	0.35	7
51	0.44	7
51	0.39	7
51	0.21	7
52	0.21	7
52	0.33	7
52	0.31	7
52	0.22	7
52	0.16	7
52	0.29	7
52	0.34	7
52	0.17	7
52	0.21	7
52	0.18	7
53	0.24	7
53	0.32	7
53	0.48	7
53	0.34	7
53	0.33	7
53	0.26	7
53	0.43	7
53	0.25	7
53	0.14	7
53	0.15	7
54	0.32	7
54	0.35	7
54	0.31	7
54	0.43	7
54	0.32	7
54	0.41	7
54	0.46	7
54	0.36	7
54	0.27	7
54	0.26	7
55	0.13	7
55	0.26	7
55	0.38	7
55	0.18	7
55	0.14	7
55	0.44	7
55	0.3	7
55	0.27	7
55	0.47	7
55	0.29	7
56	0.28	7
56	0.26	7
56	0.29	7
56	0.54	7
56	0.26	7
56	0.33	7
56	0.2	7
56	0.23	7
56	0.19	7
56	0.31	7
57	0.18	8
57	0.25	8
57	0.41	8
57	0.27	8
57	0.36	8
57	0.17	8
57	0.16	8
57	0.51	8
57	0.2	8
57	0.22	8
58	0.35	8
58	0.26	8
58	0.21	8
58	0.42	8
58	0.42	8
58	0.37	8
58	0.33	8
58	0.22	8
58	0.43	8
58	0.38	8
59	0.28	8
59	0.31	8
59	0.32	8
59	0.27	8
59	0.31	8
59	0.45	8
59	0.32	8
59	0.13	8
59	0.1	8
59	0.22	8
60	0.26	8
60	0.28	8
60	0.32	8
60	0.31	8
60	0.1	8
60	0.34	8
60	0.29	8
60	0.25	8
60	0.44	8
60	0.21	8
61	0.37	8
61	0.26	8
61	0.27	8
61	0.37	8
61	0.44	8
61	0.43	8
61	0.25	8
61	0.31	8
61	0.3	8
61	0.13	8
62	0.32	8
62	0.22	8
62	0.47	8
62	0.17	8
62	0.28	8
62	0.31	8
62	0.25	8
62	0.37	8
62	0.1	8
62	0.27	8
