Day	Week	Shaft Diameter
1	1	813.3
1	1	815.3
1	1	815.9
1	1	814.9
1	1	816.1
2	1	814.5
2	1	815.2
2	1	816.4
2	1	815.3
2	1	814.1
3	1	816.1
3	1	814.2
3	1	815
3	1	815.2
3	1	815.4
4	1	816.6
4	1	816.8
4	1	815.8
4	1	814.8
4	1	814.4
5	1	815
5	1	815.6
5	1	816.4
5	1	814.6
5	1	814.5
6	2	815.4
6	2	816
6	2	816.2
6	2	814.9
6	2	813.6
7	2	813.3
7	2	814.4
7	2	814.5
7	2	815.5
7	2	815
8	2	814
8	2	814.4
8	2	815
8	2	815.9
8	2	815.2
9	2	815.6
9	2	814.8
9	2	814
9	2	815.5
9	2	815.6
10	2	815.4
10	2	815.2
10	2	814.2
10	2	816.2
10	2	814.7
11	3	812.4
11	3	815.9
11	3	816.2
11	3	815.3
11	3	815.3
12	3	815.9
12	3	815.7
12	3	814.3
12	3	815.3
12	3	815.3
13	3	815.2
13	3	814.8
13	3	815.8
13	3	814.8
13	3	814.6
14	3	813.9
14	3	816.5
14	3	815.9
14	3	815.1
14	3	813.8
15	3	814
15	3	815.2
15	3	815.3
15	3	813.5
15	3	815.8
16	4	814.4
16	4	816.4
16	4	816.6
16	4	813.6
16	4	814.5
17	4	814.4
17	4	814.3
17	4	815.2
17	4	814.2
17	4	815.3
18	4	815.2
18	4	813.6
18	4	814.5
18	4	815.8
18	4	814.7
19	4	815.1
19	4	815.5
19	4	816
19	4	813.1
19	4	813.6
20	4	815.5
20	4	814.1
20	4	815.5
20	4	816.4
20	4	814.2
21	5	815.7
21	5	815.2
21	5	816.2
21	5	815.4
21	5	814
22	5	815.2
22	5	814.6
22	5	814
22	5	813.5
22	5	813.7
23	5	815.1
23	5	814.6
23	5	814.6
23	5	814.9
23	5	814.2
24	5	815.2
24	5	817.1
24	5	814.5
24	5	817.1
24	5	816
25	5	815.6
25	5	814.2
25	5	816
25	5	815.9
25	5	815.2
26	6	817.2
26	6	816
26	6	814.2
26	6	814.2
26	6	814.5
27	6	813.4
27	6	815.6
27	6	813.8
27	6	814.9
27	6	816
28	6	814.2
28	6	815.7
28	6	815
28	6	816.2
28	6	815.1
29	6	814.7
29	6	816.3
29	6	814.8
29	6	815.2
29	6	813.2
30	6	813.5
30	6	815.2
30	6	813.3
30	6	814.9
30	6	814.3
31	7	814.2
31	7	815.6
31	7	812.5
31	7	813.1
31	7	815.6
32	7	815.9
32	7	815.1
32	7	814.2
32	7	814.7
32	7	816.2
33	7	814.2
33	7	815.7
33	7	814.9
33	7	815.4
33	7	814.8
34	7	815.6
34	7	814.5
34	7	814.9
34	7	816.3
34	7	814.4
35	7	814.2
35	7	814.7
35	7	815.5
35	7	815.3
35	7	816.3
36	8	815.1
36	8	816.2
36	8	814.6
36	8	814.3
36	8	816.4
37	8	813.8
37	8	814.6
37	8	815.6
37	8	815.6
37	8	814.6
38	8	815.8
38	8	814.7
38	8	815.3
38	8	815
38	8	814.4
39	8	812.8
39	8	814.5
39	8	815.8
39	8	816.3
39	8	815
40	8	814
40	8	814.3
40	8	814.2
40	8	814.6
40	8	814.4
41	9	814.2
41	9	815.1
41	9	814.9
41	9	815
41	9	817.6
42	9	815.1
42	9	814.9
42	9	811.6
42	9	815.7
42	9	815.3
43	9	814.1
43	9	814.5
43	9	814.5
43	9	816.8
43	9	814.4
44	9	814.3
44	9	814.7
44	9	814.8
44	9	815.1
44	9	815.4
45	9	815.2
45	9	814.5
45	9	814.9
45	9	814.6
45	9	815.2
46	10	816.5
46	10	814
46	10	814.7
46	10	816.9
46	10	814.3
47	10	814.4
47	10	814.6
47	10	815.4
47	10	816
47	10	815.4
48	10	816
48	10	815.2
48	10	815.9
48	10	815.8
48	10	815.2
49	10	815.1
