Nation	GDP (per cap)	Tax % GDP	Trade Bal (%GDP)	Consumer Prices	Producer Prices	Share Prices	Disp Inc (% gross)	Investment Inflow ($B)	Investment Outflow	EPO Patents	R&D (% GDP)	Public Educ (% GDP)	Muni Waste (kg/person)	NOx (kg/person)	SOx (kg/person)	Energy (MTOE)	Road Deaths (per 100k)	Manufacturing ($B)	Unemploy	Long term Unempl	Youth Unempl	GDP Growth	GDP (B$)	Health (% GDP)	MD per 1000	Area (SqKm)	Population	Young (%<15)	Old(%>65)
Australia	30500	31.5	-2.9	114.1	111.6	126.4	76	42.2	16.7	924.38	1.62	4.53	690	86	143	112.65	8	158	5.4	20.7	11.7	3	617.2	9.3	2.5	7687	20111	19.8	13
Austria	35800	44	4.8	109.6	109	191.2	71.4	4.9	7.2	1168.97	2.2	5.56	560	25	4	33.18	12	101	5	24.5	6.5	2.2	292.3	7.6	3.4	84	8175	16.2	15.7
Belgium	33800	46.4	2.9	108.6	104.4	107.5	58.8	91.4	91.4	1167.12	2.31	5.97	440	28	15	59.16	15	159	12	49.6	17.5	2.9	352.3	9.6	3.9	31	10399	17.5	17
Canada	30700	33.9	3.9	110.5	101.7	96.2	75.6	6.3	47.4	1585.81	1.94	4.88	380	78	76	260.64	9	372	7.2	9.5	13.4	2.9	978.5	9.9	2.1	9976	31946	17.9	13
Czech Republic	10500	39.3	-0.3	110.1	110.2	184.2	77.1	4.5	0.5	69.92	1.26	4.21	280	31	23	44.12	14	65	8.3	51.8	20.4	4.6	107	7.5	3.5	79	10211	15.2	13.9
Denmark	44700	48.9	5.1	108.4	106.1	106	57.7	-11.4	-11.1	868.08	2.53	6.82	670	36	5	20.76	8	70	5.7	22.6	7.8	2.4	241.4	9	2.9	43	5401	18.8	15
Finland	35600	45.9	5.6	105.5	95.8	42	68.5	4.7	-1	1344.46	3.49	5.74	450	41	16	37.55	7	88	8.8	23.4	20.8	3.7	185.9	7.4	2.6	338	5228	17.5	15.7
France	32900	44	0.3	108.9	103.4	65.6	73.2	24.3	47.8	7175.43	2.19	5.61	540	23	9	271.29	10	872	10.1	41.6	22.7	2.3	2046.7	10.1	3.4	549	60200	18.5	16.3
Germany	33200	36	4.9	107.3	105.2	58	59	-38.6	-7.3	21309.77	2.55	4.28	640	17	7	347.12	8	1218	9.9	51.8	11.7	1.6	2740.7	11.1	3.4	357	82491	14.3	19.3
Greece	18600	35.9	-8.6	116.1	114.2	65.5	83.7	1.4	0.6	70.77	0.65	3.82	430	29	46	29.89	19	22	10.2	54.7	26.5	4.2	205.2	9.9	4.4	132	11060	15	16.8
Hungary	9900	38.3	-3	129.4	107.9	165.8	70.6	4.2	0.5	96.31	0.95	4.61	460	18	35	26.34	13	50	6.2	45.1	15.5	4.2	100.3	7.8	3.2	93	10107	15.8	15.6
Iceland	41800	38.1	-5.9	120.2		216.2	74.9	0.4	2.4	19.08	3.04	6.15	730	90	35	3.39	8	3	3.1	11.2	8.1	5.2	12.2	10.5	3.6	103	293	22.5	11.7
Ireland	44700	28.4	15.6	117.3	88.1	114.8	83.6	14.1	11.4	238.62	1.12	4.14	760	31	25	15.09	8	94	4.4	34.3	8.1	4.9	181.6	7.3	2.6	70	4044	20.9	11.1
Italy	28800	42.6	0.8	111.3	108.1	73.2	71.7	16.8	19.3	3906.06	1.16	4.87	520	22	11	181.03	10	749	8.1	49.7	23.5	1.2	1677.9	8.4	4.1	301	57553	14.3	19
Japan	36500	25.8	1.6	98.1	96.6	71.8	80.7	7.8	31	18844.03	3.15	3.47	410	16	7	517.1	7	2140	4.7	33.7	9.5	2.7	4666.4	7.9	2	378	127687	13.9	19.5
Korea	14100	24.4	4.4	115.4	107.3	119.3	91.1	8.2	4.8	1517.66	2.64	4.79	390	23	11	205.3	15	507	3.5	1.1	10	4.6	679.7	5.6	1.6	100	48082	19.6	8.7
Luxembourg	70200	41.8	21.6	110.4	117	56.4	77.9	16.6	3.5	71.73	1.71	3.64	650	38	7	4.26	12	7	2.8	22.6	18.3	4.5	31.9	6.1	2.7	3	452	18.8	14.2
Mexico	6500	18.1	-1.6	125.5	129.4	198.3	96.3	-4.6	1.5	42.02	0.39	5.12	320			159.94		175	3	1.1	6.4	4.4	676.1	6.2	1.5	1996	104000	31.7	5.9
Netherlands	35500	39.2	5.4	111	105.9	54.2	71.4	2.6	0.9	3808.27	1.8	4.51	600	27	5	80.83	6	191	5	32.5	7.8	1.4	579	9.8	3.1	41	16275	18.6	13.8
New Zealand	23700	34.9	0.2	111	106.9	139.9	79.9	2.2	1.9	140.42	1.16	5.53	400	52	17	17.37	12	26	3.9	11.7	9.3	4.4	96.6	8.1	2.2	269	4061	21.8	12
Norway	54500	43.5	14.2	107.9	105.3	127.1	71.2	6.2	0.8	346.18	1.75	6.12	700	47	5	23.35	6	52	4.5	9.2	11.7	2.9	250.1	10.3	3.1	324	4592	19.8	14.7
Poland	6300	32.6	-1.8	113.6	109.2	137.3	68.9	1.1	6.2	52.97	0.56	5.56	260	21	38	93.67	15	111	19	47.9	40.8	5.3	241.6	6	2.5	313	38180	17	13
Portugal	16000	33.9	-7.7	115.6	107.5	78	83.5	1.1	0.2	39.8	0.94	5.77	450	28	28	25.78	15	62	6.7	43.2	15.3	1	167.7	9.6	3.3	92	10509	15.7	16.9
Slovak Republic	7600	33.1	-2.7	129.5	115	381.3	81.3	9.9	42	11.83	0.58	3.99	300	19	19	18.52	11	17	18.1	60.6	32.7	5.5	41.1	5.9	3.1	49	5382	17.3	11.6
Spain	24400	35.6	-3.6	115.2	109	93.6	80.7	-1.9	11.9	850.82	1.1	4.33	650	35	37	136.1	13	364	11	37.7	22	3.1	1040	7.7	3.2	505	42692	14.5	16.8
Sweden	38500	50.2	8	107.1	100.4	65.8	69.6	4.5	25.2	2041.93	3.98	6.25	470	27	6	51.53	6	137	6.6	18.9	17	3.6	346.4	9.2	3.3	450	8994	17.7	17.2
Switzerland	47900	30.3	7.1	103.9	101.6	73	78.6	2.6	0.9	2715.7	2.57	5.43	660	12	3	27.07	7	135	4.2	33.5	7.7	1.7	357.4	11.5	3.6	41	7391	16	16.1
Turkey	4200	31.1	-5.8	325.3	354.6	177.8	69.9	78.5	65.4	43.32	0.66	3.46	360	14	31	78.95		81	10.3	39.2	19.7	8.9	302	6.6	1.4	781	71789	29.2	5.7
