Persons	Rent	Household Income	Electricity Cost	Gas Cost	Heating Fuel	# Rooms	Bedrooms	# Vehicles
2	$1,980 	149850	60	20	3	3	2	1
2	$2,870 	180000	70	2	1	4	2	2
2	$1,490 	108300	20	70	1	4	1	2
2	$1,608 	98000	4	4	3	3	1	0
2	$1,780 	193000	80	2	1	3	2	0
1	$2,240 	120500	40	2	1	3	1	0
1	$1,450 	9700	50	2	3	3	1	1
2	$1,734 	73050	30	4	2	3	1	0
2	$2,100 	80000	1	1	1	6	2	2
2	$2,130 	418500	30	1	2	4	2	2
2	$2,580 	255000	40	40	1	6	1	2
1	$1,940 	96000	40	2	3	2	1	1
1	$660 	55000	40	2	1	3	1	1
4	$880 	23600	50	3	3	4	1	1
1	$930 	120000	10	20	1	3	1	0
3	$2,100 	39300	300	2	1	5	3	2
2	$1,130 	11000	30	2	1	3	1	1
2	$1,800 	65900	1	3	3	4	2	0
1	$1,990 	387000	40	50	1	4	1	0
7	$1,600 	52700	30	70	9	5	3	1
2	$1,738 	142050	20	10	3	4	1	1
2	$1,640 	75620	40	2	1	4	2	1
1	$2,100 	12800	1	1	1	4	2	0
2	$1,070 	77000	70	2	3	2	0	6
1	$780 	68000	70	3	3	4	1	5
1	$1,850 	126040	40	10	1	3	1	1
1	$1,600 	40300	60	40	1	4	1	0
2	$1,990 	150000	40	50	1	3	1	1
3	$1,995 	153020	50	2	1	5	2	0
2	$1,750 	111900	50	2	3	4	2	0
2	$2,430 	134230	30	2	1	5	2	1
2	$2,505 	28600	30	30	1	3	2	1
2	$850 	21000	1	3	9	1	0	0
1	$834 	80500	20	4	1	2	0	1
1	$1,814 	93500	10	4	1	3	1	0
1	$1,140 	33400	20	20	1	2	0	0
2	$1,850 	20000	150	1	1	3	1	0
2	$2,140 	110000	140	2	1	5	2	1
2	$2,240 	91000	40	3	3	4	2	2
2	$2,060 	198001	60	1	1	4	1	1
1	$1,550 	10000	20	30	1	3	1	3
1	$1,154 	12000	100	50	1	3	2	1
2	$1,530 	83000	30	2	1	4	2	0
3	$700 	29200	1	1	3	17	10	0
1	$1,550 	150000	50	2	1	3	1	1
2	$885 	0	40	10	3	5	2	0
2	$2,044 	124000	40	4	3	2	1	0
1	$830 	100030	30	40	1	2	1	2
2	$940 	109000	30	10	3	4	2	2
2	$2,440 	170000	180	60	1	5	2	0
2	$1,630 	53100	30	1	1	4	1	0
2	$1,440 	140100	20	20	1	3	1	0
2	$2,150 	45170	30	20	1	4	2	1
1	$1,324 	60000	20	4	3	1	0	0
2	$1,540 	41200	40	2	1	3	2	0
1	$1,320 	100000	20	2	1	1	0	0
2	$1,350 	87100	50	2	1	5	2	1
2	$1,730 	71000	30	2	1	3	1	0
1	$1,730 	97060	20	10	3	4	2	1
2	$870 	68310	1	1	1	6	4	1
2	$1,000 	47900	20	2	1	3	1	0
3	$1,850 	36000	20	30	1	5	2	1
7	$1,557 	48570	30	20	2	4	3	0
1	$1,250 	22200	30	20	1	5	1	1
1	$1,000 	0	1	1	3	5	1	0
2	$2,300 	125000	1	1	1	2	1	0
2	$1,614 	120000	10	4	3	3	2	1
1	$2,280 	163000	80	1	1	4	2	1
1	$1,640 	49800	40	1	1	3	1	1
2	$2,877 	107100	50	3	3	3	2	1
3	$2,913 	260050	40	120	1	5	2	1
2	$1,280 	100000	40	40	3	2	1	1
3	$1,172 	137800	20	20	1	5	3	0
6	$2,200 	73900	100	2	1	6	3	1
3	$2,860 	223200	60	2	1	5	3	2
1	$1,430 	72000	20	10	3	2	1	0
1	$1,270 	22500	70	2	1	5	3	1
3	$2,060 	120000	60	2	3	3	2	1
1	$1,340 	77150	40	2	1	3	2	0
2	$1,260 	56000	60	2	9	5	2	0
2	$2,180 	120000	150	30	1	5	2	1
1	$2,400 	83000	100	100	1	4	2	1
1	$908 	50000	4	4	4	3	1	0
1	$570 	25000	70	2	1	2	1	0
3	$2,650 	99600	150	2	1	4	3	0
1	$1,614 	78000	10	4	1	2	1	0
2	$2,200 	119800	270	30	1	5	3	2
1	$1,620 	201000	10	10	1	3	1	1
1	$904 	55800	10	4	9	4	2	0
2	$2,340 	460000	40	2	1	4	1	1
1	$1,220 	70000	20	3	3	3	1	1
2	$2,670 	46300	30	40	1	1	0	1
2	$1,700 	160050	2	3	1	3	1	1
2	$2,684 	56400	40	40	3	8	2	1
1	$924 	94000	50	4	3	3	1	1
1	$1,650 	50600	30	20	1	3	2	0
1	$1,540 	37800	1	40	1	4	2	0
2	$2,010 	81300	10	1	3	4	1	0
1	$840 	44000	30	2	1	1	0	0
2	$1,770 	96000	50	20	3	3	1	2
2	$1,660 	46800	60	1	3	3	1	1
3	$2,714 	117600	10	4	1	4	2	2
2	$800 	26300	60	3	2	4	2	1
2	$1,820 	84000	20	2	3	4	2	0
1	$560 	25000	40	10	3	3	0	1
2	$2,030 	208000	130	2	3	5	2	1
2	$1,460 	115000	30	30	2	3	1	0
1	$990 	53000	10	3	3	3	1	0
1	$670 	32300	10	3	3	2	1	1
2	$2,460 	190000	60	1	3	4	2	0
3	$950 	77000	200	2	1	4	2	0
3	$1,810 	168900	70	40	1	6	3	2
1	$1,540 	56000	20	20	1	3	1	0
1	$1,840 	130000	40	3	3	3	1	1
2	$1,630 	265000	30	2	1	3	1	2
