Color	Location	Red Dummy
Violet	East	0
Violet	East	0
Violet	East	0
Red	East	1
Red	East	1
Violet	East	0
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Violet	East	0
Red	East	1
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Violet	East	0
Violet	East	0
Violet	East	0
Violet	East	0
Violet	East	0
Violet	East	0
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Violet	East	0
Violet	East	0
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Red	East	1
Violet	East	0
Red	East	1
Red	East	1
Red	East	1
Red	West	1
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Red	West	1
Red	West	1
Red	West	1
Red	West	1
Red	West	1
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Red	West	1
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Red	West	1
Red	West	1
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Violet	West	0
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
Violet	West	0
Red	West	1
Violet	West	0
