Awareness	Mailings
NO	15
NO	49
NO	42
NO	0
NO	26
NO	35
NO	38
NO	13
NO	35
NO	14
NO	0
NO	64
NO	27
NO	63
NO	50
NO	43
NO	32
NO	39
NO	13
NO	19
NO	47
NO	48
NO	38
NO	59
NO	35
NO	8
NO	10
NO	58
NO	44
NO	9
NO	10
NO	0
NO	42
NO	37
NO	23
NO	14
NO	54
NO	41
NO	40
NO	43
NO	45
NO	13
NO	65
NO	10
NO	17
NO	59
NO	26
NO	18
NO	5
NO	14
NO	77
NO	29
NO	60
NO	19
NO	30
NO	29
NO	12
NO	0
NO	20
NO	31
NO	13
NO	5
NO	7
NO	42
NO	36
NO	9
NO	23
NO	70
NO	28
NO	25
NO	26
NO	24
NO	56
NO	7
NO	0
YES	38
YES	74
YES	18
YES	65
YES	60
YES	51
YES	71
YES	47
YES	29
YES	39
YES	38
YES	36
YES	57
YES	36
YES	0
YES	20
YES	23
YES	79
YES	16
YES	4
YES	62
YES	37
YES	2
YES	23
YES	3
YES	0
YES	28
YES	59
YES	25
YES	86
YES	27
YES	58
YES	33
YES	54
YES	54
YES	92
YES	71
YES	0
YES	77
YES	60
YES	56
YES	38
YES	16
YES	89
YES	62
YES	9
YES	42
YES	73
YES	49
YES	14
