Damaged?	Shipment Number	Shipper
0	1	A
0	2	B
1	3	B
0	4	A
0	5	A
0	6	B
0	7	A
0	8	A
0	9	A
0	10	A
0	11	A
1	12	B
0	13	B
0	14	A
0	15	A
0	16	A
0	17	A
1	18	B
0	19	A
1	20	B
0	21	B
0	22	B
0	23	A
0	24	A
1	25	B
0	26	A
0	27	A
0	28	B
0	29	A
0	30	A
0	31	A
0	32	B
0	33	B
1	34	B
0	35	A
1	36	A
0	37	A
0	38	B
0	39	B
0	40	A
0	41	A
0	42	B
0	43	B
0	44	B
0	45	B
0	46	B
0	47	A
1	48	B
0	49	B
1	50	A
0	51	B
0	52	B
0	53	B
0	54	A
0	55	A
0	56	A
0	57	B
0	58	B
0	59	B
0	60	B
0	61	A
0	62	A
0	63	A
0	64	B
0	65	B
1	66	B
0	67	A
1	68	B
0	69	B
0	70	B
0	71	B
0	72	B
0	73	B
1	74	B
0	75	A
0	76	A
0	77	A
1	78	B
1	79	B
0	80	A
0	81	A
1	82	A
0	83	A
0	84	B
0	85	B
0	86	B
0	87	A
0	88	A
0	89	B
0	90	A
0	91	A
1	92	A
0	93	B
1	94	A
0	95	A
1	96	B
0	97	A
0	98	B
0	99	A
0	100	B
0	101	A
0	102	A
0	103	B
0	104	A
0	105	A
0	106	B
0	107	B
0	108	B
0	109	A
0	110	B
0	111	A
0	112	A
1	113	B
0	114	B
0	115	A
0	116	A
0	117	A
0	118	B
0	119	B
0	120	B
0	121	B
0	122	A
0	123	A
0	124	A
0	125	A
0	126	B
0	127	A
0	128	B
0	129	B
0	130	B
0	131	B
0	132	A
0	133	B
0	134	A
0	135	B
0	136	A
0	137	B
0	138	A
0	139	A
0	140	A
0	141	B
0	142	A
0	143	B
0	144	B
0	145	B
0	146	A
0	147	B
0	148	B
0	149	B
0	150	B
0	151	A
0	152	B
0	153	B
0	154	A
0	155	A
0	156	B
0	157	A
0	158	A
0	159	A
0	160	B
0	161	B
0	162	A
0	163	A
1	164	B
0	165	A
0	166	B
0	167	A
0	168	A
0	169	A
1	170	B
0	171	A
0	172	A
0	173	B
0	174	B
0	175	B
0	176	B
0	177	A
0	178	B
0	179	B
1	180	B
0	181	B
0	182	B
0	183	A
0	184	B
0	185	A
0	186	B
0	187	A
0	188	B
0	189	B
0	190	A
0	191	A
0	192	A
1	193	B
0	194	B
0	195	B
0	196	B
0	197	A
0	198	A
0	199	A
0	200	B
0	201	B
0	202	B
0	203	A
0	204	A
0	205	B
0	206	A
0	207	A
0	208	A
0	209	A
0	210	B
0	211	B
0	212	B
0	213	B
0	214	B
0	215	B
0	216	A
1	217	B
0	218	A
0	219	A
0	220	A
0	221	A
0	222	B
0	223	B
0	224	B
0	225	A
0	226	B
0	227	B
0	228	B
0	229	B
0	230	B
0	231	A
1	232	A
1	233	B
0	234	B
0	235	A
1	236	A
0	237	A
0	238	B
0	239	A
0	240	B
0	241	B
0	242	B
1	243	B
0	244	B
0	245	A
0	246	A
0	247	B
0	248	B
0	249	A
0	250	A
0	251	A
0	252	A
0	253	A
0	254	B
0	255	A
0	256	B
0	257	B
0	258	A
0	259	A
0	260	B
0	261	A
0	262	B
0	263	A
0	264	B
0	265	B
0	266	B
0	267	B
0	268	B
0	269	B
0	270	B
0	271	B
0	272	B
0	273	A
0	274	A
0	275	B
0	276	B
0	277	A
1	278	B
0	279	A
0	280	B
0	281	B
0	282	B
1	283	A
0	284	B
0	285	A
0	286	A
0	287	B
0	288	B
0	289	A
1	290	B
0	291	A
0	292	A
0	293	B
0	294	B
0	295	B
0	296	B
0	297	B
0	298	B
0	299	A
0	300	A
0	301	A
0	302	B
0	303	B
0	304	A
0	305	A
0	306	A
0	307	B
0	308	B
0	309	B
0	310	B
0	311	A
0	312	B
1	313	B
0	314	A
0	315	A
0	316	A
0	317	A
0	318	A
0	319	A
0	320	A
0	321	B
0	322	A
0	323	A
1	324	B
0	325	B
0	326	B
0	327	B
0	328	A
0	329	A
0	330	B
0	331	B
0	332	B
0	333	A
0	334	B
0	335	A
0	336	A
1	337	A
0	338	A
0	339	A
0	340	A
1	341	A
0	342	A
1	343	B
0	344	B
0	345	A
0	346	A
1	347	A
0	348	A
0	349	B
0	350	B
0	351	A
0	352	A
0	353	A
0	354	A
0	355	B
1	356	B
0	357	A
0	358	A
0	359	B
0	360	A
0	361	B
0	362	B
0	363	A
0	364	A
0	365	B
0	366	A
0	367	A
0	368	B
0	369	B
0	370	A
0	371	B
0	372	A
0	373	B
0	374	B
0	375	B
0	376	A
0	377	A
0	378	B
0	379	A
0	380	A
0	381	B
0	382	A
0	383	B
0	384	A
0	385	A
1	386	B
0	387	A
0	388	A
0	389	B
0	390	B
0	391	A
0	392	A
0	393	B
0	394	B
0	395	B
0	396	A
0	397	A
0	398	B
0	399	A
0	400	A
0	401	B
1	402	B
1	403	B
0	404	B
0	405	A
0	406	B
0	407	A
0	408	A
0	409	A
0	410	A
1	411	B
0	412	B
0	413	B
0	414	B
0	415	A
0	416	B
0	417	B
0	418	A
0	419	A
0	420	B
0	421	A
0	422	B
0	423	A
0	424	B
1	425	A
0	426	B
0	427	A
0	428	B
0	429	B
0	430	A
0	431	A
0	432	B
0	433	B
0	434	A
0	435	B
0	436	A
0	437	B
1	438	B
1	439	B
0	440	A
0	441	B
0	442	A
0	443	A
0	444	A
0	445	A
1	446	A
0	447	B
0	448	B
0	449	B
0	450	B
