R&D Expense	Assets	Net Sales	Log R&D Expense	Log Assets	Log Net Sales	Log 10 R&D Expense	Log 10 Assets	Company	Industry
86.543	1306.963	1405.857	4.4606414	7.1754614	7.24840236	1.93723195	3.11626329	ACTIVISION INC	PREPACKAGED SOFTWARE
934.574	7844.21	5001.435	6.84009081	8.96753096	8.51748015	2.97061369	3.89454921	ADVANCED MICRO DEVICES	SEMICONDUCTOR,RELATED DEVICE
152.633	1168.806	784.023	5.02803635	7.06373799	6.66443836	2.18364844	3.06774243	SKYWORKS SOLUTIONS INC	SEMICONDUCTOR,RELATED DEVICE
511.732	4720.083	2633.8	6.23780105	8.45958166	7.87618295	2.70904258	3.67394964	ANALOG DEVICES	SEMICONDUCTOR,RELATED DEVICE
239.404	1142.204	1234.267	5.4781525	7.04071501	7.11823255	2.3791314	3.05774368	AUTODESK INC	PREPACKAGED SOFTWARE
7.768	216.065	360.726	2.05001273	5.37557929	5.88811867	0.89030922	2.33458442	BANCTEC INC	PREPACKAGED SOFTWARE
6.036	124.9	108.962	1.79774154	4.82751342	4.6909992	0.78074923	2.09656244	WHITE ELECTRONIC DESIGNS CP	SEMICONDUCTOR,RELATED DEVICE
294.3	5620.9	5820.7	5.68459966	8.63424707	8.66917581	2.46879026	3.74980586	UNISYS CORP	CMP INTEGRATED SYS DESIGN
2.946	31.113	52.824	1.08044832	3.43762574	3.96696563	0.46923274	1.49294189	CSP INC	CMP INTEGRATED SYS DESIGN
0.8	58.517	116.705	-0.2231436	4.06931731	4.75964938	-0.09691	1.76728205	TELOS CORP/MD  -CL A	PREPACKAGED SOFTWARE
1.792	13.644	16.158	0.58333231	2.61329986	2.78241528	0.25333801	1.13494171	CTI GROUP HOLDINGS INC	PREPACKAGED SOFTWARE
1.014	6.351	7.656	0.01390291	1.84861228	2.03548965	0.00603795	0.80284211	CREATIVE COMPUTER APPL	CMP INTEGRATED SYS DESIGN
3.422	167.801	185.703	1.23022518	5.12277875	5.22414862	0.53428001	2.22479454	DIODES INC	SEMICONDUCTOR,RELATED DEVICE
5.353	501.156	16.33	1.67765715	6.21691743	2.79300391	0.72859724	2.69997293	ELRON ELECTRONIC INDS  -ORD	PREPACKAGED SOFTWARE
14.196	113.312	66.305	2.65296023	4.73014508	4.19426531	1.15216599	2.05427591	ENERGY CONVERSION DEV	SEMICONDUCTOR,RELATED DEVICE
22.025	504.28	57.369	3.09217817	6.22313167	4.04950409	1.34291592	2.70267174	EXAR CORP	SEMICONDUCTOR,RELATED DEVICE
13.801	36.294	25.698	2.62474105	3.59165244	3.24641317	1.13991056	1.55983483	CONVERA CORP	PREPACKAGED SOFTWARE
3.165	25.112	43.32	1.15215306	3.22334582	3.76861442	0.50037371	1.3998813	HEI INC	SEMICONDUCTOR,RELATED DEVICE
5.966	129.747	155.946	1.78607669	4.8655864	5.04950979	0.77568325	2.11309732	INNOVEX INC	SEMICONDUCTOR,RELATED DEVICE
105.559	902.14	390.64	4.65927004	6.80476972	5.96778642	2.02349527	2.95527394	INTEGRATED DEVICE TECH INC	SEMICONDUCTOR,RELATED DEVICE
4778	48143	34209	8.47177733	10.781931	10.440244	3.67924615	4.68253315	INTEL CORP	SEMICONDUCTOR,RELATED DEVICE
7.63	12.904	22.332	2.03208785	2.55753734	3.10602063	0.88252454	1.11072435	INTELLIGENT SYSTEM CP	PREPACKAGED SOFTWARE
58.816	650.54	551.098	4.07441393	6.47780279	6.31191265	1.76949549	2.81327401	INTERGRAPH CORP	PREPACKAGED SOFTWARE
92.156	2017.006	1060.5	4.52348279	7.60936951	6.96649577	1.96452362	3.30470719	INTL RECTIFIER CORP	SEMICONDUCTOR,RELATED DEVICE
427.805	2874.001	1700.164	6.05866748	7.96346041	7.43848	2.63124586	3.45848691	LSI LOGIC CORP	SEMICONDUCTOR,RELATED DEVICE
209.989	1021.907	710.956	5.34705515	6.92942577	6.56661054	2.32219655	3.00941137	MENTOR GRAPHICS CORP	CMP INTEGRATED SYS DESIGN
27.209	418.892	487.443	3.3035478	6.03761313	6.18917336	1.43471258	2.62210207	MICROS SYSTEMS INC	CMP INTEGRATED SYS DESIGN
754.9	7760	4404.2	6.62658529	8.95673761	8.39031391	2.87788943	3.88986172	MICRON TECHNOLOGY INC	SEMICONDUCTOR,RELATED DEVICE
0.438	10.352	15.356	-0.8255364	2.33717974	2.73150628	-0.3585259	1.01502426	MICROPAC INDUSTRIES INC	SEMICONDUCTOR,RELATED DEVICE
20.01	232.998	244.805	2.99623215	5.45102987	5.50046198	1.30124709	2.36735219	MICROSEMI CORP	SEMICONDUCTOR,RELATED DEVICE
62.9	171.3	214.2	4.14154616	5.14341641	5.36691016	1.79865065	2.23375736	ZARLINK SEMICONDUCTOR INC	SEMICONDUCTOR,RELATED DEVICE
333	2456.9	1913.1	5.80814249	7.80665567	7.55648024	2.52244423	3.39038748	NATIONAL SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
0.157	18.847	6.035	-1.8515095	2.93635375	1.79757585	-0.8041003	1.27524223	NESTOR INC	CMP INTEGRATED SYS DESIGN
0.186	0.52	0.299	-1.6820086	-0.6539265	-1.2073117	-0.7304871	-0.2839967	O C G TECHNOLOGY INC	PREPACKAGED SOFTWARE
0.491	5.76	0.385	-0.7113112	1.75093747	-0.9545119	-0.3089185	0.76042248	VERIDICOM INTERNATIONAL INC	PREPACKAGED SOFTWARE
6.903	99.442	88.961	1.9319561	4.59957456	4.48819807	0.83903787	1.99756985	QUALITY SYSTEMS INC	CMP INTEGRATED SYS DESIGN
93	1060.867	982.241	4.53259949	6.96684178	6.8898367	1.96848295	3.02566094	REYNOLDS & REYNOLDS  -CL A	CMP INTEGRATED SYS DESIGN
33.492	457.925	253.612	3.5113066	6.12670542	5.53580554	1.52494108	2.66079435	SEMTECH CORP	SEMICONDUCTOR,RELATED DEVICE
0.63	6.387	10.183	-0.4620355	1.85426467	2.32071966	-0.2006595	0.80529692	SIBONEY CORP	PREPACKAGED SOFTWARE
42.988	319.259	208.815	3.76092101	5.76600269	5.34144869	1.63334724	2.50414315	STANDARD MICROSYSTEMS CORP	SEMICONDUCTOR,RELATED DEVICE
9.78	126.377	56.558	2.28033948	4.8392695	4.03526666	0.99033885	2.10166804	SUPERTEX INC	SEMICONDUCTOR,RELATED DEVICE
1978	16299	12580	7.58984151	9.69885904	9.43986353	3.29622629	4.21216096	TEXAS INSTRUMENTS INC	SEMICONDUCTOR,RELATED DEVICE
15.106	1357.766	2046.525	2.71509202	7.21359598	7.62389851	1.17914948	3.13282493	TITAN CORP	CMP INTEGRATED SYS DESIGN
2.5	190.487	172.27	0.91629073	5.24958395	5.14906301	0.39794001	2.27986534	TYLER TECHNOLOGIES INC	CMP INTEGRATED SYS DESIGN
0.76	6.388	9.274	-0.2744368	1.85442123	2.22721479	-0.1191864	0.80536491	COVER-ALL TECHNOLOGIES INC	PREPACKAGED SOFTWARE
9.675	228.827	55.199	2.26954524	5.43296626	4.01094484	0.98565097	2.35950727	IDENTIX INC	CMP INTEGRATED SYS DESIGN
2.489	12.027	4.023	0.91188102	2.48715412	1.39202789	0.3960249	1.08015731	SAND TECHNOLOGY INC  -CL A	PREPACKAGED SOFTWARE
23.674	653.614	467.415	3.1643774	6.48251696	6.14721751	1.37427164	2.81532135	HENRY (JACK) & ASSOCIATES	CMP INTEGRATED SYS DESIGN
1.404	4.131	1.426	0.33932531	1.41851951	0.35487332	0.14736711	0.61605519	DPAC TECHNOLOGIES CORP	SEMICONDUCTOR,RELATED DEVICE
7779	92389	36835	8.95918307	11.4337632	10.5142038	3.89092377	4.96562027	MICROSOFT CORP	PREPACKAGED SOFTWARE
236.401	5194.641	3555.871	5.46552952	8.5553828	8.17635532	2.37364931	3.71555554	SUNGARD DATA SYSTEMS INC	PREPACKAGED SOFTWARE
277.229	1572.994	948.438	5.62484388	7.36073609	6.85481642	2.44283866	3.19672707	CYPRESS SEMICONDUCTOR CORP	SEMICONDUCTOR,RELATED DEVICE
104.62	2087.703	807.281	4.65033474	7.6438197	6.69367181	2.01961472	3.31966872	LINEAR TECHNOLOGY CORP	SEMICONDUCTOR,RELATED DEVICE
11.648	34.937	31.437	2.45513449	3.55354644	3.44798554	1.06625136	1.54328561	SIGMA DESIGNS INC	SEMICONDUCTOR,RELATED DEVICE
311.296	1958.632	1666.581	5.74074423	7.58000155	7.4185295	2.49317354	3.29195285	ADOBE SYSTEMS INC.	PREPACKAGED SOFTWARE
129.352	982.265	926.356	4.86253737	6.88986113	6.83125861	2.11177315	2.99222867	CERNER CORP	CMP INTEGRATED SYS DESIGN
0.817	2.788	7.901	-0.2021162	1.02532449	2.06698933	-0.0877779	0.44529277	NAVTECH INC	CMP INTEGRATED SYS DESIGN
