Name	Class	Vehicle Type	Transmission	Combined MPG	City MPG	Highway MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	Intake Valves Per Cyl	Exhaust Valves Per Cyl	# Gears	Drive System	THC	CO	CO2	NOx	PM	Energy Storage Device Desc	2Dr Pass Vol	2Dr Lugg Vol	4Dr Pass Vol	4Dr Lugg Vol	Htchbk Pass Vol	Htchbk Lugg Vol	Camless Valvetrain (Y or N)	Oil Viscosity	Test Veh Displ (L)	Air Aspir Method	Cyl Deact?	Var Valve Timing?
Audi A3	Small Station Wagons	Car	Manual	24	21	30	3625	2	200	Turbocharged	4	2	2	6	2-Wheel Drive, Front	0.0011	1.14	311	0.013					89	20			N	5W40	1.984	TC	N	Y
Audi A4 QUATTRO	Compact Cars	Car	Manual	25	21	31	4000	2	211	Turbocharged	4	2	2	6	All Wheel Drive	0.1341	1.82	390	0.055					91	12			N	5W40	1.984	TC	N	Y
Audi A4	Compact Cars	Car	Continuously Variable	25	22	30	3875	2	211	Turbocharged	4	2	2	1	2-Wheel Drive, Front	0.0112	3.59	327	0.01					91	12			N	5W40	1.984	TC	N	Y
Audi A6	Midsize Cars	Both	Continuously Variable	28	25	33	4000	2	211	Turbocharged	4	2	2	1	2-Wheel Drive, Front	0.0185	1.08	309	0.024					97	14			N	5W40	1.984	TC	N	Y
Audi Q7	Special Purpose Vehicle, SUV 4WD	Truck	Semi-Automatic	18	16	22	6000	3	225	Supercharged	6	2	2	8	All Wheel Drive	0.0019	0	475	0.214	0.002								N	5W40	2.967	SC	N	Y
Audi R8	Two Seaters	Car	Automated Manual	16	13	21	4250	4.2	430	Naturally Aspirated	8	2	2	6	All Wheel Drive	0.3428	1.43	633	0.038									N	5W30	4.163	NA	N	Y
Audi R8	Two Seaters	Car	Manual	14	11	20	4250	4.2	430	Naturally Aspirated	8	2	2	6	All Wheel Drive	0.0992	1.88	737	0.024									N	5W30	4.163	NA	N	Y
Audi R8	Two Seaters	Car	Manual	14	12	19	4000	5.2	525	Naturally Aspirated	10	2	2	6	All Wheel Drive	0.0639	0.49	647	0.025									N	10W60 VW 50101 / 50500	5.204	NA	N	Y
Audi S4	Compact Cars	Car	Manual	21	18	27	4250	3	333	Supercharged	6	2	2	6	All Wheel Drive	0.0278	1.15	409	0.027					90	13			N	5W40	2.995	SC	N	Y
Audi S5	Subcompact Cars	Car	Manual	17	14	22	4250	4.2	354	Naturally Aspirated	8	2	2	6	All Wheel Drive	0.0301	1.04	421	0.034			84	12							4.163	NA	N	Y
