Sales (Dollars)	Volume (Gallons)	Washes	DayWeek	Price (cents)	Weekend
1756	2933	170	thu	139.9	0
2203	3329	167	fri	139.9	0
1848	3043	237	mon	139.9	0
2016	3043	222	tue	139.9	0
2346	3450	264	thu	139.9	0
2410	3478	150	fri	139.9	0
2050	3347	187	mon	139.9	0
2097	3708	119	tue	139.9	0
2311	3467	145	wed	139.9	0
2419	4114	173	thu	139.9	0
2523	3721	222	fri	139.9	0
2061	3448	179	mon	139.9	0
2247	3230	186	tue	142.9	0
3479	3557	96	wed	142.9	0
2135	3060	192	thu	142.9	0
2102	3619	118	fri	141.9	0
2536	3256	131	mon	141.9	0
1227	1757	37	tue	146.9	0
1966	2891	116	wed	146.9	0
2219	3381	221	thu	146.9	0
2226	2970	306	fri	148.9	0
1969	3301	167	mon	148.9	0
2044	3178	221	tue	146.9	0
2360	3426	133	wed	146.9	0
1907	3118	161	thu	149.9	0
2156	3037	98	fri	151.9	0
1816	3537	205	mon	157.9	0
1897	3808	294	tue	157.9	0
2051	3145	173	wed	157.9	0
2079	3766	223	thu	157.9	0
2328	2916	115	fri	156.9	0
1841	3957	188	mon	155.9	0
2104	3980	80	tue	155.9	0
1973	3675	106	wed	155.9	0
2089	3516	62	thu	155.9	0
2266	4149	37	fri	155.9	0
2327	3733	218	mon	155.9	0
2032	3738	32	tue	155.9	0
2137	4012	41	wed	155.9	0
2186	4114	214	thu	155.9	0
2369	3795	358	fri	157.9	0
2087	3543	63	mon	157.9	0
2273	3681	117	tue	157.9	0
2113	3618	40	wed	155.9	0
2181	4452	366	thu	155.9	0
2776	4346	569	fri	155.9	0
2652	4073	492	mon	155.9	0
2250	4260	324	tue	159.9	0
2548	4113	280	wed	159.9	0
2678	3829	130	thu	159.9	0
2878	4137	542	fri	159.9	0
2220	4269	362	mon	155.9	0
2303	3989	168	tue	155.9	0
2718	4238	347	wed	155.9	0
2317	3658	279	thu	155.9	0
2338	4005	398	fri	155.9	0
2143	3996	191	mon	155.9	0
2402	4077	145	tue	155.9	0
2401	3610	200	wed	155.9	0
2051	3701	274	thu	155.9	0
2468	3844	177	fri	155.9	0
2398	3904	589	mon	155.9	0
2106	3879	379	tue	155.9	0
2461	3266	206	wed	155.9	0
2466	3513	265	thu	155.9	0
2745	4052	359	fri	155.9	0
1994	4052	403	sat	151.9	1
2020	2874	70	mon	151.9	0
2241	3526	296	tue	151.9	0
2648	3487	320	wed	151.9	0
2022	3499	280	thu	149.9	0
2524	3236	294	fri	149.9	0
1919	2422	307	mon	149.9	0
2164	2876	242	tue	149.9	0
2074	2883	188	wed	149.9	0
2310	2771	266	thu	149.9	0
2062	2362	222	fri	149.9	0
1807	2564	198	mon	149.9	0
1976	2708	168	tue	149.9	0
2171	2519	293	wed	149.9	0
1745	2638	210	thu	146.9	0
2108	3448	427	fri	144.9	0
2057	1993	533	sat	143.9	1
1679	2560	137	mon	143.9	0
2014	2777	221	tue	141.9	0
2109	3097	288	wed	141.9	0
2274	2750	226	thu	141.9	0
2640	3260	337	fri	139.9	0
1664	2050	301	sat	139.9	1
1913	2921	595	mon	139.9	0
2331	2970	327	tue	137.9	0
1920	2624	321	wed	137.9	0
2074	3496	445	thu	137.9	0
2272	3729	353	fri	135.9	0
1651	2302	481	sat	135.9	1
1996	2672	385	mon	135.9	0
2093	3150	278	tue	134.9	0
1995	2948	359	wed	134.9	0
2337	3520	272	thu	134.9	0
2433	3195	347	fri	135.9	0
1731	2232	477	sat	135.9	1
2183	2979	236	mon	135.9	0
1795	3178	271	tue	135.9	0
1689	2618	253	wed	135.9	0
2040	3117	278	thu	135.9	0
2076	2847	271	fri	135.9	0
1483	2150	241	sat	135.9	1
930	1528	227	mon	135.9	0
1674	2309	226	tue	135.9	0
1934	2805	292	wed	135.9	0
2011	2721	300	thu	135.9	0
2172	2812	282	fri	135.9	0
1612	2173	302	sat	135.9	1
1780	2767	211	mon	135.9	0
2116	2544	190	tue	138.9	0
1937	2805	171	wed	138.9	0
1866	2131	77	thu	138.9	0
2099	3292	199	fri	137.9	0
2082	2221	264	sat	137.9	1
1788	2816	181	mon	137.9	0
2004	2686	141	tue	137.9	0
1868	3207	432	wed	137.9	0
2038	2925	202	thu	139.9	0
2596	3603	282	fri	139.9	0
1700	2165	115	sat	139.9	1
1815	3338	38	mon	139.9	0
1917	3107	106	tue	139.9	0
2143	2906	150	wed	137.9	0
2420	3448	185	thu	137.9	0
2486	3433	215	fri	137.9	0
1812	2104	192	sat	137.9	1
2463	3283	127	mon	137.9	0
2222	3750	150	tue	135.9	0
2324	3494	183	wed	135.9	0
2219	3154	120	thu	135.9	0
2505	3465	377	fri	135.9	0
2047	2216	206	sat	135.9	1
2231	3236	96	mon	135.9	0
2067	3425	103	tue	135.9	0
2293	3667	139	wed	135.9	0
2152	3618	149	thu	135.9	0
1366	2257	152	sat	135.9	1
2210	3606	95	mon	135.9	0
2029	3460	19	tue	136.9	0
2742	2336	24	wed	136.9	0
2161	3113	56	thu	141.9	0
2223	3058	149	fri	141.9	0
2186	2429	365	sat	141.9	1
2306	3501	148	mon	141.9	0
1933	3183	21	tue	141.9	0
2485	3337	109	wed	141.9	0
2817	3566	146	thu	141.9	0
2491	3398	120	fri	141.9	0
1896	2519	294	sat	141.9	1
2382	3716	271	mon	141.9	0
2552	3856	254	tue	141.9	0
2094	3488	117	wed	141.9	0
2447	3457	80	thu	141.9	0
2440	3831	125	fri	141.9	0
2041	2280	253	sat	141.9	1
2261	2411	193	mon	141.9	0
2114	3208	510	tue	141.9	0
2866	3539	255	wed	141.9	0
2752	3719	197	thu	141.9	0
2502	4150	255	fri	141.9	0
1786	2927	363	sat	141.9	1
2157	3044	368	mon	141.9	0
2025	3390	207	tue	143.9	0
2327	3840	296	wed	143.9	0
2502	3697	292	thu	145.9	0
2552	4104	248	fri	145.9	0
2017	3749	128	mon	146.9	0
2019	3511	92	tue	146.9	0
2302	3972	184	wed	146.9	0
2419	3413	72	thu	146.9	0
2921	3882	157	fri	147.9	0
2273	3950	135	mon	149.9	0
2183	3292	256	tue	151.9	0
2428	3979	239	thu	151.9	0
2489	4668	216	fri	156.9	0
2037	3832	198	mon	157.9	0
2324	3930	210	tue	157.9	0
2591	3853	591	wed	157.9	0
2362	4014	260	thu	157.9	0
3001	4759	380	fri	156.9	0
1801	2661	420	sat	154.9	1
1744	4165	88	tue	154.9	0
2428	4139	96	wed	154.9	0
2409	3664	99	thu	154.9	0
2819	3851	206	fri	154.9	0
1897	2522	248	sat	154.9	1
1536	1208	22	mon	154.9	0
2475	3844	111	tue	153.9	0
2484	3766	227	wed	153.9	0
2117	3535	88	thu	153.9	0
2488	3900	165	fri	153.9	0
2553	3900	0	sat	151.9	1
2251	3814	0	mon	151.9	0
2435	3387	231	tue	151.9	0
2446	4009	295	wed	151.9	0
2063	1951	169	thu	151.9	0
2582	3779	385	fri	149.9	0
1663	2368	119	sat	145.9	1
2302	3379	216	mon	145.9	0
2248	3549	274	tue	143.9	0
2712	3807	246	wed	143.9	0
2307	4009	230	thu	143.9	0
2576	3759	195	fri	143.9	0
1978	2378	435	sat	141.9	1
2116	4090	482	mon	141.9	0
2292	3241	567	tue	141.9	0
2373	3874	291	wed	139.9	0
2444	4142	447	thu	139.9	0
2578	3645	313	fri	139.9	0
1953	2419	241	sat	139.9	1
2151	3289	244	mon	139.9	0
2901	3872	251	tue	139.9	0
2514	4136	264	wed	139.9	0
2078	3626	38	thu	139.9	0
2492	4240	198	fri	139.9	0
1897	2415	167	sat	139.9	1
2072	3028	174	mon	139.9	0
2538	3731	316	tue	139.9	0
2422	3851	275	wed	139.9	0
2415	3818	217	thu	139.9	0
2969	4268	295	fri	139.9	0
1775	2514	301	sat	139.9	1
2082	3708	404	mon	139.9	0
2121	3367	302	tue	139.9	0
2471	3685	302	wed	139.9	0
2467	3415	275	thu	138.9	0
2671	4226	264	fri	138.9	0
1876	2061	38	sat	138.9	1
1976	3805	113	mon	138.9	0
2156	3427	193	tue	138.9	0
2339	3670	260	wed	138.9	0
2258	3939	272	thu	138.9	0
2776	3798	131	fri	138.9	0
2084	2668	288	sat	138.9	1
2346	3945	212	mon	138.9	0
2320	3787	250	tue	138.9	0
2539	3854	244	wed	138.9	0
2393	3598	205	thu	138.9	0
2629	3717	261	fri	138.9	0
2044	2536	197	sat	136.9	1
2018	401	125	mon	136.9	0
2350	2361	182	thu	136.9	0
2452	4005	361	fri	136.9	0
2041	2391	221	sat	136.9	1
2038	3129	20	mon	136.9	0
2181	3874	219	tue	136.9	0
2516	4072	284	wed	136.9	0
2181	3603	240	thu	136.9	0
2427	4173	287	fri	137.9	0
2111	3993	173	mon	137.9	0
2182	3153	172	tue	137.9	0
2794	3812	231	wed	136.9	0
1893	2369	185	fri	136.9	0
