Make/Model	MPG City	Weight (000 lbs)	Gallons/100 Miles
Acura_Integra	25	2.39	4
Acura_Legend	18	3.077	5.55555556
Audi_80	23	2.568	4.34782609
Audi_100	19	2.932	5.26315789
BMW_325i	18	2.855	5.55555556
BMW_525i	18	3.395	5.55555556
BMW_735i	14	3.835	7.14285714
Buick_Century	23	2.764	4.34782609
Buick_Electra	19	3.289	5.26315789
Buick_Estate	17	4.209	5.88235294
Buick_LeSabre	19	3.267	5.26315789
Buick_Reatta	19	3.394	5.26315789
Buick_Regal	20	3.144	5
Buick_Riviera	19	3.436	5.26315789
Buick_Skyhawk	25	2.469	4
Buick_Skylark	23	2.64	4.34782609
Cadillac_Allante	15	3.492	6.66666667
Cadillac_Brougham	17	4.19	5.88235294
Cadillac_Fleetwood	17	3.47	5.88235294
Cadillac_Seville	17	3.422	5.88235294
Chevrolet_Astro	17	3.084	5.88235294
Chevrolet_Camaro	16	3.083	6.25
Chevrolet_Caprice	17	3.693	5.88235294
Chevrolet_Cavalier	25	2.423	4
Chevrolet_Celebrity	23	2.751	4.34782609
Chevrolet_Corsica	24	2.595	4.16666667
Chevrolet_Corvette	17	3.229	5.88235294
Chrysler_Conquest	18	2.822	5.55555556
Chrysler_Fifth_Ave	16	3.556	6.25
Chrysler_LeBaron	24	2.659	4.16666667
Chrysler_New_Yorker	18	3.214	5.55555556
Daihatsu_Charade	38	1.775	2.63157895
Dodge_Aries	24	2.323	4.16666667
Dodge_Caravan	21	3.304	4.76190476
Dodge_Colt	27	2.195	3.7037037
Dodge_Colt	22	2.888	4.54545455
Dodge_Daytona	23	2.676	4.34782609
Dodge_Dynasty	22	3	4.54545455
Dodge_Lancer	24	2.643	4.16666667
Dodge_Omni	24	2.237	4.16666667
Dodge_Shadow	24	2.558	4.16666667
Dodge_Spirit	23	2.77	4.34782609
Eagle_Medallion	21	2.588	4.76190476
Eagle_Premier	22	2.862	4.54545455
Eagle_Summit	27	2.271	3.7037037
Ford_Aerostar	17		5.88235294
Ford_Escort	26	2.222	3.84615385
Ford_Festiva	30	1.713	3.33333333
Ford_LTD	17	3.779	5.88235294
Ford_Mustang	17	2.782	5.88235294
Ford_Probe	22	2.72	4.54545455
Ford_Taurus	21	2.982	4.76190476
Ford_Tempo	22	2.515	4.54545455
Ford_T-bird		3.542	
Geo_Metro		1.64	
Geo_Spectrum	31	1.989	3.22580645
Honda_Accord	23	2.482	4.34782609
Honda_Civic	27	2.039	3.7037037
Honda_CRX	29	1.819	3.44827586
Honda_Prelude	20	2.522	5
Hyundai_Excel	27	2.156	3.7037037
Isuzu_I-Mark	31	2.011	3.22580645
Isuzu_Impulse	20	2.727	5
Lincoln_Continental	19	3.628	5.26315789
Lincoln_Mark_VII	17	3.722	5.88235294
Lincoln_TownCar	17	4.051	5.88235294
Mazda_MPV	19	3.463	5.26315789
Mazda_RX-7	17	2.645	5.88235294
Mazda_323	24	2.175	4.16666667
Mazda_626	22	2.59	4.54545455
Mazda_929	19	3.373	5.26315789
Mercedes_S-Class	17	3.73	5.88235294
Mercedes_190	20	2.955	5
Mercedes_260	20	3.21	5
Mercury_Tracer	26	2.185	3.84615385
Merkur_Scorpio	17	3.23	5.88235294
Mitsubishi_Eclipse	26	2.524	3.84615385
Mitsubishi_Galant	22	2.601	4.54545455
Mitsubishi_Mirage	27	2.271	3.7037037
Mitsubishi_Sigma	18	3.075	5.55555556
Mitsubishi_Wagon	18	3.285	5.55555556
Nissan_Maxima	19	3.086	5.26315789
Nissan_Pulsar	24	2.388	4.16666667
Nissan_Sentra	26	2.231	3.84615385
Nissan_Stanza	21	2.77	4.76190476
Nissan_Van	18	3.33	5.55555556
Nissan_240SX	20	2.69	5
Nissan_300ZX	18	3.139	5.55555556
Oldsmobile_Cutlass	20	3.084	5
Oldsmobile_Toronado	19	3.361	5.26315789
Peugot_405	20	2.46	5
Plymouth_Laser	26	2.41	3.84615385
Pontiac_Grand_Am	23	2.592	4.34782609
Pontiac_Grand_Prix	20	3.167	5
Pontiac_LeMans	27	2.235	3.7037037
Pontiac_Sunbird	23	2.433	4.34782609
Saab_900	19	2.735	5.26315789
Saab_9000	18	3.022	5.55555556
Sterling_827	18	3.164	5.55555556
Subaru_Justy	34	1.745	2.94117647
Subaru_Sedan	25	2.24	4
Subaru_XT	23	2.455	4.34782609
Suzuki_Swift	25	1.768	4
Toyota_Camry	24	2.69	4.16666667
Toyota_Celica	26	2.436	3.84615385
Toyota_Corolla	27	2.207	3.7037037
Toyota_Cressida	19	3.417	5.26315789
Toyota_MR2	25	2.35	4
Toyota_Supra	18	3.459	5.55555556
Toyota_Tercel	28	2.025	3.57142857
Volkswagen_Fox	24	2.203	4.16666667
Volkswagen_Jetta	23	2.305	4.34782609
Volvo_240	19	2.919	5.26315789
Volvo_740	20	2.954	5
Yugo	28	1.832	3.57142857
New Design		4	
