Log Sales	Log Price	Sales	Price
3.76120012	0.40546511	43	1.5
2.48490665	1.36097655	12	3.9
2.7080502	1.33500107	15	3.8
3.29583687	0.64185389	27	1.9
2.07944154	1.43508453	8	4.2
2.48490665	1.41098697	12	4.1
3.29583687	0.99325177	27	2.7
2.83321334	0.78845736	17	2.2
4.11087386	0.64185389	61	1.9
2.99573227	1.30833282	20	3.7
4.55387689	0.26236426	95	1.3
3.49650756	0.47000363	33	1.6
2.94443898	1.09861229	19	3
2.7080502	1.33500107	15	3.8
3.76120012	0.40546511	43	1.5
2.39789527	1.13140211	11	3.1
2.99573227	1.25276297	20	3.5
3.58351894	1.06471074	36	2.9
1.94591015	1.41098697	7	4.1
2.19722458	1.19392247	9	3.3
3.04452244	1.06471074	21	2.9
3.21887582	1.02961942	25	2.8
3.36729583	0.95551145	29	2.6
2.89037176	0.83290912	18	2.3
1.79175947	1.41098697	6	4.1
1.94591015	1.43508453	7	4.2
2.7080502	1.22377543	15	3.4
3.13549422	0.53062825	23	1.7
3.93182563	0.47000363	51	1.6
4.53259949	0.53062825	93	1.7
3.93182563	0.40546511	51	1.5
2.63905733	1.43508453	14	4.2
3.71357207	0.53062825	41	1.7
2.07944154	1.36097655	8	3.9
4.73619845	0.40546511	114	1.5
3.55534806	1.09861229	35	3
2.89037176	0.91629073	18	2.5
2.19722458	1.33500107	9	3.8
3.8286414	0.83290912	46	2.3
2.83321334	0.91629073	17	2.5
3.76120012	0.58778666	43	1.8
4.14313473	0.26236426	63	1.3
2.07944154	1.41098697	8	4.1
3.52636052	0.74193734	34	2.1
4.97673374	0.33647224	145	1.4
2.89037176	1.06471074	18	2.9
3.68887945	0.78845736	40	2.2
2.83321334	1.19392247	17	3.3
2.83321334	1.30833282	17	3.7
2.48490665	1.43508453	12	4.2
