Name	County	House Price ($)	Crime Rate	Miles from Downtown	Population Change	1000/Crime
Abington	Montgome	140463	29.7	10	-1	33.6700337
Ambler	Montgome	113033	24.1	18	4	41.4937759
Aston	Delaware	124186	19.5	25	8	51.2820513
Bensalem	Bucks	110490	49.4	25	2.7	20.242915
Bristol B.	Bucks	79124	54.1	19	3.9	18.4842884
Bristol T.	Bucks	92634	48.6	20	0.6	20.5761317
Brookhaven	Delaware	89246	30.8	15	-2.6	32.4675325
Bryn Athyn	Montgome	195145	10.8	20	-3.5	92.5925926
Bryn Mawr	Montgome	297342	20.2	14	0.6	49.5049505
Buckingham	Bucks	264298	20.4	26	6	49.0196078
Chalfont	Bucks	134342	17.3	31	4.2	57.8034682
Charlestowne	Chester	284432		31	-2.1	
Cheltenham	Montgome	147600	50.3	9	-1	19.8807157
Clifton	Delaware	77370	34.2	10	-1.2	29.2397661
Collegeville	Montgome	170822	33.7	32	2.4	29.6735905
Collindale	Delaware	66803		12	-0.9	
Conshohocken	Montgome	92285		16	3.2	
Darby Bor.	Delaware	40642	45.7	15	0	21.8818381
Darby Town	Delaware	71359	22.3	8	1.6	44.8430493
Downingtown	Chester	104923	48.1	21	6.9	20.7900208
Doylestown	Bucks	190317	19.4	26	1.9	51.5463918
E. Bradford	Chester	215512	71.9	26	5.8	13.9082058
E. Goshen	Chester	178105	45.1	25	2.3	22.172949
E. Norriton	Montgome	131025	31.3	19	-1.8	31.9488818
E. Pikeland	Chester	149844	24.9	22	6.4	40.1606426
E. Whiteland	Chester	170556	27.2	30	4.6	36.7647059
Easttown	Chester	280969	17.7	14	2.9	56.4971751
Falls Town	Bucks	114233	29	30	1.3	34.4827586
Follcroft	Delaware	74502	21.4	15	-3.2	46.728972
Gladwyne	Montgome	475112	28.6	12		34.965035
Glenolden	Delaware	97167	29.3	10	0.2	34.1296928
Hatboro	Montgome	114572	17.5	20	5.2	57.1428571
Haverford	Delaware	436348	16.5	10	-0.7	60.6060606
Horsham	Montgome	389302	17.8	20	1.5	56.1797753
Jenkintown	Montgome	122392	17.3	10	1.9	57.8034682
L Southampton	Delaware	130436	31.2	17	-0.4	32.0512821
L. Gwynedd	Montgome	272790	14.5	20	-5.1	68.9655172
L. Makefield	Bucks	194435	15.7	32	15	63.6942675
L. Merion	Montgome	299621	28.6	10	1.4	34.965035
L. Moreland	Montgome	210884	20.8	20	0.1	48.0769231
Langhorn	Bucks	135525		23	15.5	
Langhorn M.	Bucks	150833		23	6.8	
Lansdale	Montgome	112471	29.3	35	3.4	34.1296928
Lansdown	Delaware	93738	19.3	7	-0.4	51.8134715
Limerick	Montgome	121024	39.5	35	26.9	25.3164557
Malvern	Chester	156035	13	23	6.3	76.9230769
Marple	Delaware	185404	24.1	10	0.9	41.4937759
Media	Delaware	126160	38	20	-2.4	26.3157895
Middletown	Delaware	179908		15	-1.1	
Middletown	Bucks	143072	40.1	23	1.6	24.9376559
Morrisville	Bucks	96769	36.1	15	5.1	27.700831
Morton	Delaware	94014	26.6	14	0.5	37.593985
N. Wales	Montgome	118214	25.1	25	5.7	39.8406375
Narberth	Montgome	157446	14.6	15	3.1	68.4931507
Nether	Delaware	150283	18.2	15	0.9	54.9450549
Newtown	Bucks	153842	15.3	23	8.5	65.3594771
Newtown B.	Bucks	197214	15.2	25	2.1	65.7894737
Newtown T.	Delaware	206127	17.4	15	2.7	57.4712644
Norristown	Montgome	71981	73.3	19	4.9	13.6425648
Northampton	Bucks	169401	7.1	22	1.5	140.84507
Norwood	Delaware	99843	12.5	12	-3.7	80
Perkiomen	Montgome	117530		42	10.3	
Phila, Far NE	Phila	60000	45.8	18	-1.4	21.8340611
Phila, N	Phila	28000	44.9	5.5	-8.4	22.2717149
Phila, NE	Phila	60000	65	9	-4.9	15.3846154
Phila, NW	Phila	61800	49.9	9	-6.4	20.0400802
Phila, SW	Phila	38000	54.8	4.5	-5.1	18.2481752
Phila, South	Phila	38000	53.5	2	-9.2	18.6915888
Phila, West	Phila	42000	69.9	4	-5.7	14.3061516
Phila,CC	Phila	96200	366.1	0	4.8	2.73149413
Phoenixville	Chester	103087	24.6	24	3.9	40.6504065
Plymouth	Montgome	147720	58.6	25	1.5	17.0648464
Pottstown	Montgome	78175	53.2	41	2.2	18.7969925
Prospect Park	Delaware	92215	17.4	14	7.8	57.4712644
Radnor	Delaware	271804	15.5	17	1.2	64.516129
Ridley Park	Delaware	119566	14.5	12	-2.9	68.9655172
Ridley Town	Delaware	100231	24.1	15	1.9	41.4937759
Rose Valley	Delaware	284833		18	-1.3	
Royersford	Montgome	95831	21.2	32	3.2	47.1698113
Rutledge	Delaware	123900		15	5.6	
Schuylkill	Chester	229711	9.8	22	5.3	102.040816
Sharon Hill	Delaware	74308	29.9	7	1.8	33.4448161
Solebury	Bucks	259506	7.2	40	17.4	138.888889
Springfield	Montgome	159573	19.4	15	-2.1	51.5463918
Springfield	Delaware	147176	41.1	12	-1.7	24.3309002
Swarthmore	Delaware	205732	11.2	12	-0.2	89.2857143
Tredyffin	Chester	215783	21.2	20	1.1	47.1698113
U. Chichester	Delaware	116710	42.8	20	12.9	23.364486
U. Makefield	Bucks	359112	9.4	36	4	106.382979
U. Merion	Montgome	189959	61.7	22	-2.1	16.2074554
U. Moreland	Montgome	133198	19.4	22	-2	51.5463918
U. Providence	Delaware	242821	6.6	21	1.6	151.515152
U. Southampton	Bucks	142811	15.9	20	-1.6	62.8930818
U. Uwchlan	Chester	200498	18.8	36	11	53.1914894
Upper Darby	Montgome	199065	13.2	20	7.8	75.7575758
Upper Darby	Delaware	93648	34.5	8	-0.7	28.9855072
Uwchlan T.	Chester	163001	22.1	50	8	45.2488688
Villanova	Montgome	436348	22.1	15	1.3	45.2488688
W. Chester	Chester	124478	71.9	22	4.6	13.9082058
W. Goshen	Chester	168276	31.9	26	5.9	31.3479624
W. Pikeland	Chester	276744		33	6.1	
W. Whiteland	Chester	114157	44.6	38	14.6	22.4215247
Warminster	Bucks	130088	28.6	19	-0.2	34.965035
Warrington	Bucks	152624	24	19	23.1	41.6666667
Westtown	Chester	174232	13.8	25	4.7	72.4637681
Whitemarsh	Montgome	196515	29.9	16	1.8	33.4448161
Whitpain	Montgome	247330		14	13.2	
Willistown	Chester	232714	9.9	21	0.2	101.010101
Wynnewood	Montgome	245920	22.6	10	0.3	44.2477876
Yardley	Bucks	130953	13	24	5.2	76.9230769
