Week	Sales Volume	Avg Price ($)	Log Sales Volume	Log Avg Price
1	61780.7856	0.99954485	11.0313477	-0.0004553
2	65434.9755	0.976245	11.0888122	-0.0240417
3	71924.2314	0.94352497	11.1833685	-0.0581325
4	83322.1749	0.92723133	11.33047	-0.0755522
5	63124.0687	0.98778114	11.0528574	-0.0122941
6	70469.1765	0.96871276	11.1629307	-0.0317871
7	68195.6712	0.98399164	11.1301364	-0.0161379
8	60715.1877	1.01187029	11.0139492	0.01180039
9	59866.8892	1.01765331	10.9998789	0.0174993
10	57471.8602	1.035682	10.9590507	0.03506015
11	56062.1932	1.04338895	10.9342169	0.04247402
12	54450.2809	1.05943789	10.9050433	0.05773848
13	54177.4584	1.07227476	10.9000202	0.06978233
14	51120.386	1.07332413	10.8419386	0.0707605
15	53068.0152	1.04479113	10.8793297	0.04381699
16	54875.844	1.04629422	10.9128285	0.0452546
17	64128.8796	0.99079895	11.0686501	-0.0092436
18	74369.3536	0.95464452	11.2167992	-0.0464162
19	71731.4939	0.9534932	11.1806852	-0.047623
20	69470.5089	0.95805815	11.1486576	-0.0428468
21	66879.0548	0.98329854	11.1106411	-0.0168425
22	55948.0274	1.02851134	10.9321785	0.02811246
23	57962.0495	1.03367061	10.9675438	0.03311617
24	66262.6562	0.99134036	11.1013818	-0.0086974
25	67922.2466	1.03856261	11.1261189	0.03783765
26	59661.6976	1.03061497	10.9964455	0.03015568
27	63050.2862	0.98068365	11.0516879	-0.0195053
28	72730.2516	0.96685581	11.1945127	-0.0337059
29	64574.224	0.97045466	11.0755706	-0.0299906
30	64149.3648	0.98515614	11.0689695	-0.0149551
31	59183.2598	1.02452313	10.988394	0.02422726
32	51964.3011	1.05143907	10.8583122	0.05015976
33	52615.7522	1.06538548	10.8707708	0.06333669
34	54013.7815	1.05983938	10.8969945	0.05811737
35	60574.4026	1.02283047	11.0116277	0.02257376
36	64057.5244	0.9890378	11.0675368	-0.0110227
37	64508.9699	0.98759522	11.0745596	-0.0124824
38	60551.1012	1.00227761	11.0112429	0.00227502
39	53407.1276	1.06150054	10.8856995	0.05968351
40	50121.3713	1.06396262	10.8222028	0.06200026
41	48961.1393	1.10052186	10.7987822	0.09578449
42	50609.8967	1.10936392	10.8319024	0.1037868
43	50289.7742	1.11270884	10.825557	0.10679744
44	48318.4505	1.11144941	10.7855688	0.10566494
45	43977.7434	1.10558498	10.691439	0.10037459
46	51794.064	1.1047516	10.8550308	0.09962051
47	51584.8496	1.1089854	10.8509833	0.10344555
48	47968.0281	1.1061318	10.77829	0.10086907
49	50423.8217	1.10220316	10.828219	0.09731105
50	48856.4767	1.10179746	10.7966422	0.0969429
51	52859.3474	1.08795024	10.8753898	0.08429542
52	46773.9534	1.14050722	10.7530818	0.13147309
53	50128.0143	1.09591153	10.8223353	0.09158646
54	60983.8245	1.0242093	11.0183639	0.0239209
55	55817.3754	1.02702609	10.9298405	0.02666734
56	62798.3079	1.01073569	11.0476834	0.01067847
57	60837.7015	1.0230745	11.015965	0.02281231
58	58590.4118	1.05183374	10.9783263	0.05053506
59	50781.8918	1.07196146	10.8352951	0.06949011
60	51595.5504	1.05313746	10.8511907	0.05177377
61	55280.6119	1.05719572	10.9201775	0.05561985
62	56620.1507	1.03401457	10.9441202	0.03344886
63	46169.4366	1.08776714	10.7400733	0.0841271
64	53472.4147	1.1182971	10.8869212	0.11180708
65	46947.0236	1.11363245	10.7567751	0.10762715
66	43808.6967	1.14042806	10.6875876	0.13140368
67	43332.4813	1.17822706	10.6766578	0.16401082
68	41702.9746	1.21205817	10.6383277	0.19231988
69	39761.9203	1.22251157	10.590665	0.20090741
70	35416.3755	1.29343883	10.4749296	0.25730443
71	29987.0166	1.31291693	10.3085198	0.27225132
72	26582.4322	1.31980626	10.1880058	0.27748496
73	38515.9952	1.22226336	10.5588289	0.20070435
74	47190.5243	1.1182627	10.7619484	0.11177632
75	50067.5867	1.11439079	10.8211291	0.10830788
76	49858.0685	1.10212552	10.8169356	0.0972406
77	46546.9815	1.10745555	10.7482174	0.10206508
78	35538.9888	1.25274655	10.4783856	0.22533838
79	34369.6103	1.26220405	10.444928	0.23285944
80	35788.1789	1.26510739	10.4853729	0.23515701
81	33090.5414	1.25971177	10.4070028	0.23088294
82	32265.9813	1.26819268	10.3817687	0.2375928
83	34301.148	1.27849287	10.4429341	0.24568194
84	37605.106	1.27373645	10.5348951	0.24195466
85	33063.9055	1.28732591	10.4061975	0.25256713
86	35483.5958	1.32437463	10.4768258	0.28094037
87	37245.9165	1.33590868	10.5252976	0.28961172
88	31492.7716	1.32029532	10.3575133	0.27785544
89	35508.8191	1.25844551	10.4775364	0.22987723
90	43702.2426	1.14447973	10.6851547	0.13495015
91	44603.9648	1.1621472	10.705578	0.15026933
92	40973.4193	1.1795728	10.6206788	0.16515234
93	41945.874	1.15995924	10.6441354	0.14838487
94	43014.762	1.20658383	10.6692986	0.18779308
95	39813.7446	1.21016974	10.5919675	0.19076063
96	47725.4366	1.22230778	10.7732198	0.20074069
97	33834.6362	1.26375513	10.4292403	0.23408755
98	39020.6873	1.30928127	10.5718472	0.26947834
99	30232.6273	1.3288243	10.316677	0.28429456
100	28854.8499	1.3173828	10.2700334	0.27564704
101	151498.358	0.69647934	11.9283301	-0.3617172
102	116579.393	0.79925411	11.6663278	-0.2240763
103	75886.1553	0.91534747	11.2369895	-0.0884515
104	61498.0688	1.00850171	11.0267611	0.00846578
