Date	Net Income	Log Op Income
1990.125	60	4.09434456
1990.375	59	4.07753744
1990.625	58	4.06044301
1990.875	235	5.45958551
1991.125	34	3.52636052
1991.375	40	3.68887945
1991.625	35	3.55534806
1991.875	192	5.25749537
1992.125	35	3.55534806
1992.375	42	3.73766962
1992.625	57	4.04305127
1992.875	249	5.5174529
1993.125	30	3.40119738
1993.375	24	3.17805383
1993.625	43	3.76120012
1993.875	278	5.62762111
1994.125	39	3.66356165
1994.375	49	3.8918203
1994.625	67	4.20469262
1994.875	279	5.63121178
1995.125	11	2.39789527
1995.375	28	3.33220451
1995.625	44	3.78418963
1995.875	228	5.42934563
1996.125	41	3.71357207
1996.375	100	4.60517019
1996.625	108	4.68213123
1996.875	214	5.36597602
1997.125	105	4.65396035
1997.375	130	4.86753445
1997.625	160	5.07517382
1997.875	356	5.87493073
1998.125	158	5.06259503
1998.375	172	5.14749448
1998.625	182	5.20400669
1998.875	423	6.04737218
1999.125	194	5.26785816
1999.375	224	5.41164605
1999.625	232	5.44673737
1999.875	494	6.20253552
2000.125	239	5.47646355
2000.375	258	5.55295958
2000.625	215	5.37063803
2000.875	552	6.31354805
2001.125	254	5.53733427
2001.375	271	5.60211882
2001.625	185	5.22035583
2001.875	658	6.48920493
2002.125	345	5.84354442
2002.375	344	5.84064166
2002.625	277	5.62401751
2002.875	688	6.53378884
2003.125	349	5.85507192
2003.375	358	5.88053299
2003.625	279	5.63121178
2003.875	823	6.7129562
2004.125	432	6.06842559
2004.375	410	6.01615716
2004.625	531	6.27476202
2004.875	825	6.71538339
2005.125	494	6.20253552
2005.375	540	6.29156914
2005.625	435	6.07534603
2005.875	939	6.84481548
2006.125	554	6.31716469
2006.375	608	6.41017488
2006.625	506	6.22653667
2006.875	1119	7.02019071
2007.125	651	6.47850964
2007.375	686	6.53087763
2007.625	484	6.18208491
2007.875	1028	6.93537045
2008.125	602	6.40025745
2008.375	635	6.453625
2008.625	368	5.90808294
2008.875	609	6.41181827
2009.125	522	6.25766759
2009.375	594	6.38687932
2009.625	436	6.07764224
2009.875	936	6.84161548
2010.125	671	6.50876914
2010.375	679	6.52062113
2010.625	535	6.28226675
2010.875	1035	6.94215671
2011.125	689	6.53524127
2011.375	704	6.55677836
2011.625	555	6.31896811
2011.875	981	6.88857246
