DATE	Price	Berkshire Stock Return	Market Return	Risk Free Return	Excess Stock Return	Excess Market Return
19800131	-345	0.045455	0.065607	0.007968	0.037487	0.057639
19800229	-345	0	0.001015	0.010654	-0.010654	-0.009639
19800331	-270	-0.217391	-0.120224	0.012009	-0.2294	-0.132233
19800430	-290	0.074074	0.052288	0.012865	0.061209	0.039423
19800530	-330	0.137931	0.06009	0.007883	0.130048	0.052207
19800630	-310	-0.060606	0.037714	0.006312	-0.066918	0.031402
19800731	-350	0.129032	0.069438	0.005281	0.123751	0.064157
19800829	-385	0.1	0.023553	0.005973	0.094027	0.01758
19800930	-392.5	0.019481	0.029498	0.008698	0.010783	0.0208
19801031	-422.5	0.076433	0.020093	0.008912	0.067521	0.011181
19801128	-442.5	0.047337	0.104951	0.008895	0.038442	0.096056
19801231	-432.5	-0.022599	-0.034409	0.014149	-0.036748	-0.048558
19810130	-440	0.017341	-0.040085	0.009957	0.007384	-0.050042
19810227	-492.5	0.119318	0.015521	0.010685	0.108633	0.004836
19810331	-490	-0.005076	0.046184	0.013157	-0.018233	0.033027
19810430	-525	0.071429	-0.011268	0.010756	0.060673	-0.022024
19810529	-530	0.009524	0.013551	0.010646	-0.001122	0.002905
19810630	-517.5	-0.023585	-0.010242	0.015158	-0.038743	-0.0254
19810731	-492.5	-0.048309	-0.00308	0.011915	-0.060224	-0.014995
19810831	-492.5	0	-0.056279	0.012804	-0.012804	-0.069083
19810930	-470	-0.045685	-0.063772	0.012794	-0.058479	-0.076566
19811030	-515	0.095745	0.060162	0.011685	0.08406	0.048477
19811130	-590	0.145631	0.045849	0.01103	0.134601	0.034819
19811231	-565	-0.042373	-0.028096	0.008738	-0.051111	-0.036834
19820129	-517.5	-0.084071	-0.026209	0.007306	-0.091377	-0.033515
19820226	-522.5	0.009662	-0.051126	0.009176	0.000486	-0.060302
19820331	-487.5	-0.066986	-0.010099	0.011077	-0.078063	-0.021176
19820430	-517.5	0.061538	0.043267	0.01129	0.050248	0.031977
19820528	-512.5	-0.009662	-0.028212	0.009592	-0.019254	-0.037804
19820630	-505	-0.014634	-0.023912	0.01071	-0.025344	-0.034622
19820730	-482.5	-0.044554	-0.020526	0.01021	-0.054764	-0.030736
19820831	-492.5	0.020725	0.119013	0.008342	0.012383	0.110671
19820930	-557.5	0.13198	0.016761	0.005118	0.126862	0.011643
19821029	-622.5	0.116592	0.118636	0.005475	0.111117	0.113161
19821130	-697.5	0.120482	0.051935	0.007201	0.113281	0.044734
19821231	-782.5	0.121864	0.014516	0.006289	0.115575	0.008227
19830131	-772.5	-0.01278	0.04185	0.006864	-0.019644	0.034986
19830228	-840	0.087379	0.030218	0.006186	0.081193	0.024032
19830331	-975	0.160714	0.034673	0.006326	0.154388	0.028347
19830429	-982.5	0.007692	0.074188	0.006918	0.000774	0.06727
19830531	-995	0.012723	0.013224	0.007584	0.005139	0.00564
19830630	-920	-0.075377	0.037837	0.006661	-0.082038	0.031176
19830729	-957.5	0.040761	-0.031567	0.006917	0.033844	-0.038484
19830831	-1030	0.075718	0.003464	0.008342	0.067376	-0.004878
19830930	1245	0.208738	0.016059	0.007607	0.201131	0.008452
19831031	1310	0.052209	-0.028049	0.007433	0.044776	-0.035482
19831130	-1365	0.041985	0.029556	0.007199	0.034786	0.022357
19831230	-1325	-0.029304	-0.010464	0.007039	-0.036343	-0.017503
