Year	Days of Effort	Dungeness Weight (000 lbs)
1980	3069	498.24412
1981	3010	526.022332
1982	4279	605.16819
1983	4448	526.683718
1984	3883	535.943122
1985	6266	786.828878
1986	7421	924.617628
1987	8156	1285.73438
1988	4354	679.243422
1989	4709	648.599204
1990	5366	765.664526
1991	5315	782.6401
1992	6249	1115.0968
1993	4393	658.740456
1994	4475	848.558238
1995	3589	566.146416
1996	4171	600.75895
1997	5582	1037.27371
1998	5936	1084.45258
1999	4459	569.453346
2000	6932	1014.56612
2001	8415	1411.17726
2002	8292	1126.1199
2003	9173	1584.46039
2004	6853	1253.10601
2005	3918	766.987298
2006	4297	549.611766
2007	3819	584.2243
