Date	Apple Price	Stock Return	Market Return
19900102	37.25	0.056738	0.014433
19900103	37.5	0.006711	0.000022
19900104	37.625	0.003333	-0.006487
19900105	37.75	0.003322	-0.007631
19900108	38	0.006623	0.003075
19900109	37.625	-0.009868	-0.009269
19900110	36	-0.043189	-0.006844
19900111	34.5	-0.041667	0.002619
19900112	34.5	0	-0.022551
19900115	34.25	-0.007246	-0.008903
19900116	34.875	0.018248	0.008723
19900117	33.25	-0.046595	-0.006947
19900118	32.375	-0.026316	0.000333
19900119	34.25	0.057915	0.00315
19900122	33.25	-0.029197	-0.022215
19900123	33.75	0.015038	-0.000081
19900124	34	0.007407	-0.004775
19900125	34.125	0.003676	-0.009854
19900126	32.75	-0.040293	-0.003405
19900129	33.25	0.015267	-0.002978
19900130	34	0.022556	-0.008592
19900131	34	0	0.016311
19900201	33.625	-0.011029	0.001098
19900202	34.25	0.018587	0.007203
19900205	35	0.021898	0.004264
19900206	34.75	-0.007143	-0.004796
19900207	33.25	-0.043165	0.010518
19900208	33	-0.007519	-0.000555
19900209	34.25	0.037879	0.002516
19900212	34	-0.007299	-0.008743
19900213	34.5	0.014706	0.001495
19900214	34.25	-0.007246	0.00207
19900215	34.25	0	0.007678
19900216	33.75	-0.011387	-0.004366
19900220	33.5	-0.007407	-0.012805
19900221	34	0.014925	-0.001964
19900222	33	-0.029412	-0.003193
19900223	33.25	0.007576	-0.00544
19900226	34	0.022556	0.009421
19900227	33.5	-0.014706	0.005183
19900228	34	0.014925	0.0056
19900301	34.25	0.007353	0.00296
19900302	33.75	-0.014599	0.008011
19900305	34.5	0.022222	-0.003228
19900306	35.25	0.021739	0.010611
19900307	35.375	0.003546	-0.001645
19900308	36.75	0.038869	0.008561
19900309	36.875	0.003401	-0.004732
19900312	36.625	-0.00678	0.001731
19900313	36.875	0.006826	-0.006391
19900314	36.75	-0.00339	0.00262
19900315	36.75	0	0.002671
19900316	40.25	0.095238	0.008938
19900319	42.375	0.052795	0.00392
19900320	41.375	-0.023599	-0.005081
19900321	41.625	0.006042	-0.004066
19900322	40.75	-0.021021	-0.011574
19900323	42.25	0.03681	0.00446
19900326	42.25	0	0.00173
19900327	42	-0.005917	0.007774
19900328	41.25	-0.017857	0.001339
19900329	41.125	-0.00303	-0.00304
19900330	40.25	-0.021277	-0.001393
19900402	40.25	0	-0.004029
19900403	41.75	0.037267	0.012721
19900404	41.25	-0.011976	-0.005989
19900405	40.25	-0.024242	-0.000996
19900406	39.875	-0.009317	-0.002248
19900409	41.125	0.031348	0.002046
19900410	41.25	0.00304	0.001632
19900411	42.5	0.030303	-0.000101
19900412	43.25	0.017647	0.00681
19900416	43.75	0.011561	0.000896
19900417	43.25	-0.011429	-0.000705
19900418	43.25	0	-0.010032
19900419	40.25	-0.069364	-0.007279
19900420	40.25	0	-0.008565
19900423	39.75	-0.012422	-0.010963
19900424	38.75	-0.025157	-0.002231
19900425	38.75	0	0.004541
19900426	38.875	0.003226	0.002074
19900427	39.125	0.006431	-0.010253
19900430	39.375	0.00639	0.004452
19900501	39.625	0.006349	0.004264
19900502	39.75	0.003155	0.005667
19900503	40	0.006289	0.003563
19900504	40	0	0.007832
19900507	41.5	0.0375	0.005966
19900508	41.75	0.006024	0.003826
19900509	41.875	0.002994	0.001409
