Name	Company	Total Compensation  ($Million)	Log10 Total Compensation	Net Sales ($ Million)	Log10 Net Sales
Kenneth Chenault	AMERICAN EXPRESS	17.404796	7.24066894	26578	10.4245223
Daniel Amos	AFLAC INC	14.796547	7.17016038	11447	10.0586917
Maurice Greenberg	AMERICAN INTERNATIONAL GROUP			81303	10.9101066
C. Ritter	AMSOUTH BANCORPORATION	5.908816	6.77150047	2942.229	9.46867647
James Dimon	BANK ONE CORP	23.260506	7.36661916	20724	10.3164736
Richard Carrion	POPULAR INC	0.636913	5.80408011	2660.248	9.42492213
Michael O'Neill	BANK OF HAWAII CORP	2.857617	6.45600402	641.241	8.80702128
Thomas Renyi	BANK OF NEW YORK CO INC	18.954164	7.27770463	6336	9.80181517
Warren Buffett	BERKSHIRE HATHAWAY  -CL A	0.308	5.48855072	63859	10.8052221
Stephen Lilienthal	CNA FINANCIAL CORP	3.628276	6.55970032	11716	10.0687794
Norimichi Kanari	UNIONBANCAL CORP	0.544427	5.73593966	2563.916	9.40890379
Joseph Saunders	PROVIDIAN FINANCIAL CORP	9.764383	6.98964481	2781.408	9.4442647
D. Jones Jr.	COMPASS BANCSHARES INC	5.261321	6.7210948	1801.343	9.25559642
John Finnegan	CHUBB CORP	7.177614	6.8559801	11461	10.0592225
Russell Goldsmith	CITY NATIONAL CORP	3.635494	6.56056343	752.95	8.87676614
Patrick Ryan	AON CORP	6.568073	6.81743797	9810	9.99166901
Ralph Babb, Jr.	COMERICA INC.	3.649291	6.5622085	3299	9.51838232
Sanford Weill	CITIGROUP INC	54.768456	7.7385305	94713	10.9764096
Angelo Mozilo	COUNTRYWIDE FINANCIAL CORP	35.342144	7.54829289	13469.264	10.1293439
Richard Evans, Jr.	CULLEN/FROST BANKERS INC	2.269443	6.35591928	584.307	8.76664109
Daniel Rosenthal	DOWNEY FINANCIAL CORP	0.7592	5.8803562	610.541	8.78571483
Robert Bagby	EDWARDS (A G) INC	1.639499	6.21471116	2498.874	9.39774436
George Schaefer, Jr.	FIFTH THIRD BANCORP	6.673872	6.82437787	6473.896	9.81116572
Carl Jones, Jr.	REGIONS FINL CORP	3.810347	6.58096453	3617.887	9.558455
John Cochran	FIRSTMERIT CORP	1.368712	6.13631207	777.415	8.89065292
Robert Wilmers	M & T BANK CORP	0.944245	5.97508469	2957.66	9.47094825
Jerry Grundhofer	U S BANCORP	14.010747	7.14646129	14571	10.1634894
J. Glass	FIRST HORIZON NATIONAL CORP	6.106011	6.78575758	2670.886	9.42665535
G. Thompson	WACHOVIA CORP	15.52979	7.19116558	24474	10.388705
Charles Gifford	FLEETBOSTON FINANCIAL CORP	11.015304	7.04199649	14311	10.15567
Charles Johnson	FRANKLIN RESOURCES INC	2.677109	6.42766605	2665.464	9.42577282
