Calendar Date	Date	Subscriber Connections (millions)	Residuals Subscriber Connections (millions)
30-Jun-97	1997.5	48.705553	11.16384125
31-Dec-97	1998	55.312293	7.713115635
30-Jun-98	1998.5	60.831431	3.174788021
31-Dec-98	1999	69.209321	1.495212407
30-Jun-99	1999.5	76.284753	-1.486821207
31-Dec-99	2000	86.047003	-1.782036821
30-Jun-00	2000.5	97.035925	-0.850580434
31-Dec-00	2001	109.478031	1.534059952
30-Jun-01	2001.5	118.397734	0.396297338
31-Dec-01	2002	128.374512	0.315609724
30-Jun-02	2002.5	134.56137	-3.55499789
31-Dec-02	2003	140.766842	-7.406991503
30-Jun-03	2003.5	148.065824	-10.16547512
31-Dec-03	2004	158.721981	-9.566783731
30-Jun-04	2004.5	169.467393	-8.878837345
31-Dec-04	2005	182.140362	-6.263333959
30-Jun-05	2005.5	194.479364	-3.981797572
31-Dec-05	2006	207.896198	-0.622429186
30-Jun-06	2006.5	219.420457	0.8443642
31-Dec-06	2007	233.040781	4.407222586
30-Jun-07	2007.5	243.428202	4.737177972
31-Dec-07	2008	255.395599	6.647109359
30-Jun-08	2008.5	262.720165	3.914209745
31-Dec-08	2009	270.333881	1.470460131
30-Jun-09	2009.5	276.61058	-2.310306483
31-Dec-09	2010	290.941191	1.962838904
30-Jun-10	2010.5	300.520098	1.48428029
31-Dec-10	2011	310.996629	1.903345676
30-Jun-11	2011.5	322.857207	3.706458062
	2012		
