Date	non-farm payroll (000)	Pct Change Payrolls	Total Capacity Utilization	Residual Pct Change Payrolls
1/1/1990	109147	0.310636069	82.5	0.14327138
2/1/1990	109396	0.228132702	83	0.045737905
3/1/1990	109610	0.195619584	83.3	0.004206722
4/1/1990	109650	0.036493021	83	-0.145901776
5/1/1990	109800	0.136798906	83	-0.045595892
6/1/1990	109817	0.015482696	83.1	-0.169918123
7/1/1990	109777	-0.036424233	82.9	-0.215813009
8/1/1990	109569	-0.189475027	82.9	-0.368863802
9/1/1990	109484	-0.077576687	83	-0.259971484
10/1/1990	109325	-0.1452267	82.2	-0.303573324
11/1/1990	109179	-0.133546764	81.1	-0.25882715
12/1/1990	109120	-0.054039696	80.4	-0.158277931
1/1/1991	108998	-0.111803519	79.9	-0.201011646
2/1/1991	108696	-0.277069304	79.3	-0.348241301
3/1/1991	108535	-0.148119526	78.8	-0.204261415
4/1/1991	108323	-0.195328696	78.8	-0.251470585
5/1/1991	108196	-0.117241952	79.5	-0.194425992
6/1/1991	108284	0.081333876	80.2	-0.016892316
7/1/1991	108236	-0.044327879	80.1	-0.139548049
8/1/1991	108253	0.015706419	80.1	-0.079513751
9/1/1991	108285	0.029560382	80.7	-0.083695918
10/1/1991	108297	0.011081867	80.5	-0.096162389
11/1/1991	108239	-0.053556424	80.3	-0.154788637
12/1/1991	108262	0.021249272	79.9	-0.067958854
1/1/1992	108312	0.046184257	79.3	-0.02498774
2/1/1992	108246	-0.060935076	79.8	-0.147137182
3/1/1992	108298	0.048038727	80.3	-0.053193487
4/1/1992	108455	0.14497036	80.7	0.03171406
5/1/1992	108581	0.116177216	80.8	-0.000085105
6/1/1992	108641	0.055258286	80.7	-0.057998013
7/1/1992	108711	0.064432397	81.2	-0.063854011
8/1/1992	108852	0.129701686	80.6	0.019451408
9/1/1992	108887	0.03215375	80.6	-0.078096528
10/1/1992	109065	0.163472224	81	0.041197859
11/1/1992	109204	0.127446935	81.2	-0.000839473
12/1/1992	109416	0.194132083	81	0.071857719
1/1/1993	109726	0.283322366	81.3	0.152029937
2/1/1993	109968	0.220549368	81.4	0.086250917
3/1/1993	109917	-0.046377128	81.3	-0.177669557
4/1/1993	110225	0.280211432	81.4	0.145912981
5/1/1993	110490	0.240417328	81	0.118142964
6/1/1993	110664	0.157480315	81.1	0.032199929
7/1/1993	110959	0.266572689	81.2	0.138286281
8/1/1993	111119	0.144197406	81.1	0.01891702
9/1/1993	111358	0.215084729	81.4	0.080786278
10/1/1993	111636	0.249645288	81.8	0.103322751
11/1/1993	111897	0.23379555	82	0.081460969
12/1/1993	112204	0.274359456	82.3	0.11300681
1/1/1994	112474	0.240633133	82.5	0.073268444
2/1/1994	112675	0.178707968	82.3	0.017355322
3/1/1994	113137	0.410028844	83	0.227634047
4/1/1994	113490	0.312011102	83.2	0.123604261
5/1/1994	113823	0.293417922	83.4	0.098999039
6/1/1994	114136	0.274988359	83.7	0.071551411
7/1/1994	114500	0.318917782	83.6	0.118486855
8/1/1994	114798	0.260262009	83.8	0.053819039
9/1/1994	115153	0.309238837	83.8	0.102795867
10/1/1994	115361	0.18062925	84.2	-0.037837807
11/1/1994	115783	0.365808202	84.4	0.141329102
12/1/1994	116055	0.234922225	85	-0.007593005
1/1/1995	116377	0.277454655	85	0.034939425
2/1/1995	116587	0.180448027	84.6	-0.050043117
3/1/1995	116810	0.19127347	84.5	-0.036211652
4/1/1995	116970	0.136974574	84.1	-0.078486461
5/1/1995	116954	-0.013678721	84	-0.226133735
6/1/1995	117186	0.198368589	84	-0.014086424
7/1/1995	117265	0.067414196	83.4	-0.127004687
8/1/1995	117537	0.231953268	84.1	0.016492233
9/1/1995	117781	0.207594204	84.1	-0.007866831
10/1/1995	117927	0.123958873	83.6	-0.076472054
11/1/1995	118076	0.126349352	83.5	-0.071075554
12/1/1995	118208	0.111792405	83.4	-0.082626479
1/1/1996	118187	-0.017765295	82.5	-0.185129984
2/1/1996	118621	0.367214668	83.5	0.169789763
3/1/1996	118885	0.222557557	83	0.04016276
4/1/1996	119045	0.134583842	83.4	-0.059835042
5/1/1996	119368	0.271325969	83.6	0.070895042
6/1/1996	119647	0.233730983	84	0.02127597
7/1/1996	119879	0.193903734	83.5	-0.003521172
8/1/1996	120076	0.164332369	83.6	-0.036098558
9/1/1996	120295	0.18238449	83.7	-0.021052459
10/1/1996	120538	0.202003408	83.3	0.010590546
11/1/1996	120834	0.245565714	83.6	0.045134787
12/1/1996	121002	0.139033716	83.7	-0.064403233
1/1/1997	121233	0.190905935	83.4	-0.003512948
2/1/1997	121532	0.246632518	83.9	0.037183526
3/1/1997	121845	0.257545338	84.2	0.039078281
4/1/1997	122135	0.238007304	83.8	0.031564334
5/1/1997	122391	0.209604127	83.9	0.000155135
6/1/1997	122646	0.208348653	83.8	0.001905683
7/1/1997	122927	0.229114688	83.9	0.019665696
8/1/1997	122911	-0.013015855	84.5	-0.240500977
9/1/1997	123418	0.412493593	84.7	0.178996428
10/1/1997	123757	0.274676303	84.7	0.041179138
11/1/1997	124057	0.24241053	84.9	0.002901322
12/1/1997	124357	0.241824323	84.7	0.008327158
1/1/1998	124630	0.219529259	84.5	-0.007955863
2/1/1998	124818	0.150846506	84	-0.061608508
3/1/1998	124962	0.115367976	83.5	-0.08205693
4/1/1998	125240	0.22246763	83.3	0.031054768
5/1/1998	125639	0.31858831	83.3	0.127175448
6/1/1998	125851	0.168737414	82.4	0.004378747
7/1/1998	125969	0.093761671	81.5	-0.043542802
8/1/1998	126322	0.280227675	82.8	0.103844921
9/1/1998	126541	0.173366476	82.1	0.018025874
10/1/1998	126735	0.153309994	82.4	-0.011048673
11/1/1998	127015	0.220933444	81.9	0.071604885
12/1/1998	127359	0.270834153	81.8	0.124511616
1/1/1999	127486	0.09971812	81.8	-0.046604418
2/1/1999	127890	0.316897542	81.8	0.170575004
3/1/1999	127996	0.082883728	81.6	-0.057426766
4/1/1999	128370	0.292196631	81.5	0.154892158
5/1/1999	128584	0.166705617	81.8	0.020383079
6/1/1999	128850	0.206868662	81.4	0.072570211
7/1/1999	129140	0.225067908	81.6	0.084757414
8/1/1999	129333	0.149450209	81.7	0.006133693
9/1/1999	129537	0.157732365	81.1	0.032451979
10/1/1999	129942	0.312651984	81.9	0.163323424
11/1/1999	130235	0.225485217	82	0.073150636
12/1/1999	130533	0.228817138	82.3	0.067464493
1/1/2000	130781	0.189990271	82.1	0.034649668
2/1/2000	130903	0.093285722	82.1	-0.062054881
3/1/2000	131374	0.359808408	82.2	0.201461784
4/1/2000	131662	0.219221459	82.4	0.054862792
5/1/2000	131886	0.170132612	82.2	0.011785988
6/1/2000	131839	-0.035636838	82	-0.187971419
7/1/2000	132004	0.125152648	81.6	-0.015157846
8/1/2000	132005	0.000757553	81.1	-0.124522833
9/1/2000	132130	0.094693383	81.2	-0.033593025
10/1/2000	132118	-0.009081965	80.6	-0.119332243
11/1/2000	132345	0.171816104	80.4	0.067577869
12/1/2000	132481	0.102761721	79.9	0.013553595
1/1/2001	132466	-0.011322378	79.1	-0.076482332
2/1/2001	132529	0.047559374	78.4	0.003441572
3/1/2001	132501	-0.021127451	77.9	-0.050215145
4/1/2001	132219	-0.212828582	77.5	-0.22989219
5/1/2001	132175	-0.033278122	76.8	-0.029299578
6/1/2001	132047	-0.096841309	76.1	-0.071820614
7/1/2001	131922	-0.094663264	75.6	-0.054612461
8/1/2001	131767	-0.117493671	75.2	-0.065418781
9/1/2001	131524	-0.184416432	74.8	-0.120317456
10/1/2001	131193	-0.251665095	74.2	-0.169529989
11/1/2001	130898	-0.224859558	73.7	-0.127694344
12/1/2001	130720	-0.135983743	73.6	-0.035812507
1/1/2002	130591	-0.098684211	73.9	-0.00753104
2/1/2002	130445	-0.111799435	73.8	-0.017640242
3/1/2002	130421	-0.018398559	74.2	0.063736547
4/1/2002	130337	-0.064406806	74.5	0.008710236
5/1/2002	130328	-0.006905177	74.8	0.0571938
6/1/2002	130375	0.036062857	75.5	0.079119682
7/1/2002	130275	-0.076701822	75.2	-0.024626932
8/1/2002	130264	-0.008443677	75.3	0.040625191
9/1/2002	130209	-0.042221949	75.4	0.003840897
10/1/2002	130330	0.092927524	75.1	0.148008436
11/1/2002	130338	0.006138264	75.5	0.049195089
12/1/2002	130175	-0.125059461	75.2	-0.072984571
1/1/2003	130270	0.072978683	75.8	0.107017443
2/1/2003	130111	-0.122054195	76.1	-0.0970335
3/1/2003	129898	-0.163706374	76	-0.135679657
4/1/2003	129849	-0.037721905	75.4	0.008340942
5/1/2003	129840	-0.006931128	75.5	0.036125697
6/1/2003	129840	0	75.5	0.043056825
7/1/2003	129865	0.019254467	75.8	0.053293227
8/1/2003	129820	-0.034651369	75.7	0.002393413
9/1/2003	129929	0.08396241	76.2	0.105977083
10/1/2003	130126	0.15162127	76.2	0.173635944
11/1/2003	130140	0.010758803	76.8	0.014737347
12/1/2003	130259	0.091439988	76.8	0.095418532
1/1/2004	130421	0.124367606	77	0.122334107
2/1/2004	130465	0.033736898	77.4	0.019679312
3/1/2004	130802	0.258306826	77	0.256273326
4/1/2004	131051	0.190364062	77.3	0.179312497
5/1/2004	131361	0.23654913	77.9	0.207461436
6/1/2004	131442	0.061662137	77.2	0.053616594
7/1/2004	131488	0.034996424	77.8	0.008914752
8/1/2004	131610	0.092784132	78	0.060690417
9/1/2004	131771	0.12233113	78	0.090237414
10/1/2004	132119	0.264094528	78.7	0.210958661
11/1/2004	132182	0.047684285	78.9	-0.011463626
12/1/2004	132316	0.101375376	79.4	0.027197358
1/1/2005	132453	0.10354001	79.7	0.020343927
2/1/2005	132693	0.181196349	80.2	0.082970157
3/1/2005	132834	0.106260315	80.1	0.011040145
4/1/2005	133194	0.271014951	80	0.178800803
5/1/2005	133364	0.127633377	80.1	0.032413207
6/1/2005	133607	0.182208092	80.3	0.080975879
7/1/2005	133981	0.279925453	80.1	0.184705283
8/1/2005	134174	0.144050276	80.1	0.048830106
9/1/2005	134240	0.049189858	78.4	0.005072056
10/1/2005	134320	0.059594756	79.3	-0.011577241
11/1/2005	134654	0.248659917	79.9	0.15945179
12/1/2005	134814	0.118823058	80.3	0.017590844
1/1/2006	135097	0.209918851	80.3	0.108686638
2/1/2006	135413	0.233906008	80.3	0.132673795
3/1/2006	135696	0.208990274	80.4	0.104752039
4/1/2006	135877	0.133386393	80.6	0.023136115
5/1/2006	135891	0.010303436	80.4	-0.093934799
6/1/2006	135967	0.055927177	80.5	-0.05131708
7/1/2006	136176	0.153713769	80.5	0.046469512
8/1/2006	136359	0.134384914	80.5	0.027140657
9/1/2006	136516	0.115137248	80.2	0.016911056
10/1/2006	136507	-0.006592634	79.9	-0.095800761
11/1/2006	136711	0.149442886	79.7	0.066246802
12/1/2006	136882	0.125081376	80.3	0.023849163
1/1/2007	137118	0.172411274	79.8	0.086209169
2/1/2007	137211	0.067824793	80.5	-0.039419463
3/1/2007	137401	0.138472863	80.3	0.03724065
4/1/2007	137473	0.052401365	80.8	-0.063860956
5/1/2007	137612	0.101110764	80.6	-0.009139515
6/1/2007	137687	0.054501061	80.4	-0.049737174
7/1/2007	137647	-0.029051399	80.4	-0.133289634
8/1/2007	137629	-0.013076929	80.3	-0.114309142
9/1/2007	137702	0.053041147	80.6	-0.057209131
10/1/2007	137781	0.057370263	80.1	-0.037849907
11/1/2007	137893	0.081288422	80.5	-0.025955835
12/1/2007	137982	0.064542798	80.6	-0.04570748
1/1/2008	138023	0.029714021	80.4	-0.074524214
2/1/2008	137939	-0.060859422	80.3	-0.162091635
3/1/2008	137844	-0.068871023	80.1	-0.164091193
4/1/2008	137636	-0.150895215	79.5	-0.228079255
5/1/2008	137446	-0.138045279	79.1	-0.203205233
6/1/2008	137248	-0.144056575	78.9	-0.203204485
7/1/2008	137038	-0.153007694	78.6	-0.20313754
8/1/2008	136764	-0.199944541	77.2	-0.207990084
9/1/2008	136332	-0.315872598	74	-0.227725449
10/1/2008	135843	-0.358683215	74.6	-0.288572195
11/1/2008	135040	-0.591123576	73.6	-0.490952341
12/1/2008	134379	-0.489484597	71.6	-0.329192929
1/1/2009	133561	-0.608726066	69.9	-0.39733203
2/1/2009	132837	-0.542074408	69.5	-0.318656285
3/1/2009	132038	-0.601489043	68.3	-0.341998661
4/1/2009	131346	-0.524091549	67.7	-0.246565037
5/1/2009	130985	-0.274846588	67.1	0.020716053
6/1/2009	130503	-0.367981067	66.8	-0.06340036
7/1/2009	130164	-0.259764143	67.5	0.023774412
8/1/2009	129933	-0.177468424	68.3	0.082021958
9/1/2009	129734	-0.153155857	68.9	0.088298395
10/1/2009	129532	-0.155703208	69.1	0.079739001
11/1/2009	129490	-0.03242442	69.5	0.190993702
12/1/2009	129319	-0.132056529	70	0.076331485
1/1/2010	129279	-0.030931263	70.8	0.153408579
2/1/2010	129244	-0.027073229	71.3	0.142236504
3/1/2010	129433	0.146235028	71.9	0.297508632
4/1/2010	129672	0.184651519	72.4	0.320895014
5/1/2010	130188	0.397927078	73.7	0.495092292
6/1/2010	130021	-0.128276032	73.9	-0.037122861
7/1/2010	129963	-0.044608179	74.5	0.028508863
8/1/2010	129912	-0.039241938	74.8	0.024857038
9/1/2010	129885	-0.020783299	75.2	0.03129159
10/1/2010	130105	0.169380606	74.9	0.230473561
11/1/2010	130226	0.093001806	75.2	0.145076696
12/1/2010	130346	0.092147497	76	0.120174214
1/1/2011	130456	0.084390775	76.1	0.109411471
2/1/2011	130676	0.168639235	75.9	0.199671973
3/1/2011	130922	0.18825186	76.5	0.201248468
4/1/2011	131173	0.191717206	76.1	0.216737901
5/1/2011	131227	0.041167009	76.3	0.06017566
6/1/2011	131311	0.064011217	76.3	0.083019869
7/1/2011	131407	0.073108879	77	0.071075379
8/1/2011	131492	0.06468453	77.1	0.059645009
9/1/2011	131694	0.153621513	77.2	0.14557597
10/1/2011	131806	0.085045636	77.5	0.067982029
11/1/2011	131963	0.119114456	77.5	0.102050849
12/1/2011	132186	0.168986761	78.1	0.133887024
1/1/2012	132461	0.208040186	78.4	0.163922384
2/1/2012	132701	0.181185406	78.4	0.137067603
