Date	Apple Return	Market Return	IBM Return	Price Apple	Treasury Bill	Inflation (CPI)	Market Excess Return	Apple Excess Return
19900131	-0.035461	-0.070115	0.047809	34	0.005852	0.010309	-0.075967	-0.041313
19900228	0.003235	0.014901	0.065501	34	0.005818	0.00471	0.009083	-0.002583
19900330	0.183824	0.02414	0.021661	40.25	0.00638	0.005469	0.01776	0.177444
19900430	-0.021739	-0.028286	0.027091	39.375	0.006829	0.001554	-0.035115	-0.028568
19900531	0.050413	0.088936	0.112018	41.25	0.006404	0.002327	0.082532	0.044009
19900629	0.084848	-0.004196	-0.020833	44.75	0.005898	0.005418	-0.010094	0.07895
19900731	-0.061453	-0.009405	-0.051064	42	0.006704	0.003849	-0.016109	-0.068157
19900831	-0.116429	-0.091896	-0.075471	37	0.006154	0.009202	-0.09805	-0.122583
19900928	-0.216216	-0.053843	0.044172	29	0.005984	0.008359	-0.059827	-0.2222
19901031	0.060345	-0.012504	-0.009401	30.75	0.006559	0.006029	-0.019063	0.053786
19901130	0.199024	0.065744	0.089775	36.75	0.005651	0.002247	0.060093	0.193373
19901231	0.170068	0.029513	-0.005501	43	0.005989	0	0.023524	0.164079
19910131	0.290698	0.049078	0.121681	55.5	0.004637	0.005979	0.044441	0.286061
19910228	0.033694	0.075847	0.025325	57.25	0.004767	0.001486	0.07108	0.028927
19910328	0.187773	0.028923	-0.115534	68	0.004391	0.001484	0.024532	0.183382
19910430	-0.191176	0.003322	-0.095499	55	0.005335	0.001481	-0.002013	-0.196511
19910531	-0.143273	0.040732	0.042087	47	0.004461	0.002959	0.036271	-0.147734
19910628	-0.117021	-0.044029	-0.084806	41.5	0.004171	0.00295	-0.0482	-0.121192
19910731	0.114458	0.046795	0.042471	46.25	0.00484	0.001471	0.041955	0.109618
19910830	0.148541	0.026819	-0.031259	53	0.00461	0.002937	0.022209	0.143931
19910930	-0.066038	-0.010975	0.069677	49.5	0.004558	0.004392	-0.015533	-0.070596
19911031	0.040404	0.017789	-0.05187	51.5	0.004246	0.001458	0.013543	0.036158
19911129	-0.012233	-0.037275	-0.046209	50.75	0.003915	0.002911	-0.04119	-0.016148
19911231	0.110837	0.106778	-0.037838	56.375	0.003792	0.000726	0.102986	0.107045
19920131	0.148559	-0.001182	0.011236	64.75	0.003059	0.00145	-0.004241	0.1455
19920228	0.044324	0.013354	-0.021278	67.5	0.002828	0.003621	0.010526	0.041496
19920331	-0.137037	-0.0237	-0.038849	58.25	0.003376	0.005051	-0.027076	-0.140413
19920430	0.032189	0.013419	0.086826	60.125	0.003303	0.001436	0.010116	0.028886
19920529	-0.006237	0.006439	0.013333	59.75	0.002758	0.001434	0.003681	-0.008995
19920630	-0.194644	-0.019287	0.078512	48	0.003201	0.003579	-0.022488	-0.197845
19920731	-0.026042	0.0399	-0.031928	46.75	0.002892	0.00214	0.037008	-0.028934
19920831	-0.013476	-0.02082	-0.072982	46	0.002605	0.002847	-0.023425	-0.016081
19920930	-0.019022	0.012447	-0.067821	45.125	0.002573	0.002839	0.009874	-0.021595
19921030	0.163435	0.010986	-0.171827	52.5	0.002286	0.003539	0.0087	0.161149
19921130	0.097524	0.040193	0.038654	57.5	0.002346	0.00141	0.037847	0.095178
19921231	0.03913	0.017768	-0.261905	59.75	0.00227	-0.000704	0.015498	0.03686
19930129	-0.004184	0.012643	0.022333	59.5	0.002335	0.004933	0.010308	-0.006519
19930226	-0.107227	0.005402	0.066311	53	0.002209	0.003506	0.003193	-0.109436
19930331	-0.028302	0.025116	-0.064368	51.5	0.002538	0.003494	0.022578	-0.03084
19930430	-0.004854	-0.0254	-0.044226	51.25	0.002372	0.002786	-0.027772	-0.007226
19930528	0.10722	0.029598	0.095938	56.625	0.002168	0.001389	0.02743	0.105052
19930630	-0.302428	0.00544	-0.063981	39.5	0.002756	0.001387	0.002684	-0.305184
19930730	-0.297468	-0.000795	-0.098734	27.75	0.002402	0	-0.003197	-0.29987
19930831	-0.040721	0.039479	0.033708	26.5	0.00253	0.00277	0.036949	-0.043251
19930930	-0.117925	0.000641	-0.081967	23.375	0.002356	0.002072	-0.001715	-0.120281
19931029	0.315508	0.018064	0.095238	30.75	0.00221	0.004135	0.015854	0.313298
19931130	0.028293	-0.017606	0.17663	31.5	0.002477	0.000686	-0.020083	0.025816
19931231	-0.071429	0.019513	0.048724	29.25	0.002263	0	0.01725	-0.073692
19940131	0.119658	0.031466	0	32.75	0.002503	0.002743	0.028963	0.117155
19940228	0.118168	-0.024224	-0.059735	36.5	0.00212	0.00342	-0.026344	0.116048
19940331	-0.089041	-0.045795	0.033097	33.25	0.002469	0.003408	-0.048264	-0.09151
19940429	-0.097744	0.009478	0.052632	30	0.002711	0.001359	0.006767	-0.100455
19940531	-0.021	0.00936	0.1	29.25	0.00315	0.000678	0.00621	-0.02415
19940630	-0.094017	-0.027909	-0.06746	26.5	0.003118	0.00339	-0.031027	-0.097135
19940729	0.271226	0.030633	0.053191	33.6875	0.002751	0.002703	0.027882	0.268475
19940831	0.077774	0.042597	0.111111	36.1875	0.003687	0.004043	0.03891	0.074087
19940930	-0.069085	-0.018363	0.016423	33.6875	0.003659	0.002685	-0.022022	-0.072744
19941031	0.282004	0.01452	0.070018	43.1875	0.00384	0.000669	0.01068	0.278164
19941130	-0.134703	-0.037219	-0.04698	37.25	0.003691	0.001338	-0.04091	-0.138394
19941230	0.04698	0.012609	0.038869	39	0.00443	0	0.008179	0.04255
19950131	0.035256	0.020399	-0.018707	40.375	0.004156	0.004008	0.016243	0.0311
19950228	-0.0187	0.039615	0.046794	39.5	0.003983	0.003992	0.035632	-0.022683
19950331	-0.107595	0.027041	0.091362	35.25	0.004134	0.003313	0.022907	-0.111729
19950428	0.085106	0.025048	0.152207	38.25	0.00445	0.003303	0.020598	0.080656
19950531	0.089739	0.034007	-0.014531	41.5625	0.005355	0.001975	0.028652	0.084384
19950630	0.117293	0.031173	0.032258	46.4375	0.004714	0.001971	0.026459	0.112579
19950731	-0.030956	0.040783	0.134115	45	0.004522	0	0.036261	-0.035478
19950831	-0.041778	0.009305	-0.04822	43	0.004637	0.002623	0.004668	-0.046415
19950929	-0.133721	0.036362	-0.085852	37.25	0.004309	0.001962	0.032053	-0.13803
19951031	-0.025168	-0.011317	0.029101	36.3125	0.004714	0.003264	-0.016031	-0.029882
19951130	0.053219	0.042708	-0.003856	38.125	0.004108	-0.000651	0.0386	0.049111
19951229	-0.163934	0.015191	-0.054334	31.875	0.004882	-0.000651	0.010309	-0.168816
19960131	-0.133333	0.028144	0.187414	27.625	0.004278	0.005863	0.023866	-0.137611
19960229	-0.004525	0.01631	0.132488	27.5	0.003908	0.003238	0.012402	-0.008433
19960329	-0.106818	0.010927	-0.092762	24.5625	0.003943	0.005165	0.006984	-0.110761
19960430	-0.007634	0.025511	-0.031461	24.375	0.004579	0.003854	0.020932	-0.012213
19960531	0.071795	0.0268	-0.006032	26.125	0.003982	0.001919	0.022818	0.067813
19960628	-0.196172	-0.008298	-0.0726	21	0.004	0.000639	-0.012298	-0.200172
19960731	0.047619	-0.053819	0.085859	22	0.004497	0.001914	-0.058316	0.043122
19960830	0.102273	0.032463	0.067209	24.25	0.004122	0.001911	0.028341	0.098151
19960930	-0.085052	0.053015	0.088525	22.1875	0.004375	0.003179	0.04864	-0.089427
19961031	0.03662	0.013632	0.036145	23	0.004246	0.003169	0.009386	0.032374
19961129	0.048913	0.065502	0.238178	24.125	0.003941	0.001895	0.061561	0.044972
19961231	-0.134715	-0.011358	-0.049412	20.875	0.004404	0	-0.015762	-0.139119
19970131	-0.203593	0.053449	0.035479	16.625	0.004014	0.003153	0.049435	-0.207607
19970228	-0.022556	-0.001144	-0.081434	16.25	0.003788	0.003143	-0.004932	-0.026344
19970331	0.123077	-0.04482	-0.045217	18.25	0.00431	0.002506	-0.04913	0.118767
19970430	-0.068493	0.042303	0.169399	17	0.004313	0.00125	0.03799	-0.072806
19970530	-0.022059	0.071624	0.080374	16.625	0.004263	-0.000624	0.067361	-0.026322
19970630	-0.142857	0.044145	0.043353	14.25	0.003744	0.001249	0.040401	-0.146601
19970731	0.22807	0.076502	0.171745	17.5	0.004294	0.001248	0.072208	0.223776
19970829	0.242857	-0.036267	-0.03948	21.75	0.004058	0.001869	-0.040325	0.238799
19970930	-0.002874	0.058433	0.045623	21.6875	0.004576	0.002488	0.053857	-0.00745
19971031	-0.214697	-0.034528	-0.070755	17.03125	0.003911	0.002481	-0.038439	-0.218608
19971128	0.042202	0.030459	0.113706	17.75	0.003773	-0.000619	0.026686	0.038429
19971231	-0.260563	0.017772	-0.044521	13.125	0.004629	-0.001238	0.013143	-0.265192
19980130	0.395238	0.004529	-0.056153	18.3125	0.004204	0.00186	0.000325	0.391034
19980227	0.290102	0.07323	0.05962	23.625	0.003847	0.001856	0.069383	0.286255
19980331	0.164021	0.051324	-0.005386	27.5	0.004485	0.001853	0.046839	0.159536
19980430	-0.004545	0.010862	0.115523	27.375	0.004308	0.00185	0.006554	-0.008853
19980529	-0.027397	-0.025755	0.015922	26.625	0.003805	0.001846	-0.02956	-0.031202
19980630	0.077465	0.031955	-0.022872	28.6875	0.004021	0.001229	0.027934	0.073444
19980731	0.206972	-0.023264	0.154056	34.625	0.003873	0.001227	-0.027137	0.203099
19980831	-0.099278	-0.157666	-0.14834	31.1875	0.004012	0.001225	-0.161678	-0.10329
19980930	0.222445	0.063835	0.140954	38.125	0.003875	0.001224	0.05996	0.21857
19981030	-0.02623	0.074357	0.155642	37.125	0.003353	0.002445	0.071004	-0.029583
19981130	-0.139731	0.061985	0.113434	31.9375	0.003233	0	0.058752	-0.142964
19981231	0.2818	0.063054	0.116578	40.9375	0.003779	-0.00061	0.059275	0.278021
19990129	0.006107	0.038345	-0.006102	41.1875	0.003494	0.002441	0.034851	0.002613
19990226	-0.15478	-0.038105	-0.072469	34.8125	0.003372	0.001217	-0.041477	-0.158152
19990331	0.032316	0.037861	0.044183	35.9375	0.004076	0.00304	0.033785	0.02824
19990430	0.28	0.049	0.180183	46	0.003784	0.007273	0.045216	0.276216
19990528	-0.04212	-0.020721	0.1102	44.0625	0.003463	0	-0.024184	-0.045583
19990630	0.051064	0.051021	0.114224	46.3125	0.004098	0	0.046923	0.046966
19990730	0.202429	-0.030635	-0.027563	55.6875	0.003658	0.003008	-0.034293	0.198771
19990831	0.171717	-0.009985	-0.007996	65.25	0.003876	0.0024	-0.013861	0.167841
19990930	-0.029693	-0.022868	-0.0286	63.3125	0.003705	0.004788	-0.026573	-0.033398
19991029	0.265548	0.062049	-0.188017	80.125	0.003581	0.001787	0.058468	0.261967
