Rating	Age	Income	Income Group	Residual Rating
4.4	56.8	$127.80 		-0.437935889
3.4	52	$118.70 	Med	-1.151774056
3.5	29.1	$72.70 	Low	0.300461254
7.4	67.4	$164.80 	High	0.834666648
7.9	70.7	$185.70 	High	0.1812001
4.4	47.1	$114.40 	Med	-0.24997816
3.3	44.3	$86.70 	Low	0.350965015
4	33.9	$97.00 		-0.483206814
4.9	49.5	$117.80 	Med	0.169567128
5.5	56.3	$137.70 		-0.052951332
5	55	$133.80 		-0.36307872
3.2	59	$120.60 	Med	-0.991419717
5.7	45.6	$114.30 	Med	0.928857749
3.3	49.1	$107.40 		-0.687066658
5.5	54.8	$129.10 		0.444497651
4.4	33.1	$99.40 		-0.393114272
7.1	56.5	$157.20 	High	0.203329219
0.6	45.4	$62.10 	Low	-0.587014199
1.8	51.8	$83.00 	Low	-0.307206019
6.3	51.3	$137.70 		0.332678155
3.2	41.9	$92.60 	Low	-0.335519358
6.5	63.3	$184.70 	High	-1.744513937
5	57.3	$142.70 		-0.86150775
6	54.3	$134.40 		0.510622126
3.7	43.8	$103.10 		-0.409160355
2.5	34.5	$66.20 	Low	0.115155198
4.5	43.3	$119.90 	Med	-0.808366384
4.5	43.4	$97.60 		0.641369036
6.4	43.4	$121.40 	Med	0.909120119
5.9	41.8	$125.70 		0.007444297
6.6	44.1	$143.30 		-0.279745081
4.4	48.6	$126.80 		-1.033086738
5.1	59	$139.80 		-0.430035502
4.6	55.9	$120.30 	Med	0.204347145
3.3	50.1	$95.20 		0.164855
2.2	38.4	$78.10 	Low	-0.676191119
5.7	33.3	$104.30 		0.591002004
6.5	58.4	$152.30 	High	0.112092478
6.9	55.9	$134.90 		1.467187656
4.3	40	$87.90 	Low	0.915647891
7	70.1	$171.50 	High	0.257070111
4.7	49.5	$111.90 	Med	0.394188103
4.2	50.8	$116.90 	Med	-0.393009193
4.7	40	$100.40 		0.467252244
5.8	54.2	$134.20 		0.312066422
5.4	51.9	$136.90 		-0.461908895
4.5	54.8	$113.40 	Med	0.515075557
4.4	38.8	$93.70 	Low	0.503772369
2.5	26.2	$43.90 	Low	1.033261452
6.7	51.8	$143.10 		0.451952959
5.6	40.3	$126.10 		-0.400932849
6	59.6	$144.20 		0.295521148
4.4	53.9	$111.90 	Med	0.44382496
5.6	54.7	$130.60 		0.389232336
4.7	43.7	$117.00 	Med	-0.472992421
4.2	44.1	$112.10 	Med	-0.536392427
8.1	57.9	$153.90 	High	1.555278521
2	47.7	$81.80 	Low	-0.342309398
5.4	64.3	$147.10 		-0.151234455
5.8	61.9	$160.50 	High	-0.833087353
8.8	51.4	$166.80 	High	0.863288314
4.6	44.1	$103.20 		0.411321649
2.6	40.3	$86.40 	Low	-0.6551643
2.3	45.8	$109.10 	Med	-2.085259927
5.5	43.6	$120.00 	Med	0.151126042
8.1	66.8	$177.40 	High	0.604166357
5.3	47.9	$103.60 		1.420747797
3.8	35.2	$93.80 	Low	-0.380845269
3.4	27.2	$88.40 	Low	-1.092167793
5.3	51.8	$128.40 		0.050910643
5	60.9	$136.20 		-0.086379606
6.1	49.8	$135.00 		0.177521938
4.7	40	$100.20 		0.431423053
5.6	47	$116.90 	Med	0.788123343
6.2	71.2	$174.80 	High	-0.727635242
