Price ($M)	Sq Feet (000)	Bathrooms	Lot Size (000 sq ft)	Median Income ($M)	Fireplace?	Residuals Price ($M)	Residuals Bathrooms
531	6.4	4	16	288	yes	88.1932091	0.86627571
489	3.2	2	13	77	no	207.854898	0.02537663
256	3.4	2	5	42	yes	-35.248958	-0.0470672
447	5.7	3	13	314	yes	39.5567035	0.11982904
459	5.9	3	8	82	yes	41.4528479	0.04738523
452	4.1	3	8	57	yes	125.387548	0.6993795
381	6.3	4	9	42	yes	-56.754863	0.90249761
301	2.4	2	8	179	yes	60.2703198	0.31515187
183	2.9	2	9	75	yes	-82.989319	0.13404235
228	2.8	2	7	68	no	-32.937391	0.17026425
388	3.7	2	9	238	yes	81.5952588	-0.1557329
380	4.9	3	9	32	no	12.9721256	0.40960427
472	5.9	3	10	535	yes	54.4528479	0.04738523
233	3.1	2	4	32	yes	-43.093175	0.06159854
826	12.8	7	17	483	yes	59.869832	1.54807385
400	5.5	3	10	294	yes	2.66055901	0.19227284
120	4.1	3	7	98	yes	-206.61245	0.6993795
275	4.5	2	7	212	yes	-71.820163	-0.4455081
141	2.4	2	8	68	no	-99.72968	0.31515187
523	9.6	4	11	425	yes	-81.468479	-0.2928252
172	2.3	1	1	56	no	-63.677752	-0.6486262
321	3.5	1	9	152	yes	24.6991144	-1.0832891
259	3.3	2	4	36	no	-27.19703	-0.0108453
198	2.2	2	5	108	no	-32.625825	0.38759567
317	6.1	4	6	58	yes	-110.65101	0.97494142
288	4	3	3	133	no	-33.560524	0.7356014
284	5.4	2	6	161	no	-108.28751	-0.7715053
281	4.6	3	9	74	yes	-70.872091	0.51826998
243	2.6	2	7	36	no	-7.8335357	0.24270806
111	2.2	1	3	133	yes	-119.62582	-0.6124043
265	4.4	3	11	63	yes	-76.768236	0.59071379
214	2.1	2	6	84	no	-11.573897	0.42381758
121	2.3	1	9	76	yes	-114.67775	-0.6486262
381	5.1	2	5	310	yes	3.86827008	-0.6628395
258	3.3	2	5	145	yes	-28.19703	-0.0108453
209	3.7	1	8	99	yes	-97.404741	-1.1557329
294	4.7	3	6	259	yes	-62.924019	0.48204808
270	2.8	2	8	62	no	9.06260872	0.17026425
202	2.3	2	6	163	no	-33.677752	0.35137377
485	5.2	2	9	134	yes	102.816342	-0.6990614
344	4.9	3	10	453	yes	-23.027874	0.40960427
356	2.4	2	9	153	no	115.27032	0.31515187
274	2.5	2	6	39	yes	28.218392	0.27892996
397	4.1	2	8	50	yes	70.3875477	-0.3006205
203	2.1	2	8	98	no	-22.573897	0.42381758
298	3	2	7	338	no	26.9587532	0.09782044
408	6.5	4	13	71	yes	-39.858719	0.8300538
262	3.1	2	8	80	yes	-14.093175	0.06159854
502	4.6	2	7	146	yes	150.127909	-0.48173
465	5.8	3	7	61	no	52.5047757	0.08360713
396	5.2	2	10	219	no	13.8163423	-0.6990614
201	3.5	1	9	110	no	-95.300886	-1.0832891
452	4.4	3	6	401	yes	110.231764	0.59071379
365	3.4	2	8	131	yes	73.7510421	-0.0470672
158	4.3	2	5	36	yes	-178.71631	-0.3730643
397	2.7	2	2	57	no	141.114536	0.20648615
192	3.5	2	2	97	no	-104.30089	-0.0832891
298	5.7	3	11	85	yes	-109.4433	0.11982904
309	3.6	2	10	200	no	7.64718658	-0.119511
427	6.2	2	8	320	yes	-5.7029354	-1.0612805
345	4	3	11	147	no	23.4394755	0.7356014
237	2.1	2	5	41	no	11.4261031	0.42381758
369	2.7	2	5	170	no	113.114536	0.20648615
202	3.2	2	3	334	no	-79.145102	0.02537663
354	3.9	2	7	53	yes	37.4914033	-0.2281767
186	4.2	2	8	102	yes	-145.66438	-0.3368424
346	3.2	1	5	268	no	64.8548977	-0.9746234
358	2.9	2	5	58	yes	92.010681	0.13404235
556	7.1	2	14	479	yes	77.8297147	-1.3872776
143	2.3	2	6	43	no	-92.677752	0.35137377
432	3.8	2	8	43	no	120.543331	-0.1919548
378	3.6	2	7	110	no	76.6471866	-0.119511
207	3.1	2	3	39	yes	-69.093175	0.06159854
332	4.4	3	1	312	no	-9.7682356	0.59071379
382	4.1	3	8	414	no	55.3875477	0.6993795
254	3.2	1	9	53	yes	-27.145102	-0.9746234
324	4.6	2	8	57	no	-27.872091	-0.48173
337	3.7	2	4	263	no	30.5952588	-0.1557329
265	2.9	1	1	173	no	-0.989319	-0.8659577
371	6.1	4	9	121	yes	-56.651008	0.97494142
265	2.2	1	6	44	no	34.3741753	-0.6124043
285	4.6	3	7	224	yes	-66.872091	0.51826998
247	3.6	2	4	254	no	-54.352813	-0.119511
358	2.3	2	11	93	no	122.322248	0.35137377
279	3.3	1	6	80	no	-7.1970301	-1.0108453
416	6.5	4	14	268	yes	-31.858719	0.8300538
282	2.2	2	6	64	no	51.3741753	0.38759567
423	3.9	2	7	195	no	106.491403	-0.2281767
467	4	2	9	145	no	145.439476	-0.2643986
335	3.2	2	7	387	no	53.8548977	0.02537663
316	5.2	1	13	112	yes	-66.183658	-1.6990614
136	2.9	2	3	59	no	-129.98932	0.13404235
319	3.6	2	8	184	no	17.6471866	-0.119511
309	2.9	1	11	128	yes	43.010681	-0.8659577
353	2.5	2	9	59	no	107.218392	0.27892996
277	2.2	2	7	232	no	46.3741753	0.38759567
347	3.1	2	4	214	no	70.9068254	0.06159854
216	4.7	2	9	43	yes	-140.92402	-0.5179519
347	4	3	8	37	yes	25.4394755	0.7356014
200	3.7	1	7	31	yes	-106.40474	-1.1557329
346	3.4	2	14	102	no	54.7510421	-0.0470672
351	3.3	2	8	118	no	64.8029699	-0.0108453
392	8.3	3	9	54	yes	-146.79342	-0.8219405
156	2.6	2	6	79	no	-94.833536	0.24270806
192	2.8	1	7	63	no	-68.937391	-0.8297357
477	7.3	4	10	165	yes	-11.274141	0.54027857
208	2.2	2	4	86	no	-22.625825	0.38759567
371	2.9	2	9	141	yes	105.010681	0.13404235
258	2.4	2	10	136	yes	17.2703198	0.31515187
172	3.8	2	7	60	no	-139.45667	-0.1919548
452	5	3	10	363	yes	79.9201978	0.37338236
260	2.3	2	6	67	no	24.3222476	0.35137377
197	3.3	2	9	41	no	-89.19703	-0.0108453
650	10	4	21	104	yes	25.3238095	-0.4377128
409	4.9	2	8	101	yes	41.9721256	-0.5903957
174	2.7	2	8	86	yes	-81.885464	0.20648615
243	2.9	2	7	253	no	-22.989319	0.13404235
155	3.3	2	14	38	yes	-131.19703	-0.0108453
380	4.6	3	6	191	yes	28.1279089	0.51826998
474	4.3	1	9	154	yes	137.283692	-1.3730643
395	4.7	3	16	233	no	38.0759811	0.48204808
286	2.5	2	8	35	no	40.218392	0.27892996
232	3	2	8	69	no	-39.041247	0.09782044
522	6.3	3	13	35	yes	84.2451369	-0.0975024
235	2.1	2	9	74	no	9.42610309	0.42381758
377	4.4	3	6	188	no	35.2317644	0.59071379
196	3.2	2	12	115	yes	-85.145102	0.02537663
286	3.5	2	6	43	yes	-10.300886	-0.0832891
432	4.2	3	4	184	yes	100.33562	0.66315759
285	2.8	2	10	222	no	24.0626087	0.17026425
392	2.9	2	7	92	yes	126.010681	0.13404235
510	5.6	3	8	475	yes	107.608631	0.15605094
77	2.9	2	2	55	no	-188.98932	0.13404235
281	2.7	1	9	84	yes	25.1145365	-0.7935138
329	4.9	3	7	35	yes	-38.027874	0.40960427
420	2.5	2	7	98	no	174.218392	0.27892996
250	3.5	2	9	194	no	-46.300886	-0.0832891
438	4.8	3	9	214	yes	76.0240534	0.44582617
213	2.8	2	3	35	no	-47.937391	0.17026425
429	4.1	3	3	469	no	102.387548	0.6993795
364	4.7	2	7	188	yes	7.07598115	-0.5179519
332	2.5	2	6	226	no	86.218392	0.27892996
315	3.2	2	6	177	no	33.8548977	0.02537663
679	9.1	4	13	608	yes	99.7911594	-0.1117157
345	5.2	3	6	336	yes	-37.183658	0.30093856
149	2.7	2	12	71	no	-106.88546	0.20648615
345	5.3	2	9	66	no	-42.235585	-0.7352833
484	7.9	2	13	668	yes	-34.585707	-1.6770529
350	4.5	3	7	139	no	3.17983668	0.55449188
239	4	2	6	289	yes	-82.560524	-0.2643986
