Lease Cost ($)	Square Feet	Cost per Sq Foot	1/Sq Feet	Parking/SqFt	Age	Parking	Location	Location Dummy	Dummy * 1/SqFt	Renovation	Leaselength	Distance to City (miles)	Drive Time to Airport (minutes)	Distance to Airport (miles)	Occupancy	Num Floors in Bldg	Num Floors in Lease	Sq Ft in Bldg	New Wiring	Lease is Renewable
329959	19083	17.29073	5.24E-05	0.00031442	7	6	Suburbs	0	0	7	6	4.9	22.67	12.27	0.85	14	13	23742.84	NO	NO
298073	18010	16.5504164	5.55E-05	0.00011105	78	2	City	1	5.55E-05	36	9	0.19	25.36	14.25	0.94	9	3	30229.57	NO	NO
2820213	154085	18.3029691	0.00000649	0	3	0	Suburbs	0	0	3	10	3.86	10.7	10.78	0.85	11	8	43098.76	YES	NO
883773	52826	16.7298868	0.00001893	0	51	0	City	1	0.00001893	51	6	1.46	20.49	12.96	0.93	30	7	14394.44	NO	NO
359745	22864	15.7341235	4.37E-05	0	15	0	Suburbs	0	0	15	5	3.93	17.16	11.75	0.99	16	14	41446.59	NO	NO
776486	52281	14.8521643	1.91E-05	0	39	0	Suburbs	0	0	39	3	4.55	38.49	17.59	0.6	10	6	53417.78	NO	NO
779517	50759	15.3572174	0.0000197	0	17	0	Suburbs	0	0	17	8	2.38	20.43	13.16	0.69	13	7	38949.37	NO	NO
1150529	62775	18.3278216	0.00001593	0.00009558	4	6	Suburbs	0	0	4	3	3.56	13.27	11.32	0.73	18	7	25928.9	YES	NO
38131	2406	15.8482959	0.00041563	0	12	0	Suburbs	0	0	12	4	1.58	31.1	15.84	0.71	13	1	35694.7	NO	NO
58020	3336	17.3920863	0.00029976	0.00119904	32	4	Suburbs	0	0	32	3	1.55	30.77	15.76	0.77	7	3	30054.43	NO	NO
198698	10716	18.5421799	9.33E-05	0.00046659	49	5	City	1	9.33E-05	49	10	1.33	21.12	13.1	0.88	17	5	20630.9	NO	NO
1905962	122576	15.5492266	8.16E-06	0.00011421	3	14	Suburbs	0	0	3	9	1.57	30.48	15.7	0.7	14	7	30938.1	NO	NO
449871	30773	14.6190167	3.25E-05	0	30	0	Suburbs	0	0	11	4	4.24	15.63	11.16	0.6	21	5	43897.67	NO	NO
72212	4581	15.7633704	0.00021829	0	20	0	Suburbs	0	0	20	5	1.63	29.28	15.43	0.77	14	3	48794.51	NO	NO
94919	6274	15.1289449	0.00015939	0	21	0	Suburbs	0	0	21	5	5.19	19.77	11.07	0.59	11	11	27479.49	NO	NO
36514	2027	18.0138135	0.00049334	0	65	0	City	1	0.00049334	33	9	0.73	24.26	13.79	0.98	7	3	43930.46	NO	NO
92125	5329	17.2874836	0.00018765	0	7	0	Suburbs	0	0	7	9	5.3	41.72	18.37	0.97	19	10	43787.15	NO	NO
1591730	101424	15.69382	9.86E-06	8.87E-05	9	9	Suburbs	0	0	9	9	4.31	14.3	10.84	0.93	16	1	40566.18	NO	NO
145922	7936	18.3873488	0.00012601	0.00025202	12	2	City	1	0.00012601	12	3	0.67	25.26	14.36	0.94	63	13	48207.53	YES	NO
496409	32303	15.3672724	3.10E-05	0	18	0	Suburbs	0	0	4	4	3.19	13.49	11.34	0.58	15	9	47087.35	NO	NO
798909	52173	15.3126905	1.92E-05	0.00015334	5	8	Suburbs	0	0	5	7	2.08	31.97	16.1	0.99	14	2	24449.73	YES	NO
425861	23717	17.9559388	4.22E-05	0.00025298	63	6	City	1	4.22E-05	45	9	0.88	28.9	14.9	0.81	20	19	17343.32	NO	YES
287392	16516	17.4008234	6.05E-05	0.00012109	17	2	Suburbs	0	0	3	10	3.14	23.93	13.79	0.9	11	3	49048.71	YES	NO
276100	15432	17.8913945	0.0000648	0	37	0	City	1	0.0000648	21	4	1.02	24.83	14.29	0.91	43	25	31992.23	NO	NO
116301	6518	17.84305	0.00015342	0.00076711	47	5	City	1	0.00015342	47	9	1.02	22.43	13.64	0.97	25	9	6795.82	NO	NO
110495	6804	16.2397119	0.00014697	0.00029394	34	2	Suburbs	0	0	18	8	6.38	48.1	20.08	0.97	9	5	32677.93	NO	NO
377032	22442	16.8002852	0.00004456	0.00013368	18	3	Suburbs	0	0	18	4	3.5	17.6	12.13	0.98	28	26	51446.4	NO	NO
290559	18569	15.6475308	5.39E-05	0.00010771	23	2	Suburbs	0	0	23	3	2.64	36.1	17.04	0.76	16	13	42499.52	NO	NO
2184416	138856	15.7315204	7.20E-06	0	30	0	Suburbs	0	0	30	3	2.2	17.46	12.44	0.99	12	6	31337.91	NO	NO
998647	58903	16.954094	1.70E-05	0	15	0	Suburbs	0	0	15	3	4.62	14.36	10.44	0.96	17	16	46405.4	NO	NO
1097061	70915	15.4700839	1.41E-05	0	1	0	Suburbs	0	0	1	4	1.56	29.64	15.51	0.98	9	7	31845.03	NO	NO
228066	12529	18.2030489	7.98E-05	0.00039907	62	5	City	1	7.98E-05	6	9	0.84	22.84	13.58	0.89	16	3	21376	NO	YES
1091447	63999	17.0541258	1.56E-05	0.000125	77	8	City	1	1.56E-05	66	6	0.57	24.76	13.95	0.9	9	3	27545.03	NO	NO
231471	13821	16.7477751	7.24E-05	0	45	0	City	1	7.24E-05	13	10	0.74	27.25	14.85	0.94	5	3	6823.22	NO	NO
138377	7706	17.9570465	0.00012977	0	43	0	City	1	0.00012977	25	4	0.22	26.11	14.35	0.97	19	2	20632.43	NO	NO
183761	9947	18.4740123	0.00010053	0.0003016	70	3	City	1	0.00010053	48	10	0.73	23.36	13.7	0.98	7	2	18341.2	NO	YES
299119	16391	18.2489781	0.00006101	0.00018303	72	3	City	1	0.00006101	72	6	0.71	28.19	14.76	0.97	3	2	25569.49	NO	NO
405641	23152	17.5207757	4.32E-05	8.64E-05	0	2	Suburbs	0	0	0	3	3.47	25.35	14.03	0.51	12	1	47887.47	NO	NO
334213	17863	18.7097912	5.60E-05	0.00016794	38	3	City	1	5.60E-05	12	10	0.88	22.69	13.54	1	41	7	25314.56	YES	NO
2013819	125695	16.0214726	7.96E-06	0.00009547	33	12	Suburbs	0	0	17	10	6.09	45.47	19.33	0.64	19	15	49397.27	NO	NO
428728	26402	16.2384668	3.79E-05	7.58E-05	32	2	City	1	3.79E-05	32	7	1.08	25.72	13.92	0.94	45	14	49351.52	NO	NO
46150	2054	22.4683544	0.00048685	0.00146056	38	3	City	1	0.00048685	16	10	0.22	25.25	14.22	0.9	36	21	21497.15	NO	NO
2595674	152172	17.0575007	6.57E-06	9.86E-05	28	15	City	1	6.57E-06	14	3	1.1	22.33	13.34	0.94	46	40	37638.66	NO	NO
124682	7147	17.4453617	0.00013992	0	61	0	City	1	0.00013992	61	10	0.32	26.59	14.44	0.84	9	5	34081.62	NO	YES
104749	6416	16.3262157	0.00015586	0	6	0	Suburbs	0	0	6	3	5.38	28.23	13.63	0.88	19	17	16952.75	NO	NO
813513	52102	15.6138536	1.92E-05	9.60E-05	12	5	Suburbs	0	0	12	4	4.29	14.38	10.88	0.74	15	7	43105.83	NO	NO
67623	3698	18.286371	0.00027042	0	4	0	Suburbs	0	0	4	3	4.88	20.4	11.63	0.97	9	8	30132.66	NO	NO
76960	4862	15.828877	0.00020568	0	16	0	Suburbs	0	0	16	5	1.9	19.66	13.02	0.88	13	1	24364.71	NO	NO
921925	52754	17.475926	1.90E-05	0.00020851	25	11	City	1	1.90E-05	25	3	0.76	28.19	14.73	0.98	39	24	23537.16	NO	NO
135037	7387	18.2803574	0.00013537	0.00040612	61	3	City	1	0.00013537	42	5	0.7	24.65	13.87	0.97	21	17	16134.96	NO	NO
26311	1207	21.7986744	0.0008285	0.0008285	81	1	City	1	0.0008285	13	5	1.27	21.69	13.49	0.99	7	4	17860.49	NO	NO
