Miles Last Year	Current Miles Flown	Has Card
126960	110070	1
228150	192380	1
91220	76420	0
76340	69000	0
141830	129250	1
42520	15570	0
60050	44240	0
107270	101370	0
134910	114620	1
185170	161250	1
44590	29590	0
243940	220360	1
90730	89140	0
41770	33380	0
91290	86670	0
111590	95920	1
38190	48990	0
75680	67310	0
84780	81120	1
75390	59600	0
92580	63370	1
50790	48670	0
146010	130400	0
82950	59570	1
149660	122500	0
77320	69210	1
124070	98320	0
178700	156270	1
104520	71360	0
81630	67820	1
71620	57370	1
88850	51620	0
162400	150560	1
63210	58300	1
27180	15740	0
122230	87710	0
44630	44710	1
68650	52690	0
96350	79030	1
130090	104390	1
80650	74470	0
127210	99290	1
73490	62680	0
281610	195350	1
199440	172550	1
141950	141590	1
73910	50440	0
82700	72460	0
53830	34010	1
140250	109360	1
42030	39900	1
56090	45300	0
68820	40990	0
97370	79600	0
200640	159140	1
94110	76170	0
86160	70610	0
86260	64270	0
66890	63730	1
100230	76780	0
117970	103170	0
161150	139830	0
100610	67500	0
161370	136940	1
29430	30530	0
226800	179080	0
108380	93100	0
144580	114400	1
156430	133940	1
81220	79550	0
103900	92520	0
136390	101090	1
38790	27530	0
61820	65880	1
156910	137890	0
168160	134330	0
59370	44750	0
111960	84070	0
58880	45430	0
73360	59750	1
141020	80630	0
106200	83530	0
57540	33020	0
60920	48380	0
176190	114460	1
88610	38650	0
86480	75980	0
150670	121510	1
93240	75760	0
49360	33540	1
80670	77800	0
53460	42330	0
79160	67750	0
53710	54570	0
144190	115090	0
64900	66380	1
54060	41230	0
77240	83630	1
137670	117730	1
78540	68050	1
143690	109150	0
131720	90410	0
124190	83550	1
96320	106290	1
131940	109780	1
69930	66710	0
177100	127860	1
173770	139500	1
123870	108790	1
117310	99060	1
24380	47520	1
116120	88690	0
94030	79810	1
154510	112820	1
136430	111450	1
96680	68730	1
59930	57530	0
212530	194110	0
111590	89870	0
204670	193160	1
50140	44660	0
38720	48420	0
78140	73340	0
129270	101970	0
69320	43770	0
143770	128790	1
116910	81770	0
72740	72720	0
138890	140780	0
73950	35750	0
99780	73230	0
54980	49730	0
64490	42060	0
172140	138690	1
121400	106740	1
65160	41780	0
54430	30550	0
71620	56070	0
67470	47410	0
68540	28810	0
47530	35100	1
172730	146080	0
76560	79690	0
119270	108860	0
60930	61480	1
171240	115340	1
92180	68020	0
49500	42550	1
111990	94000	0
161570	130510	1
109510	84130	1
84100	65770	0
65130	52020	0
50440	51630	0
97140	80560	1
108530	93380	0
53920	35320	0
120960	106540	1
64130	39660	0
106240	78060	0
165410	135770	1
125510	88920	1
93850	67290	0
96000	75020	0
86130	67180	0
51130	11730	0
137250	126830	0
75720	47050	0
185750	130760	1
78570	77410	0
143090	104740	0
120320	104460	1
86300	61390	0
111350	111520	0
131530	108300	0
109110	110600	1
47550	30650	1
133250	117910	1
164380	122600	1
213000	153600	0
27000	30150	0
136330	102240	1
63940	47240	0
68960	57200	0
70340	66660	1
59090	39960	0
77170	61480	1
84610	80490	0
35890	29330	0
77300	60270	0
72950	65320	0
98520	72800	0
184390	150060	0
141230	134960	0
185490	165360	1
63290	15750	0
171700	129230	0
210270	155980	1
142070	112410	1
41270	23290	0
93380	67450	0
124120	92240	1
82050	78150	0
51060	50440	0
73610	54550	0
104980	86580	0
122830	116290	1
72710	68740	0
87920	60410	0
127770	103660	1
100520	84200	1
146730	104310	0
61360	45570	0
57760	22350	0
90390	101900	0
87700	76390	0
63580	63330	0
48180	41990	0
66910	49700	0
100420	70350	0
82980	77490	0
102600	101140	1
63270	58990	0
93690	63980	0
113810	95200	0
165810	150270	1
36200	49580	0
68770	61840	0
25160	25600	0
72030	42600	0
111000	102540	1
36080	26530	0
55700	47040	1
100690	78040	0
108510	63220	1
71190	52430	0
117110	113570	0
43770	53170	1
126280	106010	1
111400	76300	0
47230	34370	0
103940	84850	0
62080	57710	0
73540	56730	1
50000	19390	0
38230	32960	0
83680	75280	0
20640	10460	0
146490	126580	0
115500	78430	0
