datadate	Fiscal Year	tic	Company Name	Nation	NAICS Sector	Total Assets	Return on Assets	Net Income	Cost of Goods Sold	Total Revenue	Expense: R&D	Expense: Admin, Selling	# Employees	Book Value per Share	log(R&D)	log(assets)	Sector Dummy	Interaction	log(cgs)	log(revenue)
20110430	2010	AMSWA	AMERICAN SOFTWARE  -CL A	USA	Information	$104.83 	0.070245727	$7.36 	$38.95 	$85.59 	$7.39 	$35.31 	297	2.8428	1.999857062	4.652359069	1	4.652359069	3.662330119	4.44955677
20110131	2010	ADSK	AUTODESK INC	USA	Information	$2,787.60 	0.076051083	$212.00 	$91.20 	$1,951.80 	$496.20 	$1,473.00 	6800	7.0894	6.206979071	7.93293629	1	7.93293629	4.513054897	7.576507303
20100630	2010	ADP	AUTOMATIC DATA PROCESSING	USA	Information	$26,862.20 	0.045096828	$1,211.40 	$4,729.70 	$8,927.70 	$513.90 	$2,120.60 	47000	11.136	6.242028694	10.19847537	1	10.19847537	8.461617055	9.096914082
20101231	2010	BTEC	BANCTEC INC-REDH	USA	Information	$222.04 	-0.100717448	($22.36)	$165.25 	$254.21 	$5.09 	$82.69 			1.627867048	5.402844035	1	5.402844035	5.107459479	5.538164631
20101231	2010	B	BARNES GROUP INC	USA	Prof Services	$1,403.26 	0.037967386	$53.28 	$674.59 	$1,133.20 	$6.00 	$322.63 	4906	13.2298	1.791759469	7.246551242	0	0	6.514111028	7.032799886
20101231	2010	SPEX	SPHERIX INC	USA	Prof Services	$7.02 	-1.102465441	($7.74)	$0.45 	$1.43 	$4.85 	$8.93 	9	0.2079	1.578153622	1.948335776	0	0	-0.807436327	0.359770149
20110331	2010	BT	BT GROUP PLC	GBR	Information	$37,776.99 	0.063806298	$2,410.41 	$23,497.48 	$32,816.56 	$1,336.80 		92600	3.9796	7.198032481	10.53945552	1	10.53945552	10.06464859	10.39868839
20101231	2010	UIS	UNISYS CORP	USA	Prof Services	$3,020.90 	0.078155517	$236.10 	$2,809.20 	$4,019.60 	$78.90 	$696.00 	22900	-22.0023	4.368181228	8.013310079	0	0	7.940655024	8.298937674
20110331	2010	ACXM	ACXIOM CORP	USA	Information	$1,306.63 	-0.017715106	($23.15)	$777.74 	$1,159.97 	$11.60 	$159.88 	6600	7.2617	2.451005098	7.175202756	1	7.175202756	6.656389707	7.056149422
20100930	2010	CSPI	CSP INC	USA	Prof Services	$41.38 	0.022088499	$0.91 	$77.01 	$95.02 	$1.95 	$16.05 	139	5.2497	0.669366652	3.722773506	0	0	4.343922298	4.554066347
20101231	2010	6534C	TELOS CORP/MD  -CL A	USA	Prof Services	$74.80 	0.040733116	$3.05 	$176.87 	$225.80 	$0.80 	$32.29 	630	-2.8238	-0.223143551	4.31487136	0	0	5.175426307	5.419636366
20101231	2010	CTIG	CTI GROUP HOLDINGS INC	USA	Information	$12.43 	-0.267717802	($3.33)	$4.84 	$15.24 	$2.44 	$9.74 	124	0.1801	0.891998039	2.520193353	1	2.520193353	1.577534363	2.723661049
20110331	2010	CA	CA INC	USA	Information	$12,414.00 	0.066618334	$827.00 	$581.00 	$4,429.00 	$471.00 	$2,208.00 	13400	11.1885	6.154858094	9.426580147	1	9.426580147	6.364750757	8.395929104
20101231	2010	IBM	INTL BUSINESS MACHINES CORP	USA	Prof Services	$113,452.00 	0.130742517	$14,833.00 	$48,472.00 	$99,871.00 	$5,720.00 	$27,863.00 	426751	18.7672	8.651724084	11.63913512	0	0	10.78874159	11.51163463
20110131	2010	MENT	MENTOR GRAPHICS CORP	USA	Prof Services	$1,427.98 	0.020017115	$28.58 	$96.02 	$914.75 	$284.85 	$706.06 	4700	6.9818	5.651966237	7.264014737	0	0	4.564556503	6.818654084
20100630	2010	MCRS	MICROS SYSTEMS INC	USA	Prof Services	$1,138.29 	0.100460251	$114.35 	$403.16 	$914.32 	$42.23 	$316.20 	4646	9.7871	3.743107189	7.037283294	0	0	5.999323584	6.818179526
20101231	2010	VERA	VERAMARK TECHNOLOGIES INC	USA	Information	$12.87 	0.047463684	$0.61 	$2.23 	$13.17 	$1.39 	$8.90 	95	0.0437	0.332177312	2.555132095	1	2.555132095	0.803345973	2.577561793
20110331	2010	NTT	NIPPON TELEGRAPH & TELEPHONE	JPN	Information	$237,621.99 	0.025914748	$6,157.91 	$49,950.21 	$124,516.71 	$3,240.95 	$36,101.78 	219343	36.6235	8.083621776	12.37843641	1	12.37843641	10.81878191	11.7321952
20110331	2010	QSII	QUALITY SYSTEMS INC	USA	Prof Services	$378.69 	0.162683595	$61.61 	$114.51 	$353.36 	$21.80 	$129.31 	1579	7.7382	3.081772346	5.936707366	0	0	4.740697086	5.867495857
20101231	2010	3LTTC	LATTICE INC	USA	Prof Services	$9.15 	-0.15483871	($1.42)	$8.31 	$13.54 	$0.55 	$5.38 	44	0.0985	-0.599656837	2.213207282	0	0	2.117700254	2.605500546
20101231	2010	T	AT&T INC	USA	Information	$268,488.00 	0.073984685	$19,864.00 	$52,263.00 	$124,280.00 	$1,345.00 	$33,065.00 	266590	18.8877	7.204149292	12.5005615	1	12.5005615	10.86404394	11.73029236
20101231	2010	TYL	TYLER TECHNOLOGIES INC	USA	Prof Services	$264.03 	0.094890013	$25.05 	$152.75 	$288.63 	$13.97 	$83.45 	2054	3.3124	2.636983753	5.576070308	0	0	5.028789505	5.665138662
20101231	2010	COVR	COVER-ALL TECHNOLOGIES INC	USA	Information	$19.51 	0.15128376	$2.95 	$9.94 	$17.46 	$0.85 	$4.17 	82	0.6081	-0.166054584	2.97108091	1	2.97108091	2.296667619	2.859740714
20100731	2010	3SNDTF	SAND TECHNOLOGY INC  -CL A	CAN	Information	$2.06 	-0.352455032	($0.73)	$1.16 	$6.38 	$2.10 	$5.52 	44	-0.1498	0.743364897	0.721248611	1	0.721248611	0.149281703	1.852384091
20100630	2010	JKHY	HENRY (JACK) & ASSOCIATES	USA	Prof Services	$1,564.15 	0.075357416	$117.87 	$419.96 	$836.59 	$50.82 	$158.63 	4528	8.7864	3.928289978	7.355095267	0	0	6.040154706	6.729329325
