Name	Class	Vehicle Type	Transmission	Combined MPG	Weight (pounds)	Displacement (liters)	Horsepower	Air Aspiration	# Cylinders	City MPG	Highway MPG	log10(MPG)	log10(HP)	log10(displacement)	log10(weight)	Truck Dummy	SUV Dummy	Truck * log HP	SUV * log HP
Audi A3	Small Station Wagons	suv	Manual	24	3625	2	200	Turbocharged	4	21	30	1.380211242	2.301029996	0.301029996	3.559308011	0	1	0	2.301029996
Audi A4 QUATTRO	Compact Cars	car	Manual	25	4000	2	211	Turbocharged	4	21	31	1.397940009	2.324282455	0.301029996	3.602059991	0	0	0	0
Audi A4	Compact Cars	car	Continuously Variable	25	3875	2	211	Turbocharged	4	22	30	1.397940009	2.324282455	0.301029996	3.588271707	0	0	0	0
Audi A6	Midsize Cars	car	Continuously Variable	28	4000	2	211	Turbocharged	4	25	33	1.447158031	2.324282455	0.301029996	3.602059991	0	0	0	0
Audi Q7	Special Purpose Vehicle, SUV 4WD	suv	Semi-Automatic	18	6000	3	225	Supercharged	6	16	22	1.255272505	2.352182518	0.477121255	3.77815125	0	1	0	2.352182518
Audi R8	Two Seaters	car	Automated Manual	16	4250	4.2	430	Naturally Aspirated	8	13	21	1.204119983	2.633468456	0.62324929	3.62838893	0	0	0	0
Audi R8	Two Seaters	car	Manual	14	4250	4.2	430	Naturally Aspirated	8	11	20	1.146128036	2.633468456	0.62324929	3.62838893	0	0	0	0
Audi R8	Two Seaters	car	Manual	14	4000	5.2	525	Naturally Aspirated	10	12	19	1.146128036	2.720159303	0.716003344	3.602059991	0	0	0	0
Audi S4	Compact Cars	car	Manual	21	4250	3	333	Supercharged	6	18	27	1.322219295	2.522444234	0.477121255	3.62838893	0	0	0	0
Audi S5	Subcompact Cars	car	Manual	17	4250	4.2	354	Naturally Aspirated	8	14	22	1.230448921	2.549003262	0.62324929	3.62838893	0	0	0	0
Volkswagen TIGUAN	Special Purpose Vehicle, SUV 2WD	suv	Manual	21	3875	2	200	Turbocharged	4	18	26	1.322219295	2.301029996	0.301029996	3.588271707	0	1	0	2.301029996
Audi TT COUPE QUATTRO	Subcompact Cars	car	Semi-Automatic	26	3625	2	265	Turbocharged	4	23	31	1.414973348	2.423245874	0.301029996	3.559308011	0	0	0	0
Aston Martin Lagonda Ltd DB9	Minicompact Cars	car	Manual	13	4500	5.9	470	Naturally Aspirated	12	11	17	1.113943352	2.672097858	0.770852012	3.653212514	0	0	0	0
Aston Martin Lagonda Ltd DB9	Minicompact Cars	car	Semi-Automatic	15	4500	5.9	470	Naturally Aspirated	12	13	20	1.176091259	2.672097858	0.770852012	3.653212514	0	0	0	0
Aston Martin Lagonda Ltd DBS	Minicompact Cars	car	Manual	13	4500	5.9	510	Naturally Aspirated	12	11	17	1.113943352	2.707570176	0.770852012	3.653212514	0	0	0	0
Aston Martin Lagonda Ltd DBS	Minicompact Cars	car	Semi-Automatic	14	4500	5.9	510	Naturally Aspirated	12	12	18	1.146128036	2.707570176	0.770852012	3.653212514	0	0	0	0
Aston Martin Lagonda Ltd Rapide	Subcompact Cars	car	Semi-Automatic	15	4750	5.9	470	Naturally Aspirated	12	13	19	1.176091259	2.672097858	0.770852012	3.67669361	0	0	0	0
Aston Martin Lagonda Ltd V8 Vantage S	Two Seaters	car	Automated Manual	16	4000	4.7	430	Naturally Aspirated	8	14	21	1.204119983	2.633468456	0.672097858	3.602059991	0	0	0	0
Aston Martin Lagonda Ltd V8 Vantage	Two Seaters	car	Automated Manual	16	4000	4.7	420	Naturally Aspirated	8	14	20	1.204119983	2.62324929	0.672097858	3.602059991	0	0	0	0
