Market Share	Detail Voice	Sample Voice	Week	City	City Dummy	Dummy * Detailing
0.216	0.103	0.618	1	Boston	1	0.1034569
0.236	0.098	0.685	2	Boston	1	0.09790766
0.229	0.108	0.62	3	Boston	1	0.1075506
0.234	0.108	0.593	4	Boston	1	0.10750512
0.221	0.101	0.428	5	Boston	1	0.10141005
0.222	0.03	0.231	6	Boston	1	0.03049807
0.23	0.082	0.572	7	Boston	1	0.08241983
0.22	0.085	0.426	8	Boston	1	0.08523994
0.231	0.103	0.632	9	Boston	1	0.10291108
0.213	0.085	0.511	10	Boston	1	0.08549011
0.226	0.081	0.459	11	Boston	1	0.08082784
0.215	0.103	0.468	12	Boston	1	0.10347965
0.226	0.092	0.35	13	Boston	1	0.09240391
0.225	0.07	0.268	14	Boston	1	0.07032067
0.227	0.106	0.5	15	Boston	1	0.10607232
0.224	0.111	0.411	16	Boston	1	0.11100751
0.215	0.097	0.556	17	Boston	1	0.09697521
0.218	0.066	0.309	18	Boston	1	0.06599955
0.234	0.115	0.662	19	Boston	1	0.11544235
0.233	0.135	0.626	20	Boston	1	0.13481919
0.233	0.094	0.48	21	Boston	1	0.09415511
0.225	0.096	0.526	22	Boston	1	0.0955879
0.228	0.127	0.628	23	Boston	1	0.12681374
0.222	0.134	0.509	24	Boston	1	0.13429611
0.209	0.088	0.351	25	Boston	1	0.08762793
0.223	0.088	0.326	26	Boston	1	0.08824198
0.226	0.067	0.189	27	Boston	1	0.06665909
0.215	0.108	0.271	28	Boston	1	0.10809643
0.235	0.11	0.437	29	Boston	1	0.11000682
0.232	0.115	0.39	30	Boston	1	0.11514669
0.218	0.106	0.23	31	Boston	1	0.10645895
0.221	0.071	0.12	32	Boston	1	0.07129861
0.209	0.054	0.188	33	Boston	1	0.05371844
0.217	0.081	0.144	34	Boston	1	0.08121446
0.209	0.086	0.141	35	Boston	1	0.08601319
0.215	0.061	0.15	36	Boston	1	0.06088242
0.228	0.074	0.217	37	Boston	1	0.0744826
0.221	0.07	0.186	38	Boston	1	0.07013873
0.224	0.075	0.341	39	Boston	1	0.07541506
0.139	0.077	0.158	1	Portland	0	0
0.161	0.085	0.203	2	Portland	0	0
0.14	0.072	0.184	3	Portland	0	0
0.13	0.078	0.151	4	Portland	0	0
0.149	0.088	0.135	5	Portland	0	0
0.129	0.028	0.096	6	Portland	0	0
0.136	0.072	0.222	7	Portland	0	0
0.144	0.062	0.147	8	Portland	0	0
0.139	0.086	0.262	9	Portland	0	0
0.139	0.073	0.197	10	Portland	0	0
0.131	0.08	0.168	11	Portland	0	0
0.123	0.074	0.181	12	Portland	0	0
0.126	0.082	0.159	13	Portland	0	0
0.125	0.069	0.166	14	Portland	0	0
0.125	0.081	0.175	15	Portland	0	0
0.143	0.079	0.141	16	Portland	0	0
0.125	0.1	0.179	17	Portland	0	0
0.138	0.092	0.225	18	Portland	0	0
0.113	0.043	0.079	19	Portland	0	0
0.127	0.072	0.203	20	Portland	0	0
0.133	0.085	0.157	21	Portland	0	0
0.134	0.061	0.165	22	Portland	0	0
0.134	0.081	0.129	23	Portland	0	0
0.147	0.086	0.182	24	Portland	0	0
0.135	0.089	0.216	25	Portland	0	0
0.136	0.082	0.125	26	Portland	0	0
0.132	0.037	0.062	27	Portland	0	0
0.132	0.084	0.14	28	Portland	0	0
0.13	0.081	0.156	29	Portland	0	0
0.138	0.065	0.163	30	Portland	0	0
0.144	0.069	0.166	31	Portland	0	0
0.12	0.043	0.094	32	Portland	0	0
0.137	0.046	0.136	33	Portland	0	0
0.133	0.046	0.135	34	Portland	0	0
0.133	0.045	0.094	35	Portland	0	0
0.136	0.039	0.102	36	Portland	0	0
0.134	0.04	0.114	37	Portland	0	0
0.117	0.044	0.091	38	Portland	0	0
0.119	0.041	0.082	39	Portland	0	0
