Country	Score	Grape Varietal	Price	Type	Log Price	Red Dummy	Red Dummy * Score
Argentina	89	Syrah	30	Red	3.40119738	1	89
Argentina	89	New world blend	17	Red	2.83321334	1	89
Argentina	89	Syrah	36	Red	3.58351894	1	89
Argentina	88	Syrah	27	Red	3.29583687	1	88
Argentina	89	New world blend	15	Red	2.7080502	1	89
Argentina	88	New world blend	25	Red	3.21887582	1	88
Argentina	88	Syrah	13	Red	2.56494936	1	88
Argentina	86	New world blend	16	Red	2.77258872	1	86
Argentina	85	New world blend	11	Red	2.39789527	1	85
Argentina	84	Syrah	9	Red	2.19722458	1	84
Argentina	89	Chardonnay	20	White	2.99573227	0	0
Argentina	88	Chardonnay	15	White	2.7080502	0	0
Argentina	88	Chardonnay	12	White	2.48490665	0	0
Argentina	88	Sauvignon Blan	12	White	2.48490665	0	0
Argentina	87	Chardonnay	25	White	3.21887582	0	0
Argentina	87	New world blend	50	White	3.91202301	0	0
Argentina	86	Chardonnay	11	White	2.39789527	0	0
Argentina	86	Chardonnay	15	White	2.7080502	0	0
Argentina	86	Chardonnay	15	White	2.7080502	0	0
Argentina	86	Sauvignon Blan	11	White	2.39789527	0	0
Argentina	86	Chardonnay	13	White	2.56494936	0	0
Argentina	85	New world blend	10	White	2.30258509	0	0
Argentina	85	Sauvignon Blan	13	White	2.56494936	0	0
Argentina	84	Chardonnay	9	White	2.19722458	0	0
Argentina	84	Chardonnay	33	White	3.49650756	0	0
Argentina	84	Sauvignon Blan	11	White	2.39789527	0	0
Argentina	84	Chardonnay	11	White	2.39789527	0	0
Argentina	82	Chardonnay	27	White	3.29583687	0	0
Argentina	82	New world blend	11	White	2.39789527	0	0
Australia	89	Syrah	20	Red	2.99573227	1	89
Australia	88	New world blend	17	Red	2.83321334	1	88
Australia	88	New world blend	16	Red	2.77258872	1	88
Australia	88	Syrah	23	Red	3.13549422	1	88
Australia	86	Sparkling	22	White	3.09104245	0	0
Australia	85	Cabernet Sauvignon	19	White	2.94443898	0	0
Australia	83	Sparkling	13	White	2.56494936	0	0
Chile	92	Cabernet Sauvignon	55	Red	4.00733319	1	92
Chile	91	New world blend	45	Red	3.80666249	1	91
Chile	89	Cabernet Sauvignon	26	Red	3.25809654	1	89
Chile	88	Cabernet Sauvignon	19	Red	2.94443898	1	88
Chile	88	Carmenere	21	Red	3.04452244	1	88
Chile	88	Cabernet Sauvignon	17	Red	2.83321334	1	88
Chile	88	Cabernet Sauvignon	19	Red	2.94443898	1	88
Chile	87	Cabernet Sauvignon	17	Red	2.83321334	1	87
Chile	87	Cabernet Sauvignon	12	Red	2.48490665	1	87
Chile	87	New world blend	18	Red	2.89037176	1	87
Chile	86	Syrah	22	Red	3.09104245	1	86
Chile	86	Syrah	19	Red	2.94443898	1	86
Chile	85	New world blend	19	Red	2.94443898	1	85
Chile	84	New world blend	15	Red	2.7080502	1	84
France	94	Chardonnay	83	White	4.41884061	0	0
France	93	Chardonnay	83	White	4.41884061	0	0
France	92	Chardonnay	54	White	3.98898405	0	0
France	92	Chardonnay	75	White	4.31748811	0	0
France	92	Chardonnay	71	White	4.26267988	0	0
France	91	Chardonnay	63	White	4.14313473	0	0
France	91	Chardonnay	76	White	4.33073334	0	0
France	91	Chardonnay	63	White	4.14313473	0	0
France	91	Chardonnay	80	White	4.38202663	0	0
France	90	Chardonnay	71	White	4.26267988	0	0
France	90	Chardonnay	71	White	4.26267988	0	0
