Credibility	Treatment	D(Plausible)	D(Stretch)	D(Outrageous)
1.3	Tame	0	0	0
-1.4	Tame	0	0	0
-0.7	Tame	0	0	0
-0.7	Tame	0	0	0
-2.3	Tame	0	0	0
6.8	Tame	0	0	0
3.1	Tame	0	0	0
-4.1	Tame	0	0	0
9.2	Tame	0	0	0
-6.5	Tame	0	0	0
-0.9	Tame	0	0	0
7.5	Tame	0	0	0
-3.1	Tame	0	0	0
-0.5	Tame	0	0	0
0.8	Tame	0	0	0
0.2	Tame	0	0	0
-5	Tame	0	0	0
5.2	Tame	0	0	0
3.1	Tame	0	0	0
1.2	Tame	0	0	0
-1.2	Plausible	1	0	0
-2.5	Plausible	1	0	0
0.2	Plausible	1	0	0
-4.9	Plausible	1	0	0
-0.7	Plausible	1	0	0
-5.2	Plausible	1	0	0
-1.8	Plausible	1	0	0
-3.7	Plausible	1	0	0
-4	Plausible	1	0	0
3	Plausible	1	0	0
0.3	Plausible	1	0	0
-0.3	Plausible	1	0	0
6.8	Plausible	1	0	0
0.3	Plausible	1	0	0
2.6	Plausible	1	0	0
3.3	Plausible	1	0	0
-1.5	Plausible	1	0	0
1.9	Plausible	1	0	0
-2.9	Plausible	1	0	0
1	Plausible	1	0	0
4.2	Stretch	0	1	0
-0.3	Stretch	0	1	0
-5.1	Stretch	0	1	0
-4.5	Stretch	0	1	0
1.4	Stretch	0	1	0
8.9	Stretch	0	1	0
-4.6	Stretch	0	1	0
-0.6	Stretch	0	1	0
5	Stretch	0	1	0
0.4	Stretch	0	1	0
-9.5	Stretch	0	1	0
1	Stretch	0	1	0
0.1	Stretch	0	1	0
-0.4	Stretch	0	1	0
-1.1	Stretch	0	1	0
-8.6	Stretch	0	1	0
4.1	Stretch	0	1	0
5.2	Stretch	0	1	0
3.8	Stretch	0	1	0
-0.8	Stretch	0	1	0
-1	Outrageous	0	0	1
-11.2	Outrageous	0	0	1
-3.8	Outrageous	0	0	1
-2	Outrageous	0	0	1
-0.2	Outrageous	0	0	1
-3.5	Outrageous	0	0	1
-2.9	Outrageous	0	0	1
-1.4	Outrageous	0	0	1
-4.9	Outrageous	0	0	1
-1.6	Outrageous	0	0	1
-6.2	Outrageous	0	0	1
-7.3	Outrageous	0	0	1
4.8	Outrageous	0	0	1
-4.1	Outrageous	0	0	1
1.6	Outrageous	0	0	1
-8.6	Outrageous	0	0	1
-0.7	Outrageous	0	0	1
-2.7	Outrageous	0	0	1
-1.6	Outrageous	0	0	1
-2.6	Outrageous	0	0	1
