Credit Score	Originator	Orig(A)	Orig(B)	Orig(C)	Orig(D)	Orig(E)
532	a	1	0	0	0	0
513	a	1	0	0	0	0
622	a	1	0	0	0	0
607	a	1	0	0	0	0
537	a	1	0	0	0	0
496	a	1	0	0	0	0
667	a	1	0	0	0	0
364	a	1	0	0	0	0
692	a	1	0	0	0	0
734	a	1	0	0	0	0
455	a	1	0	0	0	0
521	a	1	0	0	0	0
691	a	1	0	0	0	0
611	a	1	0	0	0	0
757	a	1	0	0	0	0
622	a	1	0	0	0	0
535	a	1	0	0	0	0
539	a	1	0	0	0	0
551	b	0	1	0	0	0
626	b	0	1	0	0	0
571	b	0	1	0	0	0
480	b	0	1	0	0	0
570	b	0	1	0	0	0
759	b	0	1	0	0	0
594	b	0	1	0	0	0
670	b	0	1	0	0	0
514	b	0	1	0	0	0
705	b	0	1	0	0	0
623	b	0	1	0	0	0
628	b	0	1	0	0	0
588	b	0	1	0	0	0
555	b	0	1	0	0	0
672	b	0	1	0	0	0
610	b	0	1	0	0	0
680	b	0	1	0	0	0
600	b	0	1	0	0	0
439	b	0	1	0	0	0
475	b	0	1	0	0	0
606	b	0	1	0	0	0
490	b	0	1	0	0	0
722	b	0	1	0	0	0
693	b	0	1	0	0	0
609	b	0	1	0	0	0
867	b	0	1	0	0	0
667	b	0	1	0	0	0
672	b	0	1	0	0	0
537	b	0	1	0	0	0
495	b	0	1	0	0	0
691	b	0	1	0	0	0
668	b	0	1	0	0	0
537	b	0	1	0	0	0
585	b	0	1	0	0	0
588	b	0	1	0	0	0
561	b	0	1	0	0	0
627	b	0	1	0	0	0
604	b	0	1	0	0	0
561	b	0	1	0	0	0
526	b	0	1	0	0	0
610	b	0	1	0	0	0
733	b	0	1	0	0	0
591	b	0	1	0	0	0
604	c	0	0	1	0	0
640	c	0	0	1	0	0
716	c	0	0	1	0	0
527	c	0	0	1	0	0
545	c	0	0	1	0	0
654	c	0	0	1	0	0
629	c	0	0	1	0	0
715	c	0	0	1	0	0
594	c	0	0	1	0	0
611	c	0	0	1	0	0
710	c	0	0	1	0	0
722	c	0	0	1	0	0
658	c	0	0	1	0	0
751	c	0	0	1	0	0
593	c	0	0	1	0	0
561	c	0	0	1	0	0
755	c	0	0	1	0	0
710	c	0	0	1	0	0
569	c	0	0	1	0	0
695	c	0	0	1	0	0
582	c	0	0	1	0	0
712	c	0	0	1	0	0
544	c	0	0	1	0	0
652	c	0	0	1	0	0
713	c	0	0	1	0	0
599	c	0	0	1	0	0
572	c	0	0	1	0	0
557	c	0	0	1	0	0
567	c	0	0	1	0	0
603	c	0	0	1	0	0
580	c	0	0	1	0	0
752	c	0	0	1	0	0
537	c	0	0	1	0	0
603	c	0	0	1	0	0
735	c	0	0	1	0	0
658	c	0	0	1	0	0
683	c	0	0	1	0	0
615	c	0	0	1	0	0
634	c	0	0	1	0	0
656	c	0	0	1	0	0
632	c	0	0	1	0	0
714	c	0	0	1	0	0
710	c	0	0	1	0	0
670	c	0	0	1	0	0
664	c	0	0	1	0	0
773	d	0	0	0	1	0
588	d	0	0	0	1	0
551	d	0	0	0	1	0
672	d	0	0	0	1	0
576	d	0	0	0	1	0
670	d	0	0	0	1	0
725	d	0	0	0	1	0
594	d	0	0	0	1	0
697	d	0	0	0	1	0
718	d	0	0	0	1	0
488	d	0	0	0	1	0
686	d	0	0	0	1	0
715	d	0	0	0	1	0
642	d	0	0	0	1	0
620	d	0	0	0	1	0
659	d	0	0	0	1	0
694	d	0	0	0	1	0
746	d	0	0	0	1	0
658	d	0	0	0	1	0
725	d	0	0	0	1	0
491	d	0	0	0	1	0
520	d	0	0	0	1	0
612	d	0	0	0	1	0
687	d	0	0	0	1	0
583	d	0	0	0	1	0
546	d	0	0	0	1	0
729	d	0	0	0	1	0
548	d	0	0	0	1	0
593	d	0	0	0	1	0
403	d	0	0	0	1	0
785	d	0	0	0	1	0
699	d	0	0	0	1	0
689	d	0	0	0	1	0
596	d	0	0	0	1	0
716	d	0	0	0	1	0
626	d	0	0	0	1	0
615	d	0	0	0	1	0
752	d	0	0	0	1	0
619	d	0	0	0	1	0
754	d	0	0	0	1	0
706	d	0	0	0	1	0
736	d	0	0	0	1	0
595	d	0	0	0	1	0
615	d	0	0	0	1	0
715	d	0	0	0	1	0
714	d	0	0	0	1	0
645	d	0	0	0	1	0
693	d	0	0	0	1	0
472	d	0	0	0	1	0
758	d	0	0	0	1	0
752	d	0	0	0	1	0
702	d	0	0	0	1	0
710	d	0	0	0	1	0
684	d	0	0	0	1	0
655	d	0	0	0	1	0
502	d	0	0	0	1	0
564	d	0	0	0	1	0
595	d	0	0	0	1	0
560	d	0	0	0	1	0
738	d	0	0	0	1	0
746	d	0	0	0	1	0
750	d	0	0	0	1	0
744	d	0	0	0	1	0
634	d	0	0	0	1	0
523	d	0	0	0	1	0
657	d	0	0	0	1	0
805	d	0	0	0	1	0
502	d	0	0	0	1	0
631	d	0	0	0	1	0
630	d	0	0	0	1	0
783	d	0	0	0	1	0
786	d	0	0	0	1	0
671	d	0	0	0	1	0
580	d	0	0	0	1	0
540	d	0	0	0	1	0
690	d	0	0	0	1	0
622	d	0	0	0	1	0
596	d	0	0	0	1	0
611	d	0	0	0	1	0
730	d	0	0	0	1	0
652	e	0	0	0	0	1
655	e	0	0	0	0	1
634	e	0	0	0	0	1
674	e	0	0	0	0	1
692	e	0	0	0	0	1
766	e	0	0	0	0	1
808	e	0	0	0	0	1
632	e	0	0	0	0	1
644	e	0	0	0	0	1
752	e	0	0	0	0	1
618	e	0	0	0	0	1
658	e	0	0	0	0	1
701	e	0	0	0	0	1
729	e	0	0	0	0	1
601	e	0	0	0	0	1
499	e	0	0	0	0	1
703	e	0	0	0	0	1
529	e	0	0	0	0	1
646	e	0	0	0	0	1
832	e	0	0	0	0	1
572	e	0	0	0	0	1
639	e	0	0	0	0	1
634	e	0	0	0	0	1
691	e	0	0	0	0	1
640	e	0	0	0	0	1
750	e	0	0	0	0	1
744	e	0	0	0	0	1
661	e	0	0	0	0	1
641	e	0	0	0	0	1
