Time Period	Tickets	Use?	Group
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	1 ticket	1	1 month/1 ticket
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
1 month	2 tickets	1	1 month/2 tickets
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	1 ticket	1	3 months/1 ticket
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
3 months	2 tickets	1	3 months/2 tickets
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	1 ticket	0	1 month/1 ticket
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
1 month	2 tickets	0	1 month/2 tickets
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	1 ticket	0	3 months/1 ticket
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
3 months	2 tickets	0	3 months/2 tickets
