Yield (Bu/Ac)	Variety	Type of Wheat	D(Endurance)	D(Hatcher)	D(NuHills)	D(Ripper)	D(RonL)
7.99206897	Endurance	Endurance	1	0	0	0	0
22.8344828	Endurance	Endurance	1	0	0	0	0
20.5510345	Endurance	Endurance	1	0	0	0	0
14.8424138	Endurance	Endurance	1	0	0	0	0
10.656092	Hatcher	Other	0	1	0	0	0
14.0812644	Hatcher	Other	0	1	0	0	0
12.9395402	Hatcher	Other	0	1	0	0	0
15.9841379	Hatcher	Other	0	1	0	0	0
6.85034483	NuHills	Other	0	0	1	0	0
11.0366667	NuHills	Other	0	0	1	0	0
16.3647126	NuHills	Other	0	0	1	0	0
14.8424138	NuHills	Other	0	0	1	0	0
8.37264368	Ripper	Other	0	0	0	1	0
15.9841379	Ripper	Other	0	0	0	1	0
16.3647126	Ripper	Other	0	0	0	1	0
19.4093103	Ripper	Other	0	0	0	1	0
11.0366667	RonL	Other	0	0	0	0	1
11.4172414	RonL	Other	0	0	0	0	1
16.3647126	RonL	Other	0	0	0	0	1
14.0812644	RonL	Other	0	0	0	0	1
22.7035405	Endurance	Endurance	1	0	0	0	0
25.9610051	Endurance	Endurance	1	0	0	0	0
16.5834557	Endurance	Endurance	1	0	0	0	0
25.1713167	Endurance	Endurance	1	0	0	0	0
21.1241638	Hatcher	Other	0	1	0	0	0
19.7422092	Hatcher	Other	0	1	0	0	0
20.6306086	Hatcher	Other	0	1	0	0	0
25.1713167	Hatcher	Other	0	1	0	0	0
12.3388807	NuHills	Other	0	0	1	0	0
14.6092348	NuHills	Other	0	0	1	0	0
11.8453255	NuHills	Other	0	0	1	0	0
15.3002121	NuHills	Other	0	0	1	0	0
14.4118127	Ripper	Other	0	0	0	1	0
12.0427476	Ripper	Other	0	0	0	1	0
11.7466145	Ripper	Other	0	0	0	1	0
14.3131016	Ripper	Other	0	0	0	1	0
11.6479034	RonL	Other	0	0	0	0	1
9.96981563	RonL	Other	0	0	0	0	1
7.40332844	RonL	Other	0	0	0	0	1
11.5491924	RonL	Other	0	0	0	0	1
