Date	Month	Time	Quarter	Quarterly Car Sales	Quarterly Light Truck Sales	Quarterly Sales	Pred Formula Quarterly Car Sales	Residual Quarterly Car Sales	Lag Residual	Deviation from Prediction
1990.16667	March	1990.16667	Q1	2310.1	1151.3	3461.4	2110.712646	199.3873538		0
1990.41667	June	1990.41667	Q2	2531.8	1258.6	3790.4	2432.568202	99.23179825	199.3873538	0
1990.66667	September	1990.66667	Q3	2358.2	1156.5	3514.7	2272.74598	85.45402047	99.23179825	0
1990.91667	December	1990.91667	Q4	2100.1	993.1	3093.2	2044.562646	55.5373538	85.45402047	0
1991.16667	March	1991.16667	Q1	1906.4	909.4	2815.8	2093.843838	-187.4438381	55.5373538	0
1991.41667	June	1991.41667	Q2	2231.9	1119.4	3351.3	2415.699394	-183.7993937	-187.4438381	0
1991.66667	September	1991.66667	Q3	2135	1119.1	3254.1	2255.877172	-120.8771715	-183.7993937	0
1991.91667	December	1991.91667	Q4	1901.7	986.5	2888.2	2027.693838	-125.9938381	-120.8771715	0
1992.16667	March	1992.16667	Q1	1932	999	2931	2076.97503	-144.9750301	-125.9938381	0
1992.41667	June	1992.41667	Q2	2274.3	1272.6	3546.9	2398.830586	-124.5305857	-144.9750301	0
1992.66667	September	1992.66667	Q3	2052.1	1201.9	3254	2239.008363	-186.9083634	-124.5305857	0
1992.91667	December	1992.91667	Q4	1956	1169.4	3125.4	2010.82503	-54.8250301	-186.9083634	0
1993.16667	March	1993.16667	Q1	1890.7	1165.7	3056.4	2060.106222	-169.4062221	-54.8250301	0
1993.41667	June	1993.41667	Q2	2416.4	1499.7	3916.1	2381.961778	34.43822239	-169.4062221	0
1993.66667	September	1993.66667	Q3	2164.6	1347.8	3512.4	2222.139555	-57.53955538	34.43822239	0
1993.91667	December	1993.91667	Q4	2046	1351.8	3397.8	1993.956222	52.04377795	-57.53955538	0
1994.16667	March	1994.16667	Q1	2180.9	1430.2	3611.1	2043.237414	137.662586	52.04377795	0
1994.41667	June	1994.41667	Q2	2471.7	1635.4	4107.1	2365.09297	106.6070304	137.662586	0
1994.66667	September	1994.66667	Q3	2237.3	1472.8	3710.1	2205.270747	32.02925267	106.6070304	0
1994.91667	December	1994.91667	Q4	2100.5	1516.1	3616.6	1977.087414	123.412586	32.02925267	0
1995.16667	March	1995.16667	Q1	2029.3	1435.5	3464.8	2026.368606	2.931394049	123.412586	0
1995.41667	June	1995.41667	Q2	2363.9	1645.7	4009.6	2348.224162	15.67583849	2.931394049	0
1995.66667	September	1995.66667	Q3	2242.6	1497.8	3740.4	2188.401939	54.19806072	15.67583849	0
1995.91667	December	1995.91667	Q4	2000.4	1502.4	3502.8	1960.218606	40.18139405	54.19806072	0
1996.16667	March	1996.16667	Q1	2050.5	1553.7	3604.2	2009.499798	41.0002021	40.18139405	0
1996.41667	June	1996.41667	Q2	2424.4	1757.9	4182.3	2331.355354	93.04464654	41.0002021	0
1996.66667	September	1996.66667	Q3	2178.9	1611.5	3790.4	2171.533131	7.366868765	93.04464654	0
1996.91667	December	1996.91667	Q4	1873	1639.6	3512.6	1943.349798	-70.3497979	7.366868765	0
1997.16667	March	1997.16667	Q1	2026.4	1604.9	3631.3	1992.63099	33.76901015	-70.3497979	0
1997.41667	June	1997.41667	Q2	2210.2	1790.3	4000.5	2314.486545	-104.2865454	33.76901015	0
1997.66667	September	1997.66667	Q3	2149	1718.3	3867.3	2154.664323	-5.664323185	-104.2865454	0
1997.91667	December	1997.91667	Q4	1886.9	1728.1	3615	1926.48099	-39.58098985	-5.664323185	0
1998.16667	March	1998.16667	Q1	1865.3	1662.9	3528.2	1975.762182	-110.4621818	-39.58098985	0
1998.41667	June	1998.41667	Q2	2322.7	2106.3	4429	2297.617737	25.08226264	-110.4621818	0
1998.66667	September	1998.66667	Q3	1995.8	1738.2	3734	2137.795515	-141.9955151	25.08226264	0
1998.91667	December	1998.91667	Q4	1958.3	1884.1	3842.4	1909.612182	48.6878182	-141.9955151	0
1999.16667	March	1999.16667	Q1	2004.6	1900.4	3905	1958.893374	45.70662625	48.6878182	0
1999.41667	June	1999.41667	Q2	2398.4	2194.5	4592.9	2280.748929	117.6510707	45.70662625	0
1999.66667	September	1999.66667	Q3	2285.6	2076	4361.6	2120.926707	164.6732929	117.6510707	0
1999.91667	December	1999.91667	Q4	2007.9	2012	4019.9	1892.743374	115.1566263	164.6732929	0
2000.16667	March	2000.16667	Q1	2226.8	2138.5	4365.3	1942.024566	284.7754343	115.1566263	0
2000.41667	June	2000.41667	Q2	2449.7	2276.6	4726.3	2263.880121	185.8198787	284.7754343	0
2000.66667	September	2000.66667	Q3	2298.2	2148.7	4446.9	2104.057899	194.142101	185.8198787	0
2000.91667	December	2000.91667	Q4	1877.4	1927.8	3805.2	1875.874566	1.525434297	194.142101	0
2001.16667	March	2001.16667	Q1	2082.3	2031.1	4113.4	1925.155758	157.1442424	1.525434297	0
2001.41667	June	2001.41667	Q2	2315.4	2249.7	4565.1	2247.011313	68.38868679	157.1442424	0
2001.66667	September	2001.66667	Q3	2033.6	2049.9	4083.5	2087.189091	-53.58909099	68.38868679	0
2001.91667	December	2001.91667	Q4	1990.8	2365.5	4356.3	1859.005758	131.7942424	-53.58909099	0
2002.16667	March	2002.16667	Q1	1892.4	2037	3929.4	1908.28695	-15.8869496	131.7942424	0
2002.41667	June	2002.41667	Q2	2237.3	2248	4485.3	2230.142505	7.15749484	-15.8869496	0
2002.66667	September	2002.66667	Q3	2172.5	2281.3	4453.8	2070.320283	102.1797171	7.15749484	0
2002.91667	December	2002.91667	Q4	1800.2	2146.9	3947.1	1842.13695	-41.9369496	102.1797171	0
2003.16667	March	2003.16667	Q1	1820	1938.6	3758.6	1891.418142	-71.41814155	-41.9369496	0
2003.41667	June	2003.41667	Q2	2068.5	2387.1	4455.6	2213.273697	-144.7736971	-71.41814155	0
2003.66667	September	2003.66667	Q3	2014.2	2425.3	4439.5	2053.451475	-39.25147489	-144.7736971	0
2003.91667	December	2003.91667	Q4	1711.8	2277.6	3989.4	1825.268142	-113.4681416	-39.25147489	0
2004.16667	March	2004.16667	Q1	1771.1	2128.7	3899.8	1874.549334	-103.4493335	-113.4681416	0
2004.41667	June	2004.41667	Q2	2063.5	2424.8	4488.3	2196.404889	-132.9048891	-103.4493335	0
2004.66667	September	2004.66667	Q3	1939.5	2473.1	4412.6	2036.582667	-97.08266684	-132.9048891	0
2004.91667	December	2004.91667	Q4	1771	2295.1	4066.1	1808.399334	-37.39933351	-97.08266684	0
2005.16667	March	2005.16667	Q1	1792.4	2091.4	3883.8	1857.680526	-65.28052546	-37.39933351	0
2005.41667	June	2005.41667	Q2	2125.7	2543.3	4669	2179.536081	-53.83608101	-65.28052546	0
2005.66667	September	2005.66667	Q3	2068.5	2542.5	4611	2019.713859	48.78614121	-53.83608101	0
2005.91667	December	2005.91667	Q4	1733.2	2051.2	3784.4	1791.530526	-58.33052546	48.78614121	0
2006.16667	March	2006.16667	Q1	1831.6	2091.1	3922.7	1840.811717	-9.211717406	-58.33052546	0
2006.41667	June	2006.41667	Q2	2169.6	2255.2	4424.8	2162.667273	6.932727038	-9.211717406	0
2006.66667	September	2006.66667	Q3	2081.3	2241.3	4322.6	2002.845051	78.45494926	6.932727038	0
2006.91667	December	2006.91667	Q4	1738.2	2095.8	3834	1774.661717	-36.46171741	78.45494926	0
2007.16667	March	2007.16667	Q1	1799.1	2076.3	3875.4	1823.942909	-24.84290936	-36.46171741	0
2007.41667	June	2007.41667	Q2	2129.9	2211.4	4341.3	2145.798465	-15.89846491	-24.84290936	0
2007.66667	September	2007.66667	Q3	1921.6	2164.5	4086.1	1985.976243	-64.37624269	-15.89846491	0
2007.91667	December	2007.91667	Q4	1767.8	2018.5	3786.3	1757.792909	10.00709064	-64.37624269	0
2008.16667	March	2008.16667	Q1	1742.3	1820	3562.3	1807.074101		10.00709064	-64.77410131
2008.41667	June	2008.41667	Q2	2124.4	1697.4	3821.8	2128.929657			-4.529656863
2008.66667	September	2008.66667	Q3	1734.8	1606.6	3341.4	1969.107435			-234.3074346
2008.91667	December	2008.91667	Q4	1212	1257.5	2469.5	1740.924101			-528.9241013
2009.16667	March	2009.16667	Q1	1101.6	1095.3	2196.9	1790.205293			-688.6052933
2009.41667	June	2009.41667	Q2	1370	1228.6	2598.6	2112.060849			-742.0608488
2009.66667	September	2009.66667	Q3	1670	1329.8	2999.8	1952.238627			-282.2386266
2009.91667	December	2009.91667	Q4	1314.6	1291.6	2606.2	1724.055293			-409.4552933
2010.16667	March	2010.16667	Q1	1302	1236.5	2538.5	1773.336485			-471.3364852
2010.41667	June	2010.41667	Q2	1564	1498.5	3062.5	2095.192041			-531.1920408
2010.66667	September	2010.66667	Q3	1494.2	1503	2997.2	1935.369819			-441.1698185
